Company,Y-Column,Model,Method,RMSE,MAE,MSE,r2_score
500003-AEGIS LOGISTICS LTD.,LowerBandInNext3Months,Lasso Regression,LassoFIForwardSelection,0.0501335355329662,0.0334985941925169,0.0025133713850351,0.806521201830865
500003-AEGIS LOGISTICS LTD.,LowerBandInNext3Months,Elastic Net Regression,ElasticFIFValue1000,0.0502092413720836,0.0312966376816431,0.0025209679191601,0.8059364222389992
500003-AEGIS LOGISTICS LTD.,LowerBandInNext3Months,Linear Regression,LinearFIFValue1000,0.0511123072220752,0.032512548868439,0.0026124679495638,0.7988927692315904
500003-AEGIS LOGISTICS LTD.,LowerBandInNext3Months,Ridge Regression,RidgeFIFValue1000,0.0511629448475199,0.034814530815699,0.0026176469254703,0.7984940927605708
500003-AEGIS LOGISTICS LTD.,LowerBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0564895066876419,0.0350439661211893,0.0031910643658131,0.7543525393604995
500003-AEGIS LOGISTICS LTD.,LowerBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0483050920367616,0.0363899204586301,0.00233338191668,0.86350452804282
500003-AEGIS LOGISTICS LTD.,LowerBandInNext6Months,Lasso Regression,LassoFICoefficients0.1,0.0519329727606803,0.0398351711311571,0.0026970336597615,0.8422320496949154
500003-AEGIS LOGISTICS LTD.,LowerBandInNext6Months,Elastic Net Regression,ElasticFIFValue1000,0.0523523745411395,0.0374060171920082,0.0027407711200957,0.8396735464135414
500003-AEGIS LOGISTICS LTD.,LowerBandInNext6Months,Linear Regression,LinearFIFValue1000,0.0540778788513053,0.0386331949120599,0.0029244169810564,0.8289308436071022
500003-AEGIS LOGISTICS LTD.,LowerBandInNext6Months,Ridge Regression,RidgeFIFValue1000,0.056258512869129,0.0417067176172958,0.0031650202702459,0.8148563111537532
500003-AEGIS LOGISTICS LTD.,LowerBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0201152002197384,0.0147545431810028,0.0004046212798801,0.9796683904454048
500003-AEGIS LOGISTICS LTD.,LowerBandInNext9Months,Linear Regression,LinearFIFValue100,0.0388242432668024,0.0274205616428542,0.0015073218652398,0.9242593477875471
500003-AEGIS LOGISTICS LTD.,LowerBandInNext9Months,Elastic Net Regression,ElasticFIFValue10,0.0389586357290452,0.0279873403883093,0.0015177752978684,0.9237340785511574
500003-AEGIS LOGISTICS LTD.,LowerBandInNext9Months,Ridge Regression,RidgeFIForwardSelection,0.0393918680364025,0.0287058745815713,0.0015517192673973,0.9220284452354814
500003-AEGIS LOGISTICS LTD.,LowerBandInNext9Months,Lasso Regression,LassoFIFValue100,0.0416806400599738,0.0271797479062623,0.001737275755809,0.9127045113241792
