Company,Y-Column,Model,Method,RMSE,MAE,MSE,n_neighbors,weights,metric,r2_score
500010-HOUSING DEVELOPMENT FINANCE CORP.LTD.,LowerBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0148144496975083,0.0105242822531129,0.00021946791984,9,distance,euclidean,0.7922979048703247
500010-HOUSING DEVELOPMENT FINANCE CORP.LTD.,LowerBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.042260252362795,0.0255844080794383,0.0017859289297671,26,distance,euclidean,0.7030328183777792
500010-HOUSING DEVELOPMENT FINANCE CORP.LTD.,LowerBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0179594607604463,0.0118133546118863,0.000322542230806,6,distance,euclidean,0.8670088320570986
500010-HOUSING DEVELOPMENT FINANCE CORP.LTD.,LowerBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0126224992278027,0.0066630709879665,0.0001593274867558,5,distance,manhattan,0.9498478868207046
500010-HOUSING DEVELOPMENT FINANCE CORP.LTD.,LowerBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0078138481912126,0.0057499483086822,6.10562235553172e-05,5,distance,euclidean,0.9785834608098511
500010-HOUSING DEVELOPMENT FINANCE CORP.LTD.,UpperBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0710915663602902,0.0555035841257621,0.0050540108075595,5,distance,euclidean,0.4837632274090323
500010-HOUSING DEVELOPMENT FINANCE CORP.LTD.,UpperBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0233715961850212,0.0176150549928926,0.0005462315082357,6,distance,euclidean,0.6449814844248432
500010-HOUSING DEVELOPMENT FINANCE CORP.LTD.,UpperBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0680121277835962,0.0530182174313815,0.0046256495256522,3,distance,euclidean,0.7395654262442459
500010-HOUSING DEVELOPMENT FINANCE CORP.LTD.,UpperBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0258204004069371,0.0200870826535347,0.0006666930771745,11,distance,euclidean,0.8307766108433777
500010-HOUSING DEVELOPMENT FINANCE CORP.LTD.,UpperBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0400047644565173,0.0301148234230521,0.0016003811792214,6,distance,manhattan,0.7965394750892332
500010-HOUSING DEVELOPMENT FINANCE CORP.LTD.,UpperBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0231699125618547,0.017481966407817,0.0005368448481239,4,distance,euclidean,0.9434415768494512
500012-ANDHRA PETROCHEMICALS LTD.,LowerBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.1692542512288651,0.1436604180297093,0.0286470015590437,4,distance,euclidean,0.1384307864663216
500012-ANDHRA PETROCHEMICALS LTD.,LowerBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0412556664129637,0.0312035087673638,0.0017020300111777,11,distance,manhattan,0.8058074479536503
500012-ANDHRA PETROCHEMICALS LTD.,LowerBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.5485047742355061,0.5221405110165303,0.3008574873591435,3,distance,manhattan,-9.697880772559078
500012-ANDHRA PETROCHEMICALS LTD.,LowerBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0722249341533281,0.0450163725910177,0.0052164411134525,6,distance,manhattan,0.7544933128288805
500012-ANDHRA PETROCHEMICALS LTD.,LowerBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0839261703578131,0.0559043622418076,0.0070436020709286,12,distance,euclidean,0.8016976479545909
