Company,Security Id,Days,Actual Average Returns %,Predicted Negative Range,Predicted Positive Range,Prediction Range
Welspun India Ltd.,514162,30,0.002639587837837838,-0.06916070487331097,0.15881820354965726,0.0024570320823979544 to 0.003058802436354767
Dilip Buildcon Ltd.,540047,30,0.002498062711864405,-0.038842093233817127,0.17870050218478115,0.002401032727106246 to 0.0029444677729636506
Sunteck Realty Ltd.,512179,30,0.0024551944134078227,-0.14243743514770923,0.13334001280508487,0.002105482818373028 to 0.0027825700679305946
NHPC Ltd.,533098,30,0.0024331101813110175,-0.06516212011456439,0.0803224632187688,0.0022745635634244597 to 0.0026285435843565836
Dish TV India Ltd.,532839,30,0.0023982501123595516,-0.1880515676193597,0.6165034501732753,0.0019472554191870323 to 0.0038767795810076603
Astrazeneca Pharma India Ltd.,506820,30,0.0021016923925027556,-0.0063383847497285,0.2680039851362095,0.002088371057493496 to 0.0026649543292239486
Hindustan Petroleum Corpn. Ltd.,500104,30,0.0020880031238515217,-0.0810393385705448,0.11941575183433152,0.001918792731761363 to 0.002337343586718684
Aarti Industries Ltd.,524208,30,0.0019639304783092308,-0.08463958919857241,0.20131762504241824,0.0017977042094105818 to 0.002359304297950866
Bombay Burmah Trdg. Corpn. Ltd.,501425,30,0.0019523942093541192,-0.023643337805932568,0.055589995527400654,0.001906233093532013 to 0.0020609277947198374
Wockhardt Ltd.,532300,30,0.0019520668508287305,-0.12510696209763292,0.17894347992914428,0.0017078496973100547 to 0.002301376486170349
Prestige Estates Projects Ltd.,533274,30,0.0019096783114992716,0.0019096783114992716,0.28185935968052356,0.0019096783114992716 to 0.0024479390175742395
Bank of Maharashtra,532525,30,0.0018245541336353345,-0.07603457961281683,0.07930559515500338,0.0016858249271035448 to 0.0019692514850958064
Havells India Ltd.,517354,30,0.001703260176017601,-0.0060747079329994845,0.10245160519096831,0.0016929133679143848 to 0.0018777619151084553
CCL Products (India) Ltd.,519600,30,0.0017023278145695362,0.0017023278145695362,0.13419530713793487,0.0017023278145695362 to 0.0019307722184951446
Bharti Airtel Ltd.,532454,30,0.0016836501650165012,-0.02553987623277739,0.10227089811775,0.0016406499481826844 to 0.0018558385795088368
Gujarat Alkalies & Chemicals Ltd.,530001,30,0.0016611624168514408,0.0016611624168514408,0.14432252863111628,0.0016611624168514408 to 0.0019009055773184173
Mahindra Lifespace Developers Ltd.,532313,30,0.0016361616997792503,-0.0305750082169311,0.1864797701213395,0.0015861360423642717 to 0.0019412727574354249
Page Industries Ltd.,532827,30,0.00163095703125,-0.026807680464803738,0.06670524567155979,0.001587234856304425 to 0.001739750420699289
Lakshmi Machine Works Ltd.,500252,30,0.001625320879120878,-0.013838286755207879,0.09749434485451972,0.0016028292227263767 to 0.0017837804734091402
Divi's Laboratories Ltd.,532488,30,0.001552378021978021,0.001552378021978021,0.11513505030049405,0.001552378021978021 to 0.0017311111436238418
Rallis India Ltd.,500355,30,0.001542063395810363,-0.0228631447939922,0.09641646393256546,0.0015068069771104354 to 0.0016907436955942423
Venky's (India) Ltd.,523261,30,0.0015093669977924962,-0.09255766506124359,0.13249137768578462,0.0013696635127563234 to 0.0017093451107634806
Zee Entertainment Enterprises Ltd.,505537,30,0.0014290485115766255,-0.0213860409235836,0.10029550280294408,0.0013984868216262614 to 0.001572375650575002
Cholamandalam Investment & Finance Co. Ltd.,511243,30,0.0014258555555555544,0.0014258555555555544,0.29480297950054846,0.0014258555555555544 to 0.0018462020216707417
Sundram Fasteners Ltd.,500403,30,0.0014257497212931997,-0.0072367731603748,0.06895806017295847,0.0014154318939767331 to 0.001524066656365715
Ceat Ltd.,500878,30,0.0013882277282850782,0.0013882277282850782,0.47254494065485464,0.0013882277282850782 to 0.002044227717762974
United Breweries Ltd.,532478,30,0.0013687535753575365,-0.0504151072040505,0.06759827046624135,0.0012997477171199589 to 0.0014612789497461902
Bajaj Auto Ltd,532977,30,0.0012400630841121487,-0.0037642620909192,0.08077838346459523,0.001235395161654277 to 0.0013402333754408485
Jyothy Labs Ltd.,532926,30,0.0012230042808219167,-0.022050534693537915,0.12358980608784927,0.0011960363824973076 to 0.001374155142733307
JSW Steel Ltd.,500228,30,0.0011949052863436114,-0.0358600168243102,0.1517588124324361,0.0011520559626718723 to 0.0013762426935683579
City Union Bank Ltd.,532210,30,0.0011728619528619524,0.0011728619528619524,0.12404860716223595,0.0011728619528619524 to 0.0013183538445080576
Bank Of Baroda,532134,30,0.001106977398015435,-0.0089227689629685,0.22526897751659622,0.001097100094445715 to 0.001356345064600354
ICICI Bank Ltd.,532174,30,0.0010928670329670323,-0.05586076607686828,0.12089101578705114,0.0010318186432853398 to 0.0012249848387025975
GHCL Ltd.,500171,30,0.0010896255630630637,0.0010896255630630637,0.09343015462778678,0.0010896255630630637 to 0.001191429447906435
South Indian Bank Ltd.,532218,30,0.0010837515428571427,-0.015200286685840251,0.12127894623388664,0.0010672782087094925 to 0.0012151877879542057
Balmer Lawrie & Co. Ltd.,523319,30,0.0010084063649742365,-0.04781966186016756,0.13040319610618778,0.0009601847135835278 to 0.0011399057779406998
Graphite India Ltd.,509488,30,0.0010061923509561304,-0.313363332851152,0.051474167148847894,0.0006908885623711814 to 0.0010579852642131386
Avanti Feeds Ltd.,512573,30,0.0010046428847641127,0.0010046428847641127,0.2624553235084615,0.0010046428847641127 to 0.001268316758095352
Mahindra & Mahindra Financial Services Ltd.,532720,30,0.0009798449612403101,-0.0169422886023635,0.07543104473096975,0.0009632441451214052 to 0.0010537556903410434
GMM Pfaudler Ltd.,505255,30,0.0009785318435754171,-0.0023370752007521,0.0736214395569311,0.0009762449410706508 to 0.001050572766551737
Kaveri Seed Company Ltd.,532899,30,0.0009713885778275473,-0.023160403182152827,0.13589903681678453,0.0009488908267185233 to 0.001103399349929137
Tata Motors Ltd.,500570,30,0.0009412626651982381,0.0009412626651982381,0.09641711289966853,0.0009412626651982381 to 0.0010320164938568994
Westlife Development Ltd.,505533,30,0.0008791416837782346,-0.1043023632662638,0.12160735182233386,0.0007874451285142823 to 0.0009860517758191335
Escorts Ltd.,500495,30,0.0008352416851441241,-0.0325022801328627,0.07341691986713722,0.0008080944259149255 to 0.0008965625570120429
MindTree Ltd.,532819,30,0.0008098871145374455,-0.017828855326971052,0.11011146001652782,0.0007954477543411794 to 0.0008990649671677365
IFCI Ltd.,500106,30,0.0007897466292134839,-0.38108164087283614,0.3109197140316491,0.0004887886878790182 to 0.001035294425325999
Tata Consultancy Services Ltd.,532540,30,0.000658004950495049,0.000658004950495049,0.14181561992377648,0.000658004950495049 to 0.0007513203304624183
Bosch Ltd.,500530,30,0.0005571060439560438,-0.08980167219142023,0.11714313261988539,0.0005070769896208442 to 0.0006223671911465263
Grindwell Norton Ltd.,506076,30,0.0004911351501668524,0.0004911351501668524,0.5465994662472724,0.0004911351501668524 to 0.000759589361103328
Glaxosmithkline Pharmaceuticals Ltd.,500660,30,0.0004886163142905466,0.0004886163142905466,0.11889653186645131,0.0004886163142905466 to 0.0005467110994730605
JB Chemicals & Pharmaceuticals Ltd.,506943,30,0.00047434517203107497,-0.012536347293115799,0.11062306880054472,0.00046839861621768064 to 0.0005268186906318748
Brigade Enterprises Ltd.,532929,30,0.0004446561784896986,0.0004446561784896986,0.19831706382812397,0.0004446561784896986 to 0.0005328390862208098
Chambal Fertilisers & Chemicals Ltd.,500085,30,0.00043852460850111796,0.00043852460850111796,0.15884959244789496,0.00043852460850111796 to 0.0005081840638398933
Granules India Ltd.,532482,30,0.0004204833333333328,0.0004204833333333328,0.062313339175771795,0.0004204833333333328 to 0.00044668505390109187
Swan Energy Ltd.,503310,30,0.00039433501118568297,-0.023374551378744373,0.1649741722953056,0.0003851176072062855 to 0.00045939010326310104
Ambuja Cements Ltd.,500425,30,0.0003779878183831673,0.0003779878183831673,0.08360104028845525,0.0003779878183831673 to 0.0004095879932163638
Persistent Systems Ltd.,533179,30,0.0003132030178326475,0.0003132030178326475,0.08331078205699913,0.0003132030178326475 to 0.0003392962061908976
Navin Fluorine International Ltd.,532504,30,0.0003120441501103758,0.0003120441501103758,0.3373057846187184,0.0003120441501103758 to 0.0004172984469990373
Suprajit Engineering Ltd.,532509,30,0.0002854553775743707,0.0002854553775743707,0.06868505524495551,0.0002854553775743707 to 0.000305061895953036
Cipla Ltd.,500087,30,0.00026618357221609744,0.00026618357221609744,0.10496115434349593,0.00026618357221609744 to 0.00029412250722317434
Finolex Industries Ltd.,500940,30,0.0002578468438538211,0.0002578468438538211,0.11327236432297402,0.0002578468438538211 to 0.0002870537654903601
Navneet Education Ltd.,508989,30,0.00025371843575418973,0.00025371843575418973,0.09006936546745821,0.00025371843575418973 to 0.00027657069426996564
Vinati Organics Ltd.,524200,30,0.00024186204013377792,0.00024186204013377792,0.10733191845646323,0.00024186204013377792 to 0.0002678215569031304
Shipping Corpn. Of India Ltd.,523598,30,0.00023378420467185706,0.00023378420467185706,0.16313304785425586,0.00023378420467185706 to 0.00027192213452016027
Aurobindo Pharma Ltd.,524804,30,0.00021695700110253572,0.00021695700110253572,0.09471756086841701,0.00021695700110253572 to 0.00023750663906029436
Bajaj Consumer Care Ltd.,533229,30,0.0001100391737891738,0.0001100391737891738,1.133090808365637,0.0001100391737891738 to 0.00023472355016983555
Kansai Nerolac Paints Ltd.,500165,30,8.902901785714285e-05,8.902901785714285e-05,0.0759779650179194,8.902901785714285e-05 to 9.579326146147257e-05
Berger Paints India Ltd.,509480,30,6.684478935698449e-05,6.684478935698449e-05,0.04553270184218281,6.684478935698449e-05 to 6.988841322047958e-05
Tasty Bite Eatables Ltd.,519091,30,5.20354523227492e-06,-0.0197081317261473,0.346247992571787,5.1009930773942804e-06 to 7.0052623232066035e-06
PTC India Ltd.,532524,30,4.655728587318944e-06,4.655728587318944e-06,0.16159007996280841,4.655728587318944e-06 to 5.408048142028946e-06
EID-Parry (India) Ltd.,500125,30,0.0,0.0,0.0,-
Esab India Ltd.,500133,30,0.0,0.0,0.0,-
Biocon Ltd.,532523,30,0.0,0.0,0.0,-
Ultratech Cement Ltd.,532538,30,0.0,0.0,0.0,-
Coforge Ltd.,532541,30,0.0,0.0,0.0,-
Century Plyboards (India) Ltd.,532548,30,0.0,0.0,0.0,-
