Company,Security Id,Days,Actual Average Returns %,Predicted Negative Range,Predicted Positive Range,Prediction Range
Wockhardt Ltd.,532300,270,0.13900480106809077,-0.5689725570846653,0.37699448422391096,0.05991488395733394 to 0.191408844351403
NCC Ltd.,500294,270,0.13688397319034853,-0.5226535905348562,0.3353227525760149,0.06534107311573588 to 0.18278428386407763
Sunteck Realty Ltd.,512179,270,0.1361865912751678,-0.3850100487986971,0.23625753680997397,0.08375338512258722 to 0.16836169987638563
India Tourism Devp. Corpn. Ltd.,532189,270,0.13547472929936305,-0.5970073415033188,0.31375651226012213,0.054595321319468544 to 0.17798080786371537
Deepak Fertilisers & Petrochemicals Corpn. Ltd.,500645,270,0.12951808890374333,-0.5199941829298474,0.33074273501946627,0.06216943608960598 to 0.1723552558622618
Tata Chemicals Ltd.,500770,270,0.12929158189081225,-0.2920822083685491,0.2487990728982831,0.0915278111286807 to 0.16145920759879878
Axis Bank Ltd.,532215,270,0.12851677652519897,-0.26138545059360196,0.09565962806052537,0.09492436098432258 to 0.14081064356713716
V-Mart Retail Ltd.,534976,270,0.12513404132231404,-0.0078147567191219,0.3910030251071393,0.12415614923209961 to 0.1740618300232206
Schneider Electric Infrastructure Ltd.,534139,270,0.12438657787810384,-0.13954764038022957,0.028941342900070468,0.10702872444024278 to 0.12798649248064037
Gujarat State Fertilizers & Chemicals Ltd.,500690,270,0.11870613084112148,-0.4288316934786394,0.13933771057061003,0.06780117972622642 to 0.13524637134321862
Varun Beverages Ltd.,540180,270,0.11812567741935484,-0.1394443950661496,0.20755355860180408,0.10165371378983377 to 0.14264308212999072
Navin Fluorine International Ltd.,532504,270,0.11198612866666667,-0.2572305817545298,0.20423085114806394,0.08317987164130239 to 0.1348571510410366
Titan Company Ltd.,500114,270,0.10738461569148934,-0.3178384629506101,0.07353732384649014,0.0732536544955644 to 0.11528139295172526
Mahindra Lifespace Developers Ltd.,532313,270,0.10363879733333332,-0.5291316060831472,0.1257155854774326,0.04880023404782086 to 0.1166678094182703
Indian Energy Exchange Ltd.,540750,270,0.10361599999999999,0.10361599999999999,0.066293480570513,0.10361599999999999 to 0.11048506528279427
CCL Products (India) Ltd.,519600,270,0.10160584487350197,-0.25589651731578766,0.1104858945629718,0.07560526303144463 to 0.11283185753717738
Hindustan Unilever Ltd.,500696,270,0.10072468766578248,-0.10120157476657797,0.04105346591728202,0.09053119065613358 to 0.10485978519789857
Prestige Estates Projects Ltd.,533274,270,0.09918443866170998,-0.09370051323453366,0.19694510870763,0.08989080585422864 to 0.1187183287160457
Larsen & Toubro Ltd.,500510,270,0.09875708554376657,-0.2943044724764726,0.07213324543943868,0.06969243357949446 to 0.10588075463417873
Tasty Bite Eatables Ltd.,519091,270,0.09782657260479043,-0.09348881657328713,0.47940867437015616,0.08868088210254782 to 0.14472548009542885
Whirlpool Of India Ltd.,500238,270,0.093147222,-0.1991241537174502,0.1339861782585004,0.07459936024811854 to 0.10562766229117611
Escorts Ltd.,500495,270,0.09106457219251336,-0.3714260336514636,0.07341427238880484,0.05724081933688075 to 0.09775001150042453
Canara Bank,532483,270,0.08897328495339547,-0.4533077940785653,0.15805771966654786,0.04864100141924817 to 0.10303619948437114
Granules India Ltd.,532482,270,0.0869224028150134,-0.3974614835444402,0.2073654958644461,0.052374095638910746 to 0.10494710997647778
Nippon Life India Asset Management Ltd.,540767,270,0.0854510357142857,0.0854510357142857,0.5965818391851085,0.0854510357142857 to 0.13642957176098666
Aegis Logistics Ltd.,500003,270,0.08295399598930481,-0.2505769263812694,0.30683611221885004,0.062167638643260664 to 0.10840727761168117
PTC India Ltd.,532524,270,0.08084152284946236,-0.26347838404056606,0.1350674493899818,0.05954152904570752 to 0.09176058114554117
