Company,Security Id,Days,Actual Average Returns %,Predicted Negative Range,Predicted Positive Range,Prediction Range
La Opala RG Ltd.,526947,360,0.011184341637010677,0.011184341637010677,0.6054515335279321,0.011184341637010677 to 0.017955918432639092
SRF Ltd.,503806,360,0.010830942608695654,0.010830942608695654,1.45235615592254,0.010830942608695654 to 0.02656132878087852
Aegis Logistics Ltd.,500003,360,0.010166800699300697,0.010166800699300697,0.6027934901648653,0.010166800699300697 to 0.016295281976642758
Swan Energy Ltd.,503310,360,0.01005384131205674,0.01005384131205674,1.6980499547029035,0.01005384131205674 to 0.02712576609658487
Titan Company Ltd.,500114,360,0.008327244791666667,0.008327244791666667,0.035138282543933,0.008327244791666667 to 0.008619849871968746
REC Ltd.,532955,360,0.00832456928838951,0.00832456928838951,1.2301535074140075,0.00832456928838951 to 0.018565067396212793
Ashok Leyland Ltd.,500477,360,0.007364129928315409,0.007364129928315409,1.9301345651324302,0.007364129928315409 to 0.021577891645083187
City Union Bank Ltd.,532210,360,0.007313311170212769,-5.442991712374771,0.18389701242064735,-0.03249298091927317 to 0.008658207245317445
Balmer Lawrie & Co. Ltd.,523319,360,0.007233029360967162,0.007233029360967162,0.5107274444929569,0.007233029360967162 to 0.010927135962436444
Radico Khaitan Ltd.,532497,360,0.006190823117338004,-0.40789365874571504,0.006190823117338004,0.003665625625359452 to 0.006190823117338004
Larsen & Toubro Ltd.,500510,360,0.006003810553633215,0.006003810553633215,0.8467933756293078,0.006003810553633215 to 0.011087797558983148
Bharat Electronics Ltd.,500049,360,0.005994420103092784,0.005994420103092784,0.4341414759331371,0.005994420103092784 to 0.008596846494012754
Pidilite Industries Ltd.,500331,360,0.005851593859649122,0.005851593859649122,0.621210874246312,0.005851593859649122 to 0.009486667596936105
Bata India Ltd.,500043,360,0.005659321799307959,0.005659321799307959,0.0008369110778972,0.005659321799307959 to 0.005664058148415185
Tanla Platforms Ltd.,532790,360,0.005362626811594203,0.005362626811594203,1.718699227593189,0.005362626811594203 to 0.014579369370551685
JK Lakshmi Cement Ltd.,500380,360,0.005146719964664318,0.005146719964664318,9.37962801385253,0.005146719964664318 to 0.05342103872468386
Trident Ltd.,521064,360,0.004747802852049909,0.004747802852049909,0.7391792341155524,0.004747802852049909 to 0.008257280127959794
Fortis Healthcare Ltd.,532843,360,0.003996653577661438,0.003996653577661438,0.445616769059445,0.003996653577661438 to 0.0057776294319888
Oracle Financial Services Software Ltd.,532466,360,0.003671368512110725,0.003671368512110725,8.48104661294772,0.003671368512110725 to 0.0348084159966303
Hindustan Zinc Ltd.,500188,360,0.0024466597222222216,0.0024466597222222216,0.9924236294178123,0.0024466597222222216 to 0.0048747826437003745
Gujarat State Petronet Ltd.,532702,360,0.0019768508771929798,0.0019768508771929798,0.2571935009168925,0.0019768508771929798 to 0.002485284075088872
Axis Bank Ltd.,532215,360,0.0017191972318339104,0.0017191972318339104,0.2565472299585827,0.0017191972318339104 to 0.0021602525194133635
Federal Bank Ltd.,500469,360,0.001225451388888889,0.001225451388888889,0.999608808633522,0.001225451388888889 to 0.002450423391774406
Vaibhav Global Ltd.,532156,360,0.000985124792529273,0.000985124792529273,25.24622960490643,0.000985124792529273 to 0.02585581149420911
Garware Technical Fibres Ltd.,509557,360,0.0007267405405405401,0.0007267405405405401,2.506516257001303,0.0007267405405405401 to 0.002548327520027318
Edelweiss Financial Services Ltd.,532922,360,0.0006419703703703702,0.0006419703703703702,2.3638871690067527,0.0006419703703703702 to 0.002159515891771401
Tata Steel Ltd.,500470,360,0.0005150778546712811,0.0005150778546712811,0.6491639406665967,0.0005150778546712811 to 0.0008494478245597866
Indian Overseas Bank,532388,360,0.0003938292894280767,0.0003938292894280767,0.5627068490989473,0.0003938292894280767 to 0.0006154397279650271
Gujarat Gas Ltd.,539336,360,0.0,0,0,-
Vodafone Idea Ltd.,532822,360,0.0,0,0,-
Rashtriya Chemicals & Fertilizers Ltd.,524230,360,0.0,0,0,-
GMR Infrastructure Ltd,532754,360,0.0,0,0,-
Sun TV Network Ltd.,532733,360,0.0,0,0,-
Prestige Estates Projects Ltd.,533274,360,0.0,0,0,-
Mahindra & Mahindra Financial Services Ltd.,532720,360,0.0,0,0,-
S H Kelkar and Company Ltd,539450,360,0.0,0,0,-
Lux Industries Ltd.,539542,360,0.0,0,0,-
Sun Pharmaceutical Inds. Ltd.,524715,360,0.0,0,0,-
Page Industries Ltd.,532827,360,0.0,0,0,-
Oberoi Realty Ltd.,533273,360,0.0,0,0,-
Muthoot Finance Ltd.,533398,360,0.0,0,0,-
IOL Chemicals & Pharmaceuticals Ltd.,524164,360,0.0,0,0,-
Vinati Organics Ltd.,524200,360,0.0,0,0,-
Kalpataru Power Transmission Ltd.,522287,360,0.0,0,0,-
Alembic Pharmaceuticals Ltd.,533573,360,0.0,0,0,-
Mahindra CIE Automotive Ltd.,532756,360,0.0,0,0,-
Mphasis Ltd.,526299,360,0.0,0,0,-
Schneider Electric Infrastructure Ltd.,534139,360,0.0,0,0,-
Firstsource Solutions Ltd.,532809,360,0.0,0,0,-
3M India Ltd.,523395,360,0.0,0,0,-
Just Dial Ltd.,535648,360,0.0,0,0,-
