Company,Security Id,Average Returns %
Quess Corp Ltd.,539978,0.0
Mahanagar Gas Ltd.,539957,0.0
Crompton Greaves Consumer Electricals Ltd.,539876,0.0
Ujjivan Financial Services Ltd.,539874,0.0
Thyrocare Technologies Ltd.,539871,0.0
TeamLease Services Ltd.,539658,0.0
Jindal Stainless (Hisar) Ltd.,539597,0.0
Lux Industries Ltd.,539542,0.0
Dr. Lal Pathlabs Ltd.,539524,0.0
Alkem Laboratories Ltd.,539523,0.0
Interglobe Aviation Ltd.,539448,0.0
V-Mart Retail Ltd.,534976,0.0
IDFC First Bank Ltd.,539437,0.0
Gujarat Gas Ltd.,539336,0.0
Syngene International Ltd.,539268,0.0
Adani Transmission Ltd.,539254,0.0
PNC Infratech Ltd.,539150,0.0
VRL Logistics Ltd.,539118,0.0
Minda Corporation Ltd.,538962,0.0
Gulf Oil Lubricants India Ltd.,538567,0.0
Aditya Birla Fashion and Retail Ltd.,535755,0.0
Orient Cement Ltd.,535754,0.0
Just Dial Ltd.,535648,0.0
Capri Global Capital Ltd.,531595,0.0
Bank of India,532149,0.0
Container Corpn. Of India Ltd.,531344,0.0
Tata Elxsi Ltd.,500408,0.0
Tata Communications Ltd.,500483,0.0
Cummins India Ltd.,500480,0.0
Ashok Leyland Ltd.,500477,0.0
SKF India Ltd.,500472,0.0
Tata Steel Ltd.,500470,0.0
Federal Bank Ltd.,500469,0.0
Procter & Gamble Hygiene & Health Care Ltd.,500459,0.0
Hindalco Industries Ltd.,500440,0.0
Ambuja Cements Ltd.,500425,0.0
Torrent Pharmaceuticals Ltd.,500420,0.0
Thermax Ltd.,500411,0.0
ACC Ltd.,500410,0.0
Sundram Fasteners Ltd.,500403,0.0
Bajaj Holdings & Investment Ltd.,500490,0.0
Shree Cement Ltd.,500387,0.0
JK Lakshmi Cement Ltd.,500380,0.0
Jindal Saw Ltd.,500378,0.0
Rallis India Ltd.,500355,0.0
Rain Industries Ltd.,500339,0.0
Prism Johnson Ltd.,500338,0.0
Birla Corporation Ltd.,500335,0.0
Pidilite Industries Ltd.,500331,0.0
Raymond Ltd.,500330,0.0
Reliance Industries Ltd.,500325,0.0
Oil & Natural Gas Corpn. Ltd.,500312,0.0
Piramal Enterprises Ltd.,500302,0.0
Abbott India Ltd.,500488,0.0
Bharat Forge Ltd.,500493,0.0
Heidelberg Cement India Ltd.,500292,0.0
Hindustan Unilever Ltd.,500696,0.0
ITC Ltd.,500875,0.0
Castrol India Ltd.,500870,0.0
Indian Hotels Co. Ltd.,500850,0.0
Zydus Wellness Ltd.,531335,0.0
Colgate-Palmolive (India) Ltd.,500830,0.0
