Company,Average Returns %
500470-Tata Steel Ltd.,0.0
500469-Federal Bank Ltd.,0.0
500459-Procter & Gamble Hygiene & Health Care Ltd.,0.0
500440-Hindalco Industries Ltd.,0.0
500425-Ambuja Cements Ltd.,0.0
500420-Torrent Pharmaceuticals Ltd.,0.0
500410-ACC Ltd.,0.0
500408-Tata Elxsi Ltd.,0.0
500380-JK Lakshmi Cement Ltd.,0.0
500490-Bajaj Holdings & Investment Ltd.,0.0
500378-Jindal Saw Ltd.,0.0
500355-Rallis India Ltd.,0.0
500339-Rain Industries Ltd.,0.0
500335-Birla Corporation Ltd.,0.0
500331-Pidilite Industries Ltd.,0.0
500330-Raymond Ltd.,0.0
500325-Reliance Industries Ltd.,0.0
500312-Oil & Natural Gas Corpn. Ltd.,0.0
500302-Piramal Enterprises Ltd.,0.0
500300-Grasim Industries Ltd.,0.0
500295-Vedanta Ltd.,0.0
500488-Abbott India Ltd.,0.0
500493-Bharat Forge Ltd.,0.0
500940-Finolex Industries Ltd.,0.0
500696-Hindustan Unilever Ltd.,0.0
500877-Apollo Tyres Ltd.,0.0
500875-ITC Ltd.,0.0
500870-Castrol India Ltd.,0.0
500840-EIH Ltd.,0.0
500830-Colgate-Palmolive (India) Ltd.,0.0
532181-Gujarat Mineral Devp. Corpn. Ltd.,0.0
500820-Asian Paints Ltd.,0.0
500800-Tata Consumer Products Ltd.,0.0
500790-Nestle India Ltd.,0.0
500730-NOCIL Ltd.,0.0
500710-Akzo Nobel India Ltd.,0.0
500690-Gujarat State Fertilizers & Chemicals Ltd.,0.0
500495-Escorts Ltd.,0.0
500680-Pfizer Ltd.,0.0
500674-Sanofi India Ltd.,0.0
500670-Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,0.0
500660-Glaxosmithkline Pharmaceuticals Ltd.,0.0
500620-Great Eastern Shipping Company Ltd.,0.0
500570-Tata Motors Ltd.,0.0
500550-Siemens Ltd.,0.0
500547-Bharat Petroleum Corpn. Ltd.,0.0
500530-Bosch Ltd.,0.0
500520-Mahindra & Mahindra Ltd.,0.0
500510-Larsen & Toubro Ltd.,0.0
500294-NCC Ltd.,0.0
500292-Heidelberg Cement India Ltd.,0.0
500290-MRF Ltd.,0.0
500084-CESC Ltd.,0.0
500113-Steel Authority Of India Ltd.,0.0
500112-State Bank of India,0.0
500110-Chennai Petroleum Corpn. Ltd.,0.0
500109-Mangalore Refinery & Petrochemicals Ltd.,0.0
500104-Hindustan Petroleum Corpn. Ltd.,0.0
500103-Bharat Heavy Electricals Ltd.,0.0
500096-Dabur India Ltd.,0.0
500092-Crisil Ltd.,0.0
500087-Cipla Ltd.,0.0
500086-Exide Industries Ltd.,0.0
500085-Chambal Fertilisers & Chemicals Ltd.,0.0
500049-Bharat Electronics Ltd.,0.0
500285-Spicejet Ltd.,0.0
500048-BEML Ltd,0.0
500043-Bata India Ltd.,0.0
500040-Century Textiles & Inds. Ltd.,0.0
500038-Balrampur Chini Mills Ltd.,0.0
500034-Bajaj Finance Ltd.,0.0
500033-Force Motors Ltd.,0.0
500031-Bajaj Electricals Ltd.,0.0
500027-Atul Ltd.,0.0
500020-Bombay Dyeing & Mfg. Co. Ltd.,0.0
500010-Housing Development Finance Corpn. Ltd.,0.0
500008-Amara Raja Batteries Ltd.,0.0
500114-Titan Company Ltd.,0.0
500124-Dr. Reddy's Laboratories Ltd.,0.0
500125-EID-Parry (India) Ltd.,0.0
500126-Procter & Gamble Health Ltd.,0.0
500271-Max Financial Services Ltd.,0.0
500266-Maharashtra Scooters Ltd.,0.0
500265-Maharashtra Seamless Ltd.,0.0
500260-The Ramco Cements Ltd.,0.0
500257-Lupin Ltd.,0.0
500253-LIC Housing Finance Ltd.,0.0
500251-Trent Ltd.,0.0
500249-KSB Ltd.,0.0
500247-Kotak Mahindra Bank Ltd.,0.0
500238-Whirlpool Of India Ltd.,0.0
500233-Kajaria Ceramics Ltd.,0.0
500209-Infosys Ltd.,0.0
500188-Hindustan Zinc Ltd.,0.0
500184-Himadri Speciality Chemical Ltd.,0.0
500183-HFCL Ltd.,0.0
500182-Hero Motocorp Ltd.,0.0
500180-HDFC Bank Ltd.,0.0
500171-GHCL Ltd.,0.0
500165-Kansai Nerolac Paints Ltd.,0.0
500164-Godrej Industries Ltd.,0.0
500163-Godfrey Phillips India Ltd.,0.0
500135-EPL Ltd.,0.0
500133-Esab India Ltd.,0.0
500878-Ceat Ltd.,0.0
500825-Britannia Industries Ltd.,0.0
501301-Tata Investment Corpn. Ltd.,0.0
513434-Tata Metaliks Ltd.,0.0
524164-IOL Chemicals & Pharmaceuticals Ltd.,0.0
523642-PI Industries Ltd.,0.0
523610-ITI Ltd.,0.0
523598-Shipping Corpn. Of India Ltd.,0.0
523457-Linde India Ltd.,0.0
523405-JM Financial Ltd.,0.0
523398-Johnson Controls - Hitachi Air Conditioning India Ltd.,0.0
523385-Nilkamal Ltd.,0.0
523367-DCM Shriram Ltd.,0.0
523319-Balmer Lawrie & Co. Ltd.,0.0
523261-Venky's (India) Ltd.,0.0
521070-Alok Industries Ltd.,0.0
521064-Trident Ltd.,0.0
520057-JTEKT India Ltd.,0.0
520051-Jamna Auto Inds. Ltd.,0.0
519600-CCL Products (India) Ltd.,0.0
519552-Heritage Foods Ltd.,0.0
519091-Tasty Bite Eatables Ltd.,0.0
517569-Kei Industries Ltd.,0.0
501425-Bombay Burmah Trdg. Corpn. Ltd.,0.0
517385-Symphony Ltd.,0.0
517354-Havells India Ltd.,0.0
517174-Honeywell Automation India Ltd.,0.0
524230-Rashtriya Chemicals & Fertilizers Ltd.,0.0
524348-Aarti Drugs Ltd.,0.0
524494-Ipca Laboratories Ltd.,0.0
531335-Zydus Wellness Ltd.,0.0
532178-Engineers India Ltd.,0.0
532175-Cyient Limited,0.0
532156-Vaibhav Global Ltd.,0.0
500003-Aegis Logistics Ltd.,0.0
532134-Bank Of Baroda,0.0
531768-Poly Medicure Ltd.,0.0
531642-Marico Ltd.,0.0
531599-FDC Ltd.,0.0
531595-Capri Global Capital Ltd.,0.0
531500-Rajesh Exports Ltd.,0.0
531213-Manappuram Finance Ltd.,0.0
524715-Sun Pharmaceutical Inds. Ltd.,0.0
530965-Indian Oil Corpn. Ltd.,0.0
530813-KRBL Ltd.,0.0
530549-Shilpa Medicare Ltd.,0.0
530517-Relaxo Footwears Ltd.,0.0
530005-India Cements Ltd.,0.0
530001-Gujarat Alkalies & Chemicals Ltd.,0.0
526947-La Opala RG Ltd.,0.0
526371-NMDC Ltd.,0.0
526299-Mphasis Ltd.,0.0
524804-Aurobindo Pharma Ltd.,0.0
513599-Hindustan Copper Ltd.,0.0
517506-TTK Prestige Ltd.,0.0
570001-Tata Motors DVR,0.0
508486-Hawkins Cookers Ltd.,0.0
509557-Garware Technical Fibres Ltd.,0.0
506197-Bliss GVS Pharma Ltd.,0.0
509488-Graphite India Ltd.,0.0
509480-Berger Paints India Ltd.,0.0
506285-Bayer CropScience Ltd.,0.0
508989-Navneet Education Ltd.,0.0
508869-Apollo Hospitals Enterprise Ltd.,0.0
507880-VIP Industries Ltd.,0.0
506943-JB Chemicals & Pharmaceuticals Ltd.,0.0
507815-Gillette India Ltd.,0.0
506395-Coromandel International Ltd.,0.0
506401-Deepak Nitrite Ltd.,0.0
506590-Phillips Carbon Black Ltd.,0.0
507717-Dhanuka Agritech Ltd.,0.0
506655-Sudarshan Chemical Inds. Ltd.,0.0
506767-Alkyl Amines Chemicals Ltd.,0.0
505790-Schaeffler India Ltd.,0.0
505726-IFB Industries Ltd.,0.0
509930-Supreme Industries Ltd.,0.0
505537-Zee Entertainment Enterprises Ltd.,0.0
513377-MMTC Ltd.,0.0
513375-Carborundum Universal Ltd.,0.0
513023-Nava Bharat Ventures Ltd.,0.0
501455-Greaves Cotton Ltd.,0.0
502355-Balkrishna Industries Ltd.,0.0
502986-Vardhman Textiles Ltd.,0.0
503100-Phoenix Mills Ltd.,0.0
512573-Avanti Feeds Ltd.,0.0
503310-Swan Energy Ltd.,0.0
512237-Jai Corp Ltd.,0.0
505355-Nesco Ltd.,0.0
505533-Westlife Development Ltd.,0.0
512070-UPL Ltd.,0.0
511218-Shriram Transport Finance Co. Ltd.,0.0
511196-Can Fin Homes Ltd.,0.0
507685-Wipro Ltd.,0.0
532508-Jindal Stainless Ltd.,-0.00031999999999985447
500338-Prism Johnson Ltd.,-0.0005715000000000873
524816-Natco Pharma Ltd.,-0.0010119999999999708
532652-Karnataka Bank Ltd.,-0.001249499999999971
522287-Kalpataru Power Transmission Ltd.,-0.0035639999999999418
500116-IDBI Bank Ltd.,-0.010600999999999913
534816-Indus Towers Ltd.,-0.01216
532947-IRB Infrastructure Developers Ltd.,-0.014305999999999913
505255-GMM Pfaudler Ltd.,-0.019498499999999912
532720-Mahindra & Mahindra Financial Services Ltd.,-0.023362000000000115
532505-UCO Bank,-0.025420685238029646
532509-Suprajit Engineering Ltd.,-0.0269275
505200-Eicher Motors Ltd.,-0.03535099999999991
532331-Ajanta Pharma Ltd.,-0.03638
542399-Chalet Hotel Ltd.,-0.03872
532500-Maruti Suzuki India Ltd.,-0.03891400000000009
500575-Voltas Ltd.,-0.04076799999999988
540047-Dilip Buildcon Ltd.,-0.05072899999999994
532174-ICICI Bank Ltd.,-0.05281800000000003
532659-IDFC Ltd.,-0.0546725
509966-VST Industries Ltd.,-0.055154000000000085
504067-Zensar Technologies Ltd.,-0.06155199999999997
500148-UFLEX Ltd.,-0.0631375
539551-Narayana Hrudayalaya Ltd.,-0.0673025
532929-Brigade Enterprises Ltd.,-0.07101400000000009
542830-Indian Railway Catering & Tourism Corpn. Ltd.,-0.07684300000000002
533162-Hathway Cable & Datacom Ltd.,-0.07908
500387-Shree Cement Ltd.,-0.0918025
532798-Network 18 Media & Investments Ltd.,-0.1054675
539118-VRL Logistics Ltd.,-0.11349199999999997
540065-RBL Bank Ltd.,-0.11533299999999988
541770-CreditAccess Grameen Ltd.,-0.118535
523395-3M India Ltd.,-0.1833025
540064-Future Retail Ltd.,-0.24527400000000008
