Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unixtime,Rate,% Return of Company,Close Price of SP500,% Return of SP500,Beta,% YTD of Company,% YTD of SP500,Alpha,Dividend Value,Revenue,Income,Expenditure,Net Profit,EPS,year,Revenue last 2 quarters,Income last 2 quarters,Expenditure  last 2 quarters,Net Profit  last 2 quarters,EPS last 2 quarters,Revenue last 4 quarters,Income last 4 quarters,Expenditure  last 4 quarters,Net Profit  last 4 quarters,EPS last 4 quarters,Revenue last 8 quarters,Income last 8 quarters,Expenditure  last 8 quarters,Net Profit  last 8 quarters,EPS last 8 quarters,p/e
2009-06-05,725.0,731.95,702.0,708.0,719.8841772348625,128688,3852,92640455.0,37003.0,28.75,29.95,-17.0,1244140200.0,0.2,-0.7499824770449304,5767.03,0.2953017799845137,0.28403756097809024,71.20762711864407,248.66543090637643,0.4341121366267089,2.2,15148.48,15258.7,-13894.24,836.08,3.95,2009,33705.44,33764.590000000004,-30906.96,1926.73,9.09,63088.79,63221.17,-59644.479999999996,2376.29,11.21,132383.59,132686.35,-127079.34,3541.69,16.71,179.2405063291139
2009-06-08,720.0,722.0,682.0,703.4,705.972948145926,106684,2962,75316018.0,43478.0,40.75,40.0,-16.6,1244399400.0,0.19,-0.6497175141242928,5549.2,-3.7771608609630913,0.28404712243411245,72.3272675575775,262.3520507460535,-2.329108568264772,2.2,15148.48,15258.7,-13894.24,836.08,3.95,2009,33705.44,33764.590000000004,-30906.96,1926.73,9.09,63088.79,63221.17,-59644.479999999996,2376.29,11.21,132383.59,132686.35,-127079.34,3541.69,16.71,178.07594936708858
2009-06-09,695.0,750.0,679.0,735.85,719.5873209686188,112201,3828,80738417.0,45248.0,40.33,71.0,40.85,1244485800.0,0.19,4.613306795564398,5718.17,3.044943415267065,0.28283622215974497,64.72786573350548,251.6446695358829,-6.582623042450763,2.2,15148.48,15258.7,-13894.24,836.08,3.95,2009,33705.44,33764.590000000004,-30906.96,1926.73,9.09,63088.79,63221.17,-59644.479999999996,2376.29,11.21,132383.59,132686.35,-127079.34,3541.69,16.71,186.29113924050634
2009-06-10,740.0,783.6,740.0,769.8,766.7671709369322,205842,5413,157832888.0,54161.0,26.31,43.6,29.8,1244572200.0,0.18,4.6137120337025115,5832.36,1.9969675613001887,0.2825794600331874,57.46297739672643,244.75992565616662,-11.830285930150254,2.2,15148.48,15258.7,-13894.24,836.08,3.95,2009,33705.44,33764.590000000004,-30906.96,1926.73,9.09,63088.79,63221.17,-59644.479999999996,2376.29,11.21,132383.59,132686.35,-127079.34,3541.69,16.71,194.88607594936707
2009-06-11,785.0,785.0,743.0,755.0,761.0194976652226,76881,2913,58507940.0,20853.0,27.12,42.0,-30.0,1244658600.0,0.19,-1.9225772928033182,5808.99,-0.40069543032322796,0.28275684094868403,60.54966887417219,246.14692054901107,-9.186332989732641,2.2,15148.48,15258.7,-13894.24,836.08,3.95,2009,33705.44,33764.590000000004,-30906.96,1926.73,9.09,63088.79,63221.17,-59644.479999999996,2376.29,11.21,132383.59,132686.35,-127079.34,3541.69,16.71,191.13924050632912
2009-06-12,765.0,785.0,735.5,761.6,762.9221113236835,110812,3730,84540925.0,25217.0,22.76,49.5,-3.4,1244745000.0,0.19,0.8741721854304663,5731.51,-1.3337946872003514,0.28283115520431695,59.15835084033614,250.82622206015515,-11.919381380983253,2.2,15148.48,15258.7,-13894.24,836.08,3.95,2009,33705.44,33764.590000000004,-30906.96,1926.73,9.09,63088.79,63221.17,-59644.479999999996,2376.29,11.21,132383.59,132686.35,-127079.34,3541.69,16.71,192.81012658227849
2009-06-15,752.0,759.6,738.0,747.7,749.7295813720137,67769,2155,50808424.0,27435.0,40.48,21.6,-4.3,1245004200.0,0.17,-1.8251050420168056,5617.09,-1.9963325545973016,0.2826879928916137,62.117159288484686,257.9725445025805,-10.930524579300716,2.2,15148.48,15258.7,-13894.24,836.08,3.95,2009,33705.44,33764.590000000004,-30906.96,1926.73,9.09,63088.79,63221.17,-59644.479999999996,2376.29,11.21,132383.59,132686.35,-127079.34,3541.69,16.71,189.29113924050634
2009-06-16,739.95,771.0,730.0,766.9,755.3976931838234,62337,2018,47089226.0,24442.0,39.21,41.0,26.95,1245090600.0,0.17,2.5678748161027003,5685.31,1.2145078679529853,0.28241990796501043,58.05841700352068,253.6771081963868,-13.707037161778821,2.2,15148.48,15258.7,-13894.24,836.08,3.95,2009,33705.44,33764.590000000004,-30906.96,1926.73,9.09,63088.79,63221.17,-59644.479999999996,2376.29,11.21,132383.59,132686.35,-127079.34,3541.69,16.71,194.1518987341772
2009-06-17,771.0,777.55,747.05,749.8,762.7680039345183,71165,2940,54282385.0,14579.0,20.49,30.5,-21.2,1245177000.0,0.17,-2.2297561611683387,5494.01,-3.364812121062888,0.28245738544369364,61.6631101627101,265.9920531633543,-13.590291967085484,2.2,15148.48,15258.7,-13894.24,836.08,3.95,2009,33705.44,33764.590000000004,-30906.96,1926.73,9.09,63088.79,63221.17,-59644.479999999996,2376.29,11.21,132383.59,132686.35,-127079.34,3541.69,16.71,189.82278481012656
2009-06-18,749.8,765.0,682.05,710.5,723.9290179099187,135344,4769,97979449.0,68150.0,50.35,82.95,-39.3,1245263400.0,0.18,-5.24139770605494,5373.21,-2.198758284022051,0.28160121172826263,70.6052076002815,274.2202519536739,-6.74485941219146,2.2,15148.48,15258.7,-13894.24,836.08,3.95,2009,33705.44,33764.590000000004,-30906.96,1926.73,9.09,63088.79,63221.17,-59644.479999999996,2376.29,11.21,132383.59,132686.35,-127079.34,3541.69,16.71,179.873417721519
