,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
216,500444,,WSTCSTPAPR,WEST COAST PAPER MILLS LTD.,Active,A ,2.0,INE976A01021,Paper & Paper Products,Equity
217,500449,,HOCL,HINDUSTAN ORGANIC CHEMICALS LTD.,Active,T ,10.0,INE048A01011,Commodity Chemicals,Equity
218,500450,,MPILCORPL,MPIL CORPORATION LTD.,Active,X ,10.0,INE844C01027,Other Financial Services,Equity
219,500456,,PASUPTAC,PASUPATI ACRYLON LTD.,Active,X ,10.0,INE818B01023,Fibres & Plastics,Equity
220,500458,,KORE,Kore Foods Ltd,Active,XT,10.0,INE601A01017,Other Food Products,Equity
221,500459,,PGHH,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,Active,A ,10.0,INE179A01014,Personal Products,Equity
222,500460,,MUKANDLTD,MUKAND LTD.,Active,B ,10.0,INE304A01026,Iron & Steel/Interm.Products,Equity
223,500463,,AGCNET,AGC Networks Limited,Active,B ,10.0,INE676A01019,IT Consulting & Software,Equity
224,500464,,UCALFUEL,UCAL FUEL SYSTEMS LTD.,Active,B ,10.0,INE139B01016,Auto Parts & Equipment,Equity
225,500467,,HARRMALAYA,HARRISONS MALAYALAM LTD.,Active,B ,10.0,INE544A01019,Auto Tyres & Rubber Products,Equity
226,500469,,FEDERALBNK,FEDERAL BANK LTD.,Active,A ,2.0,INE171A01029,Banks,Equity
227,500470,,TATASTEEL,TATA STEEL LTD.,Active,A ,10.0,INE081A01012,Iron & Steel/Interm.Products,Equity
228,500472,,SKFINDIA,SKF India Ltd,Active,A ,10.0,INE640A01023,Other Industrial Goods,Equity
229,500477,,ASHOKLEY,ASHOK LEYLAND LTD.,Active,A ,1.0,INE208A01029,Commercial Vehicles,Equity
230,500480,,CUMMINSIND,CUMMINS INDIA LTD.,Active,A ,2.0,INE298A01020,Industrial Machinery,Equity
231,500483,,TATACOMM,TATA COMMUNICATIONS LTD.,Active,A ,10.0,INE151A01013,Telecom - Alternate Carriers,Equity
232,500488,,ABBOTINDIA,ABBOTT INDIA LTD.,Active,A ,10.0,INE358A01014,Pharmaceuticals,Equity
233,500490,,BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LTD.,Active,A ,10.0,INE118A01012,Holding Companies,Equity
234,500493,,BHARATFORG,BHARAT FORGE LTD.,Active,A ,2.0,INE465A01025,Other Industrial Products,Equity
235,500495,,ESCORTS,ESCORTS LTD.,Active,A ,10.0,INE042A01014,Commercial Vehicles,Equity
236,500500,,HINDMOTORS,HINDUSTAN MOTORS LTD.,Active,T ,5.0,INE253A01025,Cars & Utility Vehicles,Equity
237,500510,,LT,LARSEN & TOUBRO LTD.,Active,A ,2.0,INE018A01030,Construction & Engineering,Equity
238,500520,,M&M,MAHINDRA & MAHINDRA LTD.,Active,A ,5.0,INE101A01026,Cars & Utility Vehicles,Equity
239,500530,,BOSCHLTD,BOSCH LTD.,Active,A ,10.0,INE323A01026,Auto Parts & Equipment,Equity
240,500540,,PREMIER,PREMIER LTD.,Active,T ,10.0,INE342A01018,Industrial Machinery,Equity
241,500547,,BPCL,BHARAT PETROLEUM CORPORATION LTD.,Active,A ,10.0,INE029A01011,Refineries/ Petro-Products,Equity
242,500550,,SIEMENS,SIEMENS LTD.,Active,A ,2.0,INE003A01024,Heavy Electrical Equipment,Equity
243,500570,,TATAMOTORS,TATA MOTORS LTD.,Active,A ,2.0,INE155A01022,Commercial Vehicles,Equity
244,500575,,VOLTAS,VOLTAS LTD.,Active,A ,1.0,INE226A01021,Consumer Electronics,Equity
245,500620,,GESHIP,GREAT EASTERN SHIPPING CO.LTD.,Active,A ,10.0,INE017A01032,Shipping,Equity
246,500645,,DEEPAKFERT,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.,Active,A ,10.0,INE501A01019,Commodity Chemicals,Equity
247,500650,,EXCELINDUS,EXCEL INDUSTRIES LTD.,Active,A ,5.0,INE369A01029,Specialty Chemicals,Equity
248,500655,,GARWARPOLY,GARWARE POLYESTER LTD.,Active,X ,10.0,INE291A01017,Commodity Chemicals,Equity
249,500660,,GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,Active,A ,10.0,INE159A01016,Pharmaceuticals,Equity
250,500670,,GNFC,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,Active,A ,10.0,INE113A01013,Fertilizers,Equity
251,500672,,NOVARTIND,NOVARTIS INDIA LTD.,Active,A ,5.0,INE234A01025,Pharmaceuticals,Equity
252,500674,,SANOFI,Sanofi India Ltd,Active,A ,10.0,INE058A01010,Pharmaceuticals,Equity
253,500680,,PFIZER,PFIZER LTD.,Active,A ,10.0,INE182A01018,Pharmaceuticals,Equity
254,500690,,GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,Active,A ,2.0,INE026A01025,Fertilizers,Equity
255,500696,,HINDUNILVR,HINDUSTAN UNILEVER LTD.,Active,A ,1.0,INE030A01027,Personal Products,Equity
256,500710,,AKZOINDIA,Akzo Nobel India Limited,Active,A ,10.0,INE133A01011,Furniture-Furnishing-Paints,Equity
257,500730,,NOCIL,NOCIL LTD.,Active,A ,10.0,INE163A01018,Specialty Chemicals,Equity
258,500770,,TATACHEM,TATA CHEMICALS LTD.,Active,A ,10.0,INE092A01019,Commodity Chemicals,Equity
259,500777,,TNPETRO,TAMILNADU PETROPRODUCTS LTD.,Active,B ,10.0,INE148A01019,Commodity Chemicals,Equity
260,500780,,ZUARIGLOB,ZUARI GLOBAL LTD.,Active,T ,10.0,INE217A01012,Fertilizers,Equity
261,500790,,NESTLEIND,NESTLE INDIA LTD.,Active,A ,10.0,INE239A01016,Packaged Foods,Equity
262,500800,,TATACONSUM,Tata Consumer Products Ltd,Active,A ,1.0,INE192A01025,Tea & Coffee,Equity
263,500820,,ASIANPAINT,ASIAN PAINTS LTD.,Active,A ,1.0,INE021A01026,Furniture-Furnishing-Paints,Equity
264,500825,,BRITANNIA,BRITANNIA INDUSTRIES LTD.,Active,A ,1.0,INE216A01030,Packaged Foods,Equity
265,500830,,COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.,Active,A ,1.0,INE259A01022,Personal Products,Equity
266,500840,,EIHOTEL,EIH LTD.,Active,A ,2.0,INE230A01023,Hotels,Equity
267,500850,,INDHOTEL,INDIAN HOTELS CO.LTD.,Active,A ,1.0,INE053A01029,Hotels,Equity
268,500870,,CASTROLIND,CASTROL INDIA LTD.,Active,A ,5.0,INE172A01027,Oil Marketing & Distribution,Equity
269,500875,,ITC,ITC LTD.,Active,A ,1.0,INE154A01025,Cigarettes-Tobacco Products,Equity
270,500877,,APOLLOTYRE,APOLLO TYRES LTD.,Active,A ,1.0,INE438A01022,Auto Tyres & Rubber Products,Equity
271,500878,,CEATLTD,CEAT LTD.,Active,A ,10.0,INE482A01020,Auto Tyres & Rubber Products,Equity
272,500890,,MODIRUBBER,MODI RUBBER LTD.,Active,T ,10.0,INE832A01018,Auto Tyres & Rubber Products,Equity
