DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
11022021,500356,1645,23952,1899,27708,86.62
11022021,500357,7640,101000,7640,101000,100.0
11022021,500358,200,472,200,472,100.0
11022021,500360,567,15395,617,16708,91.9
11022021,500365,32151,325690,50243,510968,63.99
11022021,500366,88026,365308,149822,622377,58.75
11022021,500367,76477,4722455,100115,6156991,76.39
11022021,500368,8516,6007613,11941,8527460,71.32
11022021,500370,2251,63478,2251,63478,100.0
11022021,500378,70576,5088530,119298,8694440,59.16
11022021,500380,16502,6130493,25331,9436300,65.15
11022021,500387,197,5578597,1090,30801836,18.07
11022021,500388,154,2949,154,2949,100.0
11022021,500390,101841,3238544,196449,6208580,51.84
11022021,500400,529880,46496970,1834067,161542400,28.89
11022021,500402,3777,56353,4177,61987,90.42
11022021,500403,5632,3478605,7928,4843003,71.04
11022021,500404,24241,1539304,37757,2392172,64.2
11022021,500405,7404,2810189,11177,4260953,66.24
11022021,500407,832,1055476,1332,1699315,62.46
11022021,500408,5394,15282012,20297,57739258,26.58
11022021,500410,13675,24290219,69353,123000177,19.72
11022021,500411,2610,3002544,4190,4854367,62.29
11022021,500412,120123,11856141,401935,41399592,29.89
11022021,500413,25424,1196200,46505,2202067,54.67
11022021,500414,81998,2640336,94134,3050729,87.11
11022021,500418,1252,89518,1901,135583,65.86
11022021,500420,2321,6057230,9878,25683332,23.5
11022021,500422,3180,63282,4935,96430,64.44
11022021,500425,78360,21705720,236569,65295084,33.12
11022021,500426,7420,116623,7420,116623,100.0
11022021,500429,1739,142772,3944,323376,44.09
11022021,500439,37,50209,39,52789,94.87
11022021,500440,180550,53352525,1607377,466450236,11.23
11022021,500444,12564,2390301,30431,5756787,41.29
11022021,500449,38223,910172,38223,910172,100.0
11022021,500450,500,128725,502,129239,99.6
11022021,500456,182853,2411832,202275,2786481,90.4
11022021,500458,1750,4189,1750,4189,100.0
11022021,500459,523,6813331,970,12553054,53.92
11022021,500460,2001,131366,4041,266039,49.52
11022021,500463,2905,2630042,3655,3284518,79.48
11022021,500464,5837,744218,6275,807719,93.02
11022021,500467,3072,353280,4917,569151,62.48
11022021,500469,126260,10536397,672488,55969646,18.78
11022021,500470,95853,66569909,626305,434435721,15.3
11022021,500472,1472,3497546,3096,7367793,47.55
11022021,500477,201114,27150390,917904,123499084,21.91
11022021,500480,10486,8115116,70054,55051565,14.97
11022021,500483,2517,2593014,6848,7069363,36.76
11022021,500488,697,10056038,1326,19118057,52.56
11022021,500490,2026,7184906,2863,10129639,70.76
11022021,500493,12053,7812152,68490,44916316,17.6
11022021,500495,5486,7817002,28610,40866744,19.18
11022021,500500,19221,132625,28860,197804,66.6
11022021,500510,36538,55926890,138719,213402858,26.34
11022021,500520,59289,54196075,172013,156620056,34.47
11022021,500530,1102,17880006,5234,85312657,21.05
11022021,500540,3655,14108,3655,14108,100.0
11022021,500547,315655,133190628,454045,189303223,69.52
11022021,500550,2631,4852748,8911,16547091,29.53
11022021,500570,670496,217844151,4273371,1396617001,15.69
11022021,500575,8575,9441504,60589,66394274,14.15
11022021,500620,6057,1548170,10387,2668657,58.31
11022021,500645,17340,2801277,63408,10321122,27.35
11022021,500650,1924,1645790,4530,3905991,42.47
11022021,500655,204467,128016789,233882,145255171,87.42
11022021,500660,2043,2943963,3575,5138150,57.15
11022021,500670,11369,2544383,30730,6883316,37.0
11022021,500672,2188,1399226,3801,2437242,57.56
11022021,500674,473,3684812,706,5505304,67.0
11022021,500680,1497,6644285,3032,13441371,49.37
11022021,500690,19023,1486648,39597,3105349,48.04
11022021,500696,69344,156883866,121168,273241802,57.23
11022021,500710,796,1752554,1511,3345330,52.68
11022021,500730,108094,16819427,184125,28345864,58.71
11022021,500770,114907,64250250,526060,299110941,21.84
11022021,500777,25256,1069592,43637,1843529,57.88
11022021,500780,4502,433815,4502,433815,100.0
11022021,500790,688,11982656,2025,35154239,33.98
11022021,500800,343705,209797532,554142,337081679,62.02
11022021,500820,85706,214727813,125040,314391884,68.54
11022021,500825,7825,27102279,21446,73870761,36.49
11022021,500830,79621,128042512,89843,142007601,88.62
11022021,500840,67803,6627744,109623,10819169,61.85
11022021,500850,26826,3416292,93383,11891980,28.73
11022021,500870,14851,1939541,36201,4732674,41.02
11022021,500875,1144939,259271437,2604153,590017994,43.97
11022021,500877,107765,25868989,610703,148589161,17.65
11022021,500878,14135,23388478,32368,52944935,43.67
11022021,500890,1638,144062,1638,144062,100.0
11022021,500940,9387,6354999,20460,13915290,45.88
11022021,501148,549,139942,549,139942,100.0
11022021,501150,87587,2189675,222469,5523967,39.37
11022021,501242,11391,75637,12007,79825,94.87
11022021,501295,133,7422,161,9052,82.61
11022021,501298,143,157458,173,190059,82.66
11022021,501301,528,573118,1077,1171101,49.02
11022021,501314,768,28109,768,28108,100.0
11022021,501343,384,7412,676,13079,56.8
11022021,501370,1,56,3,166,33.33
11022021,501391,570,72105,672,85268,84.82
11022021,501421,8,1152,8,1152,100.0
11022021,501423,2730,2567292,3144,2912444,86.83
11022021,501425,1284,1599864,2603,3255906,49.33
11022021,501430,302,138951,363,168254,83.2
11022021,501455,29900,2623725,85616,7474440,34.92
11022021,501700,205,4182,622,12680,32.96
11022021,501831,10896,2013581,16683,3136946,65.31
11022021,501848,6522,51394,6735,52747,96.84
11022021,501945,5,8,5,7,100.0
11022021,502015,42393,669810,46095,727300,91.97
11022021,502090,1779,1233203,2257,1556214,78.82
11022021,502137,4972,1957228,6472,2533857,76.82
11022021,502157,2724,730032,4991,1356005,54.58
11022021,502168,21936,3616150,28883,4731551,75.95
11022021,502175,23906,1437946,32620,1956628,73.29
11022021,502180,38291,2209391,56894,3286243,67.3
11022021,502219,121841,37094493,216073,65874208,56.39
11022021,502271,10600,51728,10601,51712,99.99
11022021,502281,15518,90470,17524,101980,88.55
11022021,502294,26,752,26,752,100.0
11022021,502330,9912,2265884,12505,2842713,79.26
11022021,502355,13721,22617697,69151,114007609,19.84
11022021,502420,34405,739708,75192,1624240,45.76
11022021,502445,152,1634,152,1635,100.0
11022021,502448,61,209,61,209,100.0
11022021,502450,751,105253,1134,159228,66.23
11022021,502587,22120,1835960,22848,1879372,96.81
11022021,502742,556012,2308243,556012,2308243,100.0
11022021,502820,2343,75094,2343,75093,100.0
11022021,502865,1581,2360433,1696,2526551,93.22
11022021,502873,637,22009,753,26152,84.59
11022021,502893,503,6283,503,5690,100.0
11022021,502937,59634,3992497,122959,8395162,48.5
11022021,502958,196,379623,382,722397,51.31
11022021,502986,500,519550,640,665252,78.12
11022021,503015,2011,100181,2011,100181,100.0
11022021,503031,72835,435554,83948,503726,86.76
11022021,503092,444,2952,444,2952,100.0
11022021,503100,446,364539,1018,828319,43.81
11022021,503101,1298,100206,1944,147375,66.77
11022021,503127,5,12995,5,12995,100.0
11022021,503162,1889,144509,2802,215844,67.42
11022021,503169,9,1686,9,1699,100.0
11022021,503229,300,16035,300,15640,100.0
11022021,503310,10857,1575894,119596,17127384,9.08
11022021,503349,10,18832,12,22251,83.33
11022021,503624,2688,15159,2688,15159,100.0
11022021,503641,8437,37346,8437,37346,100.0
11022021,503657,9532,90364,10278,95450,92.74
11022021,503663,7439,14135,7640,15226,97.37
11022021,503669,500,4125,500,4125,100.0
11022021,503691,512,14540,512,14540,100.0
11022021,503722,3984,444017,6989,736017,57.0
11022021,503776,1135,24516,1170,24868,97.01
11022021,503804,5222,1475477,6431,1892012,81.2
11022021,503806,1495,8468129,7173,40364994,20.84
11022021,503811,444,87024,728,142864,60.99
11022021,503960,1755,1848893,2524,2638876,69.53
11022021,504000,3825,159503,4015,166911,95.27
11022021,504008,30106,44310,30106,44310,100.0
11022021,504028,41548,1593366,48196,1863946,86.21
11022021,504036,6489,945123,10668,1555172,60.83
11022021,504058,3992,2869849,6489,4690864,61.52
11022021,504067,8140,1841675,12838,2916890,63.41
11022021,504076,200,1900,200,1832,100.0
11022021,504080,1,83,1,83,100.0
11022021,504092,2950,60475,3444,71193,85.66
11022021,504093,4774,1066989,5976,1347117,79.89
11022021,504112,10214,2238909,16317,3615006,62.6
11022021,504132,13576,2173518,19413,3141083,69.93
11022021,504176,7734,6846524,11847,10987121,65.28
11022021,504180,1468,37580,1468,37580,100.0
11022021,504212,1713,236994,3991,552904,42.92
11022021,504220,2250,7808,3012,10516,74.7
11022021,504240,409,15399,655,24518,62.44
11022021,504258,791,231408,1020,295919,77.55
11022021,504273,7706,53942,7706,53254,100.0
11022021,504286,3752,99241,3752,99763,100.0
11022021,504335,1190606,266391,1190606,266391,100.0
11022021,504341,1274,44145,2948,102760,43.22
11022021,504378,1327,2945,1327,2945,100.0
11022021,504392,26,285,26,285,100.0
11022021,504605,205,81262,346,140002,59.25
11022021,504614,1436,546255,4104,1564418,34.99
11022021,504646,111,14081,186,23209,59.68
11022021,504697,6332,8484,6332,8484,100.0
11022021,504731,1,18,1,18,100.0
11022021,504741,2397,475326,4816,964166,49.77
11022021,504786,1301,275943,1428,305942,91.11
11022021,504810,1218,23484,1218,23483,100.0
11022021,504840,59,70800,90,106550,65.56
11022021,504879,18916,443581,25306,591155,74.75
11022021,504882,3,1593,3,1593,100.0
11022021,504908,666,79288,681,79643,97.8
11022021,504918,36242,35671189,81162,78993288,44.65
11022021,504959,41,82615,59,118271,69.49
11022021,504961,31517,1410940,31517,1410940,100.0
11022021,504966,33616,5869354,79966,13977451,42.04
11022021,504973,3668,2003829,4800,2669604,76.42
11022021,504988,238,84252,238,83869,100.0
11022021,505010,7957,9189540,11202,12911838,71.03
11022021,505036,4263,1984001,7039,3271945,60.56
11022021,505075,26812,429797,44576,688514,60.15
11022021,505141,5040,150572,5040,150572,100.0
11022021,505160,814,151445,1207,226270,67.44
11022021,505163,1632,674098,1863,770579,87.6
11022021,505192,1146,581137,2486,1264973,46.1
11022021,505196,516,91848,965,174771,53.47
