,Company,Y-Column,Model,Method,RMSE,MAE,MSE,r2_score
1097,500002-ABB India Limited,LowerBandInLast36Months,Ridge Regression,RidgeFIAllFeatureConsideration,128.3402496270366,79.6339904536061,16471.219674330066,0.7636610077675552
1080,500002-ABB India Limited,LowerBandInLast3Months,Linear Regression,LinearFIAllFeatureConsideration,88.0909410671302,37.51233355130657,7760.013898092608,0.903788962968992
1081,500002-ABB India Limited,LowerBandInLast3Months,Ridge Regression,RidgeFIAllFeatureConsideration,91.95696894693221,42.11366148789271,8456.084137907053,0.8951588702270923
1083,500002-ABB India Limited,LowerBandInLast3Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,93.76470811455107,42.12832776397344,8791.82048780696,0.8909963077862164
1082,500002-ABB India Limited,LowerBandInLast3Months,Lasso Regression,LassoFIAllFeatureConsideration,93.8176446610664,42.065119325289146,8801.75044975012,0.8908731930664779
1084,500002-ABB India Limited,LowerBandInLast6Months,Linear Regression,LinearFIAllFeatureConsideration,65.7572971904734,39.80443475384125,4324.022133796239,0.9456706619944482
1087,500002-ABB India Limited,LowerBandInLast6Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,69.97716653745512,50.46121918692999,4896.8038366107285,0.9384739248426235
1086,500002-ABB India Limited,LowerBandInLast6Months,Lasso Regression,LassoFIAllFeatureConsideration,71.98569368226566,51.67379043634513,5181.940094916983,0.9348913196487045
1085,500002-ABB India Limited,LowerBandInLast6Months,Ridge Regression,RidgeFIAllFeatureConsideration,188.40869033156645,103.26693634683743,35497.8345924561,0.553986128108567
1110,500002-ABB India Limited,UpperBandInLast12Months,Lasso Regression,LassoFIAllFeatureConsideration,69.1377487239805,40.56583199013024,4780.028298620266,0.9566810740393573
1111,500002-ABB India Limited,UpperBandInLast12Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,69.1377487239805,40.56583199013024,4780.028298620266,0.9566810740393573
1108,500002-ABB India Limited,UpperBandInLast12Months,Linear Regression,LinearFIAllFeatureConsideration,72.09665191044617,36.13781009805787,5197.927216696042,0.952893872131707
1109,500002-ABB India Limited,UpperBandInLast12Months,Ridge Regression,RidgeFIAllFeatureConsideration,106.57849743586252,76.63454732210246,11358.976115686153,0.8970594702365783
1112,500002-ABB India Limited,UpperBandInLast24Months,Linear Regression,LinearFIAllFeatureConsideration,59.55646701736813,38.835277500015096,3546.9727635908575,0.9629531469049735
1114,500002-ABB India Limited,UpperBandInLast24Months,Lasso Regression,LassoFIAllFeatureConsideration,64.21926181615946,43.51034735858841,4124.113588212437,0.9569251188455608
1115,500002-ABB India Limited,UpperBandInLast24Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,66.65323817086882,44.540120019582915,4442.6541586625635,0.9535980773076593
1113,500002-ABB India Limited,UpperBandInLast24Months,Ridge Regression,RidgeFIAllFeatureConsideration,67.447275014784,48.066004460082276,4549.134906919906,0.9524859242405056
1116,500002-ABB India Limited,UpperBandInLast36Months,Linear Regression,LinearFIAllFeatureConsideration,45.93694877106666,30.478439274297614,2110.203262395603,0.9740797091776436
1118,500002-ABB India Limited,UpperBandInLast36Months,Lasso Regression,LassoFIAllFeatureConsideration,48.129144735583374,36.50771136359264,2316.414572978733,0.9715467507482712
1119,500002-ABB India Limited,UpperBandInLast36Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,48.13589701132884,36.52545854879352,2317.0645810852566,0.9715387664941199
1117,500002-ABB India Limited,UpperBandInLast36Months,Ridge Regression,RidgeFIAllFeatureConsideration,184.97944629519986,131.76482313419982,34217.39555167873,0.579696961099265
1100,500002-ABB India Limited,UpperBandInLast3Months,Linear Regression,LinearFIAllFeatureConsideration,73.06447206689312,42.875897532790155,5338.417078413805,0.9488574519969561
1103,500002-ABB India Limited,UpperBandInLast3Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,75.62938641549196,47.931345399501204,5719.8040895838,0.9452037278236672
1102,500002-ABB India Limited,UpperBandInLast3Months,Lasso Regression,LassoFIAllFeatureConsideration,80.48904381646652,50.62755896798484,6478.486174489068,0.9379354806304663
1101,500002-ABB India Limited,UpperBandInLast3Months,Ridge Regression,RidgeFIAllFeatureConsideration,84.75938981215285,61.00257416165694,7184.154161328481,0.9311751135851343
1107,500002-ABB India Limited,UpperBandInLast6Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,74.49540812064527,47.29305095760431,5549.5658310615,0.9493827529345701
1106,500002-ABB India Limited,UpperBandInLast6Months,Lasso Regression,LassoFIAllFeatureConsideration,74.6597087187443,47.19666924443247,5574.0721059677435,0.9491592327152694
1104,500002-ABB India Limited,UpperBandInLast6Months,Linear Regression,LinearFIAllFeatureConsideration,82.89571429156301,46.38424121173892,6871.699447908444,0.9373236539032768
1105,500002-ABB India Limited,UpperBandInLast6Months,Ridge Regression,RidgeFIAllFeatureConsideration,92.79935614839594,52.239092709636004,8611.720501556832,0.9214530293800745
1051,500003-AEGIS LOGISTICS LTD.,LowerBandInLast12Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,145.67134916888256,89.22313301402943,21220.1419686825,0.9367759452918054
1050,500003-AEGIS LOGISTICS LTD.,LowerBandInLast12Months,Lasso Regression,LassoFIAllFeatureConsideration,147.3998116673601,89.41698865863424,21726.704479573225,0.9352666747153435
1049,500003-AEGIS LOGISTICS LTD.,LowerBandInLast12Months,Ridge Regression,RidgeFIAllFeatureConsideration,197.3317736913114,88.18453028302811,38939.82890815894,0.883981272281279
1048,500003-AEGIS LOGISTICS LTD.,LowerBandInLast12Months,Linear Regression,LinearFIAllFeatureConsideration,206.3018311666118,87.79843743643305,42560.4455426972,0.8731938767719897
1053,500003-AEGIS LOGISTICS LTD.,LowerBandInLast24Months,Ridge Regression,RidgeFIAllFeatureConsideration,67.79275733467826,34.381597657471055,4595.857947038573,0.9706424342399306
1055,500003-AEGIS LOGISTICS LTD.,LowerBandInLast24Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,77.11730428094978,54.64550655602297,5947.078619560595,0.96201106438319
1054,500003-AEGIS LOGISTICS LTD.,LowerBandInLast24Months,Lasso Regression,LassoFIAllFeatureConsideration,77.51470082219296,54.83088370460277,6008.5288435540815,0.961618530712078
1052,500003-AEGIS LOGISTICS LTD.,LowerBandInLast24Months,Linear Regression,LinearFIAllFeatureConsideration,82.3344541672822,34.758175717054776,6778.962343024293,0.9566971314031565
1057,500003-AEGIS LOGISTICS LTD.,LowerBandInLast36Months,Ridge Regression,RidgeFIAllFeatureConsideration,32.87637793907683,23.84086541000333,1080.8562263930178,0.9924180958369403
1056,500003-AEGIS LOGISTICS LTD.,LowerBandInLast36Months,Linear Regression,LinearFIAllFeatureConsideration,32.876377961162554,23.84086542301035,1080.856227845215,0.9924180958267536
1058,500003-AEGIS LOGISTICS LTD.,LowerBandInLast36Months,Lasso Regression,LassoFIAllFeatureConsideration,98.80591295874095,49.290684756926744,9762.608435610293,0.9315180319705526
1059,500003-AEGIS LOGISTICS LTD.,LowerBandInLast36Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,105.87516385626833,48.665027494720285,11209.550321591667,0.9213681392825693
1042,500003-AEGIS LOGISTICS LTD.,LowerBandInLast3Months,Lasso Regression,LassoFIAllFeatureConsideration,279.8561015318639,126.06505948133656,78319.43756461292,0.9402796826941523
1043,500003-AEGIS LOGISTICS LTD.,LowerBandInLast3Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,305.44197058596274,126.98050864343983,93294.79739543612,0.9288606369415805
1041,500003-AEGIS LOGISTICS LTD.,LowerBandInLast3Months,Ridge Regression,RidgeFIAllFeatureConsideration,376.61428665994157,124.45611896449205,141838.32091637666,0.8918451179598108
1040,500003-AEGIS LOGISTICS LTD.,LowerBandInLast3Months,Linear Regression,LinearFIAllFeatureConsideration,419.61393885716444,127.35469133370844,176075.85768322414,0.8657382328356689
1047,500003-AEGIS LOGISTICS LTD.,LowerBandInLast6Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,363.5373628441011,121.13276381585574,132159.41418364362,0.833956056161925
1046,500003-AEGIS LOGISTICS LTD.,LowerBandInLast6Months,Lasso Regression,LassoFIAllFeatureConsideration,365.82071172718514,121.1554015602445,133824.79312858428,0.8318636884731685
1045,500003-AEGIS LOGISTICS LTD.,LowerBandInLast6Months,Ridge Regression,RidgeFIAllFeatureConsideration,451.73265026234725,121.89743714989756,204062.38731304414,0.743617783206971
1044,500003-AEGIS LOGISTICS LTD.,LowerBandInLast6Months,Linear Regression,LinearFIAllFeatureConsideration,489.28885544862976,121.16952643676896,239403.58406623013,0.6992154095652254
1068,500003-AEGIS LOGISTICS LTD.,UpperBandInLast12Months,Linear Regression,LinearFIAllFeatureConsideration,1552.4731183082765,581.505662037364,2410172.783069824,0.6723114537399694
1069,500003-AEGIS LOGISTICS LTD.,UpperBandInLast12Months,Ridge Regression,RidgeFIAllFeatureConsideration,1651.4203771967427,592.5610182263698,2727189.2622206323,0.6292097018974783
1070,500003-AEGIS LOGISTICS LTD.,UpperBandInLast12Months,Lasso Regression,LassoFIAllFeatureConsideration,1736.4237317149843,636.6952732985574,3015167.3760629916,0.5900560237285988
1071,500003-AEGIS LOGISTICS LTD.,UpperBandInLast12Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,1737.3123452124935,636.1477402795645,3018254.184827734,0.589636339345883
1075,500003-AEGIS LOGISTICS LTD.,UpperBandInLast24Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,765.6186701549224,368.70109491404224,586171.9480897918,0.9374021297138713
1074,500003-AEGIS LOGISTICS LTD.,UpperBandInLast24Months,Lasso Regression,LassoFIAllFeatureConsideration,766.1229575575752,368.7260281841247,586944.3860967662,0.9373196403106813
1073,500003-AEGIS LOGISTICS LTD.,UpperBandInLast24Months,Ridge Regression,RidgeFIAllFeatureConsideration,844.2150709688271,342.87242617314683,712699.0860509019,0.9238901740572157
1072,500003-AEGIS LOGISTICS LTD.,UpperBandInLast24Months,Linear Regression,LinearFIAllFeatureConsideration,907.0248550731746,345.86333514704404,822694.0877205135,0.912143701253331
1077,500003-AEGIS LOGISTICS LTD.,UpperBandInLast36Months,Ridge Regression,RidgeFIAllFeatureConsideration,543.6605836049366,242.53359536842729,295566.8301656603,0.9713824248072022
1076,500003-AEGIS LOGISTICS LTD.,UpperBandInLast36Months,Linear Regression,LinearFIAllFeatureConsideration,556.323245529864,246.9716672843343,309495.5535168814,0.9700338083619136
1078,500003-AEGIS LOGISTICS LTD.,UpperBandInLast36Months,Lasso Regression,LassoFIAllFeatureConsideration,614.3570821611963,291.0211850093964,377434.62440161896,0.963455764849781
1079,500003-AEGIS LOGISTICS LTD.,UpperBandInLast36Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,644.284428872665,293.8645782834106,415102.42528777616,0.9598086670898505
1060,500003-AEGIS LOGISTICS LTD.,UpperBandInLast3Months,Linear Regression,LinearFIAllFeatureConsideration,868.9251614915798,420.36490105540247,755030.9362731681,0.8127905470517958
1061,500003-AEGIS LOGISTICS LTD.,UpperBandInLast3Months,Ridge Regression,RidgeFIAllFeatureConsideration,1002.3832383700945,471.6989987219837,1004772.1565653178,0.7508673661815025
1063,500003-AEGIS LOGISTICS LTD.,UpperBandInLast3Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,1384.8295165359925,522.922140295893,1917752.7898693106,0.5244943836957787
1062,500003-AEGIS LOGISTICS LTD.,UpperBandInLast3Months,Lasso Regression,LassoFIAllFeatureConsideration,1412.500974306431,527.8271543855147,1995159.002416617,0.5053015612436258
1064,500003-AEGIS LOGISTICS LTD.,UpperBandInLast6Months,Linear Regression,LinearFIAllFeatureConsideration,1679.8039133340847,581.7575921855163,2821741.187252505,0.4664857989217194
1065,500003-AEGIS LOGISTICS LTD.,UpperBandInLast6Months,Ridge Regression,RidgeFIAllFeatureConsideration,1851.3916697827092,607.406405713048,3427651.1149408077,0.3519247780682161
1067,500003-AEGIS LOGISTICS LTD.,UpperBandInLast6Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,1949.9552688061829,664.6196712325362,3802325.5503449924,0.2810840741184134
1066,500003-AEGIS LOGISTICS LTD.,UpperBandInLast6Months,Lasso Regression,LassoFIAllFeatureConsideration,1973.7172372911155,667.2738649777664,3895559.732780074,0.2634560363027014
409,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast12Months,Ridge Regression,RidgeFIAllFeatureConsideration,3062.315254230859,120.11493685872686,9377774.716295011,-149.1482398717828
411,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast12Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,3512.588054262477,136.948019926836,12338274.838947453,-196.54902481323217
410,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast12Months,Lasso Regression,LassoFIAllFeatureConsideration,3573.7666159247183,138.96875638989798,12771807.825098014,-203.4903533017227
408,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast12Months,Linear Regression,LinearFIAllFeatureConsideration,3628.7366437230307,139.07454056073385,13167729.629498284,-209.82948639630052
412,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast24Months,Linear Regression,LinearFIAllFeatureConsideration,1360.1335516630597,75.89219610951977,1849963.278359569,-32.242209897546665
413,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast24Months,Ridge Regression,RidgeFIAllFeatureConsideration,1620.0481442023095,84.05952911917403,2624555.989533347,-46.16095833496496
414,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast24Months,Lasso Regression,LassoFIAllFeatureConsideration,2137.484243910777,104.6280856211444,4568838.892966826,-81.09800877926295
415,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast24Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,2239.2200441490418,108.09120627672898,5014106.406118836,-89.09907361438927
417,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast36Months,Ridge Regression,RidgeFIAllFeatureConsideration,264.67270020035664,28.226368865216468,70051.63823134785,-0.5186799693658521
418,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast36Months,Lasso Regression,LassoFIAllFeatureConsideration,850.4246809630642,50.270278039379185,723222.1379911297,-14.67904765826833
419,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast36Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,1202.979876819339,62.14045447458497,1447160.5840322725,-30.373624470670897
416,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast36Months,Linear Regression,LinearFIAllFeatureConsideration,1245.5107747100299,61.44005231949657,1551297.089918779,-32.631245128267665
402,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast3Months,Lasso Regression,LassoFIAllFeatureConsideration,31.334569820860303,24.251134851073942,981.8552658583692,0.984637720067023
403,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast3Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,32.97437894741095,24.448246777525746,1087.3096669674583,0.9829877619863012
401,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast3Months,Ridge Regression,RidgeFIAllFeatureConsideration,152.4769797241275,27.142073197148065,23249.229345791984,0.6362384743908268
400,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast3Months,Linear Regression,LinearFIAllFeatureConsideration,436.40762086796275,36.74823348006201,190451.61155163552,-1.9798393633760503
406,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast6Months,Lasso Regression,LassoFIAllFeatureConsideration,596.9555541493155,47.77463600466419,356355.9336297164,-4.640477849076268
407,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast6Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,821.2064624910826,55.25903101973269,674380.0540371179,-9.674231569293056
405,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast6Months,Ridge Regression,RidgeFIAllFeatureConsideration,966.5695668177094,56.39614548729313,934256.7274981744,-13.787615076670921
404,500008-AMARA RAJA BATTERIES LTD.,LowerBandInLast6Months,Linear Regression,LinearFIAllFeatureConsideration,1157.1628019997488,62.85774050754862,1339025.75033191,-20.194385644600498
430,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast12Months,Lasso Regression,LassoFIAllFeatureConsideration,83.19854363857954,57.53703985695203,6921.997663580624,0.9019543700775834
431,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast12Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,115.31647704062895,60.10185133254616,13297.889877061903,0.8116439714368484
429,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast12Months,Ridge Regression,RidgeFIAllFeatureConsideration,1284.424068963671,96.10802828419216,1649745.188933193,-22.36757596892348
428,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast12Months,Linear Regression,LinearFIAllFeatureConsideration,1536.8467005908647,104.79695379009112,2361897.7811170267,-32.45475786280286
435,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast24Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,61.983004482721356,40.111483793759746,3841.8928447050557,0.9233718767323082
434,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast24Months,Lasso Regression,LassoFIAllFeatureConsideration,61.98300448272162,40.11148379376077,3841.8928447050885,0.9233718767323077
433,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast24Months,Ridge Regression,RidgeFIAllFeatureConsideration,79.66500181753892,39.805074310698124,6346.5125145884795,0.8734162135838619
432,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast24Months,Linear Regression,LinearFIAllFeatureConsideration,1035.6912364897216,72.91726387335083,1072656.3373416087,-20.394569126248935
437,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast36Months,Ridge Regression,RidgeFIAllFeatureConsideration,587.8842233501405,42.08217229621427,345607.86006399785,-9.268078800649272
438,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast36Months,Lasso Regression,LassoFIAllFeatureConsideration,985.16613708826,58.687389896576825,970552.3176654043,-27.835303908006484
436,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast36Months,Linear Regression,LinearFIAllFeatureConsideration,1208.4560975246568,62.596728857954574,1460366.1396445227,-42.387770743678146
439,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast36Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,1530.3969960990064,76.98080968157417,2342114.965668862,-68.5847051140983
421,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast3Months,Ridge Regression,RidgeFIAllFeatureConsideration,239.73242679145352,65.45405773182223,57471.636455319625,0.2621985487512093
422,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast3Months,Lasso Regression,LassoFIAllFeatureConsideration,3051.5947340340313,156.3779292250041,9312230.42078423,-118.54726787985511
423,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast3Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,3477.889470308983,170.747301994968,12095715.1676861,-154.28070462285888
420,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast3Months,Linear Regression,LinearFIAllFeatureConsideration,3799.247132553612,186.16288832125537,14434278.774216846,-184.30239408836366
426,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast6Months,Lasso Regression,LassoFIAllFeatureConsideration,606.3497270167725,75.88581224898712,367659.99145331455,-3.8135822255300598
425,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast6Months,Ridge Regression,RidgeFIAllFeatureConsideration,2982.2790864074445,153.1523003760771,8893988.549223222,-115.44439479362019
427,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast6Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,4394.978181273215,204.2716186723811,19315833.21386762,-251.8922199612865
424,500008-AMARA RAJA BATTERIES LTD.,UpperBandInLast6Months,Linear Regression,LinearFIAllFeatureConsideration,5914.770424901534,251.91217399074887,34984509.17928987,-457.03409527551617
210,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast12Months,Lasso Regression,LassoFIAllFeatureConsideration,0.21478279139157935,0.14085332134328077,0.04613164747795869,0.9789776307406726
211,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast12Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,0.21478279139157935,0.14085332134328077,0.04613164747795869,0.9789776307406726
208,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast12Months,Linear Regression,LinearFIAllFeatureConsideration,0.21585766139114132,0.1411381663040417,0.046594529981252616,0.9787666934028596
209,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast12Months,Ridge Regression,RidgeFIAllFeatureConsideration,0.2189503847836187,0.14244035131529298,0.047939270996894684,0.9781538897477875
212,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast24Months,Linear Regression,LinearFIAllFeatureConsideration,0.18485564505608326,0.1350273810574194,0.03417160950910064,0.9753360945248446
213,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast24Months,Ridge Regression,RidgeFIAllFeatureConsideration,0.18500623584747872,0.1356848520659627,0.034227307302452915,0.975295893752035
214,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast24Months,Lasso Regression,LassoFIAllFeatureConsideration,0.18886968871966234,0.1349210734462373,0.035671759317062145,0.974253337417595
215,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast24Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,0.19125518377456532,0.13848919202702867,0.03657854532064276,0.9735988501224458
219,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast36Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,0.10714066632744867,0.07825248082140644,0.011479122381089694,0.978945226410522
218,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast36Months,Lasso Regression,LassoFIAllFeatureConsideration,0.10714066632745256,0.07825248082141179,0.011479122381090527,0.9789452264105205
217,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast36Months,Ridge Regression,RidgeFIAllFeatureConsideration,0.10873030528230052,0.08012346653062345,0.011822279286782266,0.9783158149698943
216,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast36Months,Linear Regression,LinearFIAllFeatureConsideration,0.11149438726902088,0.08220831052413802,0.012430998392494404,0.977199314724939
200,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast3Months,Linear Regression,LinearFIAllFeatureConsideration,0.379929168629822,0.27856976126461497,0.14434617317574774,0.9569232920969378
201,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast3Months,Ridge Regression,RidgeFIAllFeatureConsideration,0.38120156385380044,0.27919045350609756,0.1453146322845831,0.9566342783376568
202,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast3Months,Lasso Regression,LassoFIAllFeatureConsideration,0.4206806229211039,0.31306256444564473,0.17697218650128801,0.9471868285998796
203,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast3Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,0.4237336959818008,0.31841666415518416,0.17955024511039716,0.9464174678664548
204,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast6Months,Linear Regression,LinearFIAllFeatureConsideration,0.29497334896227,0.2055916482922508,0.08700927659801713,0.9633211273509876
207,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast6Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,0.30075836963041247,0.2115916111635624,0.09045559690274381,0.9618683265864348
206,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast6Months,Lasso Regression,LassoFIAllFeatureConsideration,0.3031915357327907,0.2098886709511111,0.09192510734000808,0.9612488525683502
205,500009-AMBALAL SARABHAI ENTERPRISES LTD.,LowerBandInLast6Months,Ridge Regression,RidgeFIAllFeatureConsideration,0.30378560154188994,0.2066843417798651,0.09228569170416792,0.9610968477650769
229,500009-AMBALAL SARABHAI ENTERPRISES LTD.,UpperBandInLast12Months,Ridge Regression,RidgeFIAllFeatureConsideration,982.0174480663818,680.2502624939114,964358.2683068089,0.9641350884556549
230,500009-AMBALAL SARABHAI ENTERPRISES LTD.,UpperBandInLast12Months,Lasso Regression,LassoFIAllFeatureConsideration,1008.2515530594661,690.134037755464,1016571.1942468254,0.9621932665914653
231,500009-AMBALAL SARABHAI ENTERPRISES LTD.,UpperBandInLast12Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,1025.1651181042787,725.4569541574433,1050963.51937776,0.9609142007720878
228,500009-AMBALAL SARABHAI ENTERPRISES LTD.,UpperBandInLast12Months,Linear Regression,LinearFIAllFeatureConsideration,1055.847607593003,769.2032360512338,1114814.170459868,0.9585395667503053
232,500009-AMBALAL SARABHAI ENTERPRISES LTD.,UpperBandInLast24Months,Linear Regression,LinearFIAllFeatureConsideration,957.7152922211557,249.4812624969483,917218.5809542536,0.9641449438147949
234,500009-AMBALAL SARABHAI ENTERPRISES LTD.,UpperBandInLast24Months,Lasso Regression,LassoFIAllFeatureConsideration,978.5970691183013,222.92361015022033,957652.2236869293,0.9625643494373409
235,500009-AMBALAL SARABHAI ENTERPRISES LTD.,UpperBandInLast24Months,Elastic Net Regression,ElasticFIAllFeatureConsideration,978.7743244218894,223.57598436443894,957999.178147526,0.9625507866160715
233,500009-AMBALAL SARABHAI ENTERPRISES LTD.,UpperBandInLast24Months,Ridge Regression,RidgeFIAllFeatureConsideration,985.661969329641,197.9665776758881,971529.5177827862,0.9620218711558958
236,500009-AMBALAL SARABHAI ENTERPRISES LTD.,UpperBandInLast36Months,Linear Regression,LinearFIAllFeatureConsideration,0.0,0.0,0.0,1.0
237,500009-AMBALAL SARABHAI ENTERPRISES LTD.,UpperBandInLast36Months,Ridge Regression,RidgeFIAllFeatureConsideration,0.0,0.0,0.0,1.0
238,500009-AMBALAL SARABHAI ENTERPRISES LTD.,UpperBandInLast36Months,Lasso Regression,LassoFIAllFeatureConsideration,0.0,0.0,0.0,1.0
