Predicted Values,Actual Values
[-0.00108989],[-0.00960611]
[-0.00110279],[-0.02123651]
[-0.0011016],[0.01115773]
[-0.00107416],[0.01406817]
[-0.00109811],[-0.00678037]
[-0.00112051],[0.01335805]
[-0.00110165],[-0.0083685]
[-0.00109876],[0.00482599]
[-0.00110384],[-0.00276946]
[-0.001125],[-0.00251025]
[-0.00107519],[0.01205128]
[-0.00110933],[0.00609248]
[-0.001104],[0.00085859]
[-0.00109476],[-0.02727872]
[-0.0011105],[0.03653061]
[-0.00110092],[-0.00774143]
[-0.00110026],[0.00678199]
[-0.00109585],[0.01530469]
[-0.00111375],[-0.00984191]
[-0.00110334],[-0.02552106]
[-0.00109851],[-0.00726304]
[-0.00110789],[-0.00391865]
[-0.00109888],[0.00527358]
[-0.00109423],[-0.02218263]
[-0.00107777],[0.00798112]
[-0.00108761],[-0.0071716]
[-0.00109583],[0.02892227]
[-0.0010989],[0.02219416]
[-0.00110599],[0.00101359]
[-0.00110621],[-0.01265413]
[-0.00110057],[-0.03391754]
[-0.0010999],[-0.00195591]
[-0.00109505],[0.01207901]
[-0.00110118],[0.00791499]
[-0.00113568],[-0.03296561]
[-0.00113501],[0.01774126]
[-0.00111357],[-0.06481787]
[-0.00110353],[-0.0152255]
[-0.00107876],[-0.01774979]
[-0.00110273],[-0.03085157]
[-0.0011033],[-0.00937718]
[-0.00109638],[0.02128639]
[-0.00110407],[-0.00071252]
[-0.00105643],[-0.00501825]
[-0.00109888],[-0.04837715]
[-0.00108894],[0.01362373]
[-0.00111496],[-0.00908399]
[-0.00110925],[0.02144646]
[-0.00110364],[0.00732301]
[-0.0011007],[0.01659574]
[-0.00110298],[-0.03262049]
[-0.00109372],[-0.02486725]
[-0.00110836],[-0.02853331]
[-0.0010989],[0.00052397]
[-0.00110439],[-0.00147695]
[-0.00110821],[-0.01998859]
[-0.00110928],[-0.06576098]
[-0.00106856],[0.00658852]
[-0.00109976],[-0.00772242]
[-0.0010976],[0.00422792]
[-0.0011033],[-0.01336997]
[-0.00110832],[0.02102198]
[-0.00108412],[0.03513108]
[-0.00111165],[-0.00962335]
[-0.00110405],[-0.00417814]
[-0.00109074],[-0.00119796]
[-0.00109809],[0.00265734]
[-0.00109843],[-0.00837771]
[-0.00110475],[-0.00612281]
[-0.00111629],[0.03263431]
[-0.00110362],[-0.01620017]
[-0.00109316],[-0.01029021]
[-0.00110346],[-0.01072301]
[-0.00109397],[0.00994624]
[-0.00109592],[0.01439568]
[-0.00110377],[0.00514848]
[-0.00109828],[0.00506158]
[-0.00109866],[0.0332021]
[-0.00109738],[0.00911211]
[-0.00110594],[-0.00146544]
[-0.001106],[0.00504626]
[-0.00110614],[-0.0027403]
[-0.00110908],[-0.00542495]
[-0.00108165],[-0.02115892]
[-0.00109785],[0.01716234]
[-0.00109961],[0.00329251]
[-0.00109749],[0.01446169]
[-0.0011028],[-0.01198746]
[-0.00110156],[0.00766363]
[-0.00109468],[0.02106229]
[-0.00107757],[-0.00308411]
[-0.00109699],[-0.01139769]
[-0.00110004],[0.00797863]
[-0.00109332],[-0.02289482]
[-0.0010986],[-0.01221291]
[-0.00109424],[-0.00328486]
[-0.00108233],[-0.00748272]
[-0.00110129],[0.01022286]
[-0.00110418],[-0.00383964]
[-0.00111177],[0.00050383]
[-0.00109984],[-0.00234926]
[-0.00110165],[0.01069899]
[-0.00108951],[-0.00179606]
[-0.00109649],[0.03335405]
[-0.00111979],[0.01482872]
[-0.00109546],[-0.00683542]
[-0.0010975],[0.00652854]
[-0.00109606],[0.01131201]
[-0.00110664],[-0.00710248]
[-0.00105241],[0.00013966]
[-0.00104765],[0.00245294]
[-0.00109135],[0.00152821]
[-0.00109214],[0.00425292]
[-0.00111451],[0.00159337]
[-0.00110044],[-0.00396067]
[-0.00109903],[0.00670992]
[-0.00110362],[-0.00550575]
[-0.00110366],[-0.04408194]
[-0.00110288],[-0.00045144]
[-0.00112954],[-0.0063813]
[-0.00110066],[-0.04550868]
[-0.00110433],[0.00383531]
[-0.00110623],[0.00467137]
[-0.00107539],[0.02488671]
[-0.00109019],[0.00264157]
[-0.00109843],[-0.00722118]
[-0.00110947],[-0.00689368]
[-0.00110648],[-0.00562211]
[-0.00108361],[0.00328999]
[-0.00111234],[0.00996835]
[-0.00110582],[-0.00040699]
[-0.00109301],[0.00034996]
[-0.00106381],[0.00805322]
[-0.00110344],[0.01018223]
[-0.00108723],[-0.00697267]
[-0.00110621],[-0.02186769]
[-0.00110076],[0.01080905]
[-0.00110023],[0.06969465]
[-0.00110442],[-0.00460484]
[-0.00111769],[0.01513353]
[-0.00109558],[0.00711208]
[-0.00109918],[-0.00671925]
[-0.00110564],[0.00752115]
[-0.00110056],[-0.00924492]
[-0.00110025],[0.00392579]
[-0.00110021],[0.02188767]
[-0.0010907],[-0.00664952]
[-0.00111764],[0.00534721]
[-0.00109775],[-0.00061113]
[-0.00110136],[-0.01411185]
[-0.00113484],[-0.00523883]
[-0.00110107],[-0.0135663]
[-0.00111271],[0.00283657]
[-0.00109818],[-0.00621742]
[-0.00110027],[0.01361429]
[-0.00110984],[0.0133845]
[-0.00109827],[-0.0036228]
[-0.00109513],[0.00859623]
[-0.00110309],[-0.00357974]
[-0.00110142],[0.0054894]
[-0.00109843],[0.01420755]
[-0.00109877],[0.00852055]
[-0.00110578],[-0.03856964]
[-0.001107],[0.0042161]
[-0.0010973],[-0.00224173]
[-0.00110676],[0.00135881]
[-0.00110249],[-0.00971066]
[-0.00110056],[-0.0045068]
[-0.00109325],[-0.00061822]
[-0.0011129],[-0.01757593]
[-0.00110674],[-0.00158784]
[-0.00110662],[0.00240903]
[-0.00109658],[0.00989501]
[-0.00110702],[0.00647479]
[-0.00110838],[0.00110503]
[-0.00109762],[0.02756559]
[-0.00110837],[0.04185667]
[-0.00109764],[-0.01928626]
[-0.00108988],[0.00932097]
[-0.00110634],[0.00722634]
[-0.0011025],[0.00468481]
[-0.0011034],[-0.01012302]
[-0.00110259],[0.03025295]
[-0.00109648],[-0.00220937]
[-0.00110425],[-0.00475314]
[-0.0011016],[0.00280031]
[-0.00112133],[-0.04309879]
[-0.00112913],[-0.0056592]
[-0.00109583],[0.00115484]
[-0.00110309],[-0.00376149]
[-0.00110556],[-0.035338]
[-0.00109659],[0.0014307]
[-0.00110032],[-0.00984967]
[-0.00110012],[-0.00822609]
[-0.00109972],[-0.0176613]
[-0.00108553],[0.03283783]
[-0.00110844],[-0.00407642]
[-0.00109401],[-0.01302248]
[-0.00111088],[-0.00408016]
[-0.0011015],[-0.01007422]
[-0.00109753],[0.0137134]
[-0.00109848],[0.00601227]
[-0.00109794],[0.00813008]
[-0.00110845],[-0.00749523]
[-0.00109278],[-0.00493032]
[-0.00110006],[-0.02604891]
[-0.00109936],[-0.00697647]
[-0.00111307],[-0.00038954]
[-0.00109224],[0.00641371]
[-0.00110378],[-0.00402336]
[-0.00109754],[-0.0002572]
[-0.00106177],[-0.03322163]
[-0.00109841],[-0.02217087]
[-0.00110035],[-0.00475118]
[-0.00110521],[-0.00799292]
[-0.00110226],[0.00569086]
[-0.00109961],[0.01304243]
[-0.00111162],[-0.00290829]
[-0.00110059],[0.00124472]
[-0.00109966],[0.00538019]
[-0.0011006],[-0.00030225]
[-0.00109771],[-0.00995134]
[-0.00110526],[0.01085271]
[-0.00111029],[-0.00215834]
[-0.00109618],[-0.00544592]
[-0.00109724],[0.02293925]
[-0.00109421],[-0.02514031]
[-0.00110047],[0.00681431]
[-0.00109545],[-0.01288736]
[-0.00109811],[-0.00694993]
[-0.00107718],[0.00745257]
[-0.00109773],[0.01464927]
[-0.00109737],[0.02636563]
[-0.00110228],[0.01192677]
[-0.00110842],[0.0420989]
[-0.00110606],[0.00796485]
[-0.00110124],[0.01729947]
[-0.00110623],[-0.01374764]
[-0.00110115],[0.02902432]
[-0.00110772],[-0.00754289]
[-0.0010791],[-0.03201075]
[-0.001096],[0.00524389]
[-0.00109419],[-0.00051054]
[-0.0011286],[0.00412615]
[-0.00108303],[0.00040774]
[-0.00112511],[-0.05118769]
[-0.00108654],[0.02418688]
[-0.00109532],[-0.01007534]
[-0.00110189],[-0.0028414]
[-0.00111492],[-0.01865185]
[-0.00109876],[0.00375094]
[-0.00110103],[0.02989475]
[-0.00109181],[-0.04278164]
[-0.00110187],[-0.00895331]
[-0.00110948],[-0.00523458]
[-0.00110233],[-0.00422874]
[-0.00109826],[-0.00669646]
[-0.00113747],[0.05826687]
[-0.00110078],[-0.00730126]
[-0.00110186],[0.00102712]
[-0.0011234],[-0.00090972]
[-0.00109943],[-0.00463152]
[-0.00110047],[-0.01233622]
[-0.00110239],[-0.02130731]
[-0.00109542],[-0.01271296]
[-0.00109412],[-0.0136422]
[-0.00111629],[-0.01960686]
[-0.00110328],[0.00117266]
[-0.00109744],[0.02443969]
[-0.00109936],[0.0165381]
[-0.00112369],[-0.02305296]
[-0.00110336],[0.0251965]
[-0.00101177],[-0.01313256]
[-0.00110101],[0.00628128]
[-4.0475737e-05],[0.00022456]
[-0.00110195],[0.00574857]
[-0.00111028],[-0.01329761]
[-0.00109048],[-0.02014794]
[-0.00109224],[-0.0136153]
[-0.00111025],[-0.00509463]
[-0.00109575],[-0.02510731]
[-0.00110441],[0.00694061]
[-0.00110709],[-0.02042877]
[-0.00109559],[-0.00366569]
[-0.00110015],[-0.0152076]
[-0.00109875],[-0.01144919]
[-0.00110616],[0.0003576]
[-0.00109802],[-0.00329943]
[-0.0011009],[-0.01581715]
[-0.00110521],[-0.00587401]
[-0.00108239],[-0.0271414]
[-0.00108384],[-0.00076798]
[-0.00110222],[-0.02652012]
[-0.00110075],[-0.00311756]
[-0.00110299],[0.0030788]
[-0.0011189],[-0.01231124]
[-0.00133541],[0.10983421]
[-0.00110672],[-0.00618156]
[-0.00110191],[-0.00558522]
[-0.00110345],[-0.02598588]
[-0.00110349],[0.0088539]
[-0.00110082],[0.00018728]
[-0.00110349],[-0.05126743]
[-0.00109724],[-0.0133508]
[-0.00108997],[0.00774352]
[-0.00113945],[-0.02071139]
[-0.00110381],[0.00207354]
[-0.00110582],[-0.0182559]
[-0.00109508],[-0.01281867]
[-0.00110244],[0.01439075]
[-0.00109513],[-0.01520011]
[-0.00110378],[-0.02067032]
[-0.00110452],[-0.00767959]
[-0.00109427],[-0.00413654]
[-0.00109152],[0.00069707]
[-0.00109948],[0.01299807]
[-0.00110191],[0.00668376]
[-0.00109882],[0.02101105]
[-0.00111129],[-0.02929548]
[-0.0010972],[-0.00612849]
[-0.00121958],[-0.03533838]
[-0.00109817],[0.00979531]
[-0.00110129],[0.00492426]
[-0.00110312],[-0.01172904]
[-0.00109413],[0.01057507]
[-0.0011011],[0.00605438]
[-0.0011021],[-0.00307351]
[-0.00117691],[-0.0666821]
[-0.00110453],[0.00311952]
[-0.00110236],[0.00297255]
[-0.00110533],[0.01323154]
[-0.00110046],[0.01538323]
[-0.00109078],[-0.01811708]
[-0.00109948],[0.00347327]
[-0.00110941],[0.10165887]
[-0.00109333],[-0.02212254]
[-0.00110245],[0.0420205]
[-0.00110361],[0.00384118]
[-0.00110074],[0.01076512]
[-0.00110551],[-0.03487088]
[-0.00110045],[-0.00499411]
[-0.0011033],[-0.01018294]
[-0.00110213],[-0.01968755]
[-0.00110812],[-0.02523161]
[-0.00112349],[-0.00467392]
[-0.00111268],[-0.04264619]
[-0.00109626],[0.01765605]
[-0.00110462],[0.00054963]
[-0.0010909],[-0.01229796]
[-0.00110021],[0.00326021]
[-0.00109426],[0.05984573]
[-0.00110108],[0.01017953]
[-0.00110402],[0.05058022]
[-0.00109859],[-0.09434869]
[-0.00108709],[0.03460926]
[-0.00104667],[-0.0025665]
[-0.00109307],[-0.00041905]
[-0.00110054],[-0.01187259]
[-0.0011022],[-0.00484653]
[-0.00115919],[0.09268353]
[-0.00111614],[-0.01643517]
[-0.00110524],[0.01079055]
[-0.00110111],[0.0267699]
[-0.00110278],[0.01542744]
[-0.00111571],[-0.04274333]
[-0.00111302],[0.02355391]
[-0.0010969],[-0.00788294]
[-0.00112577],[0.03918622]
[-0.00109242],[-0.00558182]
[-0.00109999],[0.01078658]
[-0.00109426],[-0.014069]
[-0.00109974],[0.01369233]
[-0.00109967],[-0.02373338]
[-0.0010307],[-0.00806402]
[-0.00110829],[-0.02602826]
[-0.00109628],[0.00205081]
[-0.00111738],[0.00105453]
[-0.0010921],[0.00961794]
[-0.00111133],[0.02079844]
[-0.00109774],[-0.00832455]
[-0.00110006],[0.00758842]
[-0.00110623],[-0.00189026]
[-0.00110182],[-0.01600709]
[-0.0010991],[-0.0064208]
[-0.00111204],[0.01428061]
[-0.00110359],[-0.00119075]
[-0.00110114],[0.00168057]
[-0.00109653],[0.02079437]
[-0.00112598],[0.02131406]
[-0.00109559],[0.02403051]
[-0.00110326],[-0.01689551]
[-0.00106626],[-0.00280339]
[-0.00109766],[-0.03091422]
[-0.00110373],[-0.00919007]
[-0.00110251],[0.00707835]
[-0.00109658],[0.01240458]
[-0.00109929],[0.02551227]
[-0.00107766],[0.02248705]
[-0.00110323],[-0.01734476]
[-0.00109999],[0.01825739]
[-0.00109852],[-0.01142357]
[-0.00111667],[-0.02699755]
[-0.00110363],[0.0019033]
[-0.00109076],[0.05011414]
[-0.00111286],[-0.00318968]
[-0.00110174],[0.00334114]
[-0.00109897],[0.00950191]
[-0.00111429],[-0.02823137]
[-0.00098974],[-0.01151079]
[-0.00109953],[0.02388795]
[-0.00110002],[-0.00591272]
[-0.00109774],[0.01072809]
[-0.0011008],[-0.01026604]
[-0.00110235],[0.00868626]
[-0.00109752],[0.01012902]
[-0.00112153],[0.01955864]
[-0.00109973],[-0.0049332]
[-0.0011027],[0.02226087]
[-0.00109692],[0.01144685]
[-0.00108982],[0.00290946]
[-0.00110122],[0.00596118]
[-0.00110938],[-0.01753895]
[-0.00110036],[-0.00302083]
[-0.00109529],[-0.00547081]
[-0.00111093],[-0.00588681]
[-0.00112219],[0.03438196]
[-0.00112455],[-0.00686528]
[-0.00110178],[0.00193266]
[-0.00110073],[-0.00482882]
[-0.00111501],[0.01289414]
[-0.00110647],[0.07869086]
[-0.00109049],[0.0192528]
[-0.00110794],[-0.00430787]
[-0.00110135],[-0.02058265]
[-0.00109882],[0.00502153]
[-0.00110389],[0.00050799]
[-0.00110585],[-0.01441872]
[-0.00110061],[0.00450642]
[-0.00109714],[-0.00669329]
[-0.00111016],[-0.00332458]
[-0.00110749],[-0.02131363]
[-0.0010857],[-0.0057273]
[-0.00109768],[0.00321104]
[-0.00109787],[0.01449008]
[-0.00110041],[0.05062352]
[-0.00109286],[-0.04877518]
[-0.00110235],[0.01062037]
[-0.00108358],[0.01923426]
[-0.0010945],[-0.00488908]
[-0.00109849],[0.00780048]
[-0.00110103],[0.0156105]
[-0.00110239],[-0.02689082]
[-0.00110505],[0.00370776]
[-0.00110154],[-0.04395291]
[-0.00110502],[-0.00542952]
[-0.00107458],[-0.00780973]
[-0.00110338],[0.00085871]
[-0.00110335],[0.00729157]
[-0.00109979],[0.00302439]
[-0.00109751],[-0.00507328]
[-0.00109992],[0.01280306]
[-0.00106139],[0.02225192]
[-0.00109414],[0.00993443]
[-0.00111746],[-0.00767263]
[-0.00115729],[0.05880788]
[-0.00111589],[-0.00764634]
[-0.00111208],[0.01992577]
[-0.00213487],[0.03896924]
