Company,Model,Method,Percentage
532540-TATA CONSULTANCY SERVICES LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5144230769230769
532540-TATA CONSULTANCY SERVICES LTD,Linear Regression,LinearFIPValue0.2,0.4939903846153846
532540-TATA CONSULTANCY SERVICES LTD,Lasso Regression,LassoFIFValue100,0.4915865384615384
532540-TATA CONSULTANCY SERVICES LTD,Elastic Net Regression,ElasticFIFValue100,0.4891826923076923
532540-TATA CONSULTANCY SERVICES LTD,Ridge Regression,RidgeFIPValue0.05,0.4807692307692308
532689-PVR LTD,Lasso Regression,LassoFIFValue1,0.5476878612716763
532689-PVR LTD,Ridge Regression,RidgeFIFValue10,0.546242774566474
532689-PVR LTD,Linear Regression,LinearFIFValue10,0.541907514450867
532689-PVR LTD,Elastic Net Regression,ElasticFIFValue1,0.5404624277456648
532689-PVR LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5043352601156069
532689-PVR LTD,RNN-Regression,RNN_Regression_FI_AllFeaturesConsideration,0.5043352601156069
532706-INOX LEISURE LTD,Linear Regression,LinearFIFValue1,0.5048543689320388
532706-INOX LEISURE LTD,Ridge Regression,RidgeFIFValue1,0.5024271844660194
532706-INOX LEISURE LTD,RNN-Regression,RNN_Regression_FI_AllFeaturesConsideration,0.49514563106796117
532706-INOX LEISURE LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.4890776699029126
532706-INOX LEISURE LTD,Elastic Net Regression,ElasticFIFValue1,0.4757281553398058
532706-INOX LEISURE LTD,Lasso Regression,LassoFIFValue1,0.4684466019417476
532899-KAVERI SEED COMPANY LTD,Ridge Regression,RidgeFIFValue1,0.5269922879177378
532899-KAVERI SEED COMPANY LTD,Linear Regression,LinearFIBackwardElimination,0.5154241645244216
532899-KAVERI SEED COMPANY LTD,Lasso Regression,LassoFIFValue100,0.512853470437018
532899-KAVERI SEED COMPANY LTD,Elastic Net Regression,ElasticFIFValue100,0.512853470437018
532899-KAVERI SEED COMPANY LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5077120822622108
532899-KAVERI SEED COMPANY LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5012853470437018
533155-JUBILANT FOODWORKS LTD,Linear Regression,LinearFIPValue0.2,0.5463483146067416
533155-JUBILANT FOODWORKS LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5365168539325843
533155-JUBILANT FOODWORKS LTD,Ridge Regression,RidgeFIPValue0.2,0.5308988764044944
533155-JUBILANT FOODWORKS LTD,Lasso Regression,LassoFIFValue10,0.5196629213483146
533155-JUBILANT FOODWORKS LTD,Elastic Net Regression,ElasticFIFValue10,0.5196629213483146
533155-JUBILANT FOODWORKS LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5182584269662921
533260-CAREER POINT LTD,Lasso Regression,LassoFIFValue1,0.5474339035769828
533260-CAREER POINT LTD,Elastic Net Regression,ElasticFICoefficients0.1,0.5474339035769828
