Predicted Values,Actual Values
[-0.00158133],[0.00773219]
[-0.00362714],[-0.00099046]
[0.00145262],[0.01326414]
[-0.01209399],[0.05438792]
[-0.00097498],[-0.00062621]
[0.00028638],[-0.01355864]
[-0.00023092],[0.02765227]
[-0.00177755],[0.00923063]
[-0.00859089],[0.00287563]
[0.00013713],[-0.00142785]
[-0.00061815],[0.00572091]
[0.00322435],[0.00025657]
[-0.0011425],[-0.0107339]
[-0.0031292],[0.02047735]
[0.00066703],[0.00490892]
[-0.00152808],[0.00854521]
[-0.00355232],[-0.01393181]
[-0.00376918],[0.01186729]
[0.00067848],[-0.00759192]
[-0.00185161],[0.00549492]
[0.00017917],[0.00169095]
[0.0034753],[0.01337932]
[-0.00071961],[-0.01776354]
[-0.00023928],[-0.0052785]
[-0.00104858],[-0.00735666]
[-0.00011416],[-0.0068943]
[0.00116041],[-0.00960611]
[-0.00225124],[-0.02123651]
[-0.00122579],[0.01115773]
[-0.00194086],[0.01406817]
[-0.00224849],[-0.00678037]
[-0.00062724],[0.01335805]
[0.00057511],[-0.0083685]
[-0.00225321],[0.00482599]
[0.00111123],[-0.00276946]
[-0.00102156],[-0.00251025]
[0.00062793],[0.01205128]
[0.00025217],[0.00609248]
[-0.00025179],[0.00085859]
[-0.00017368],[-0.02727872]
[0.00032142],[0.03653061]
[0.00028036],[-0.00774143]
[-0.00108552],[0.00678199]
[0.00030779],[0.01530469]
[-0.00112913],[-0.00984191]
[0.00068187],[-0.02552106]
[-0.00128167],[-0.00726304]
[-0.0029321],[-0.00391865]
[-0.00180801],[0.00527358]
[-0.00179402],[-0.02218263]
[-0.00082197],[0.00798112]
[-0.00046424],[-0.0071716]
[-0.0003345],[0.02892227]
[-0.00142756],[0.02219416]
[-0.00064436],[0.00101359]
[-0.00212472],[-0.01265413]
[-0.0010813],[-0.03391754]
[-0.00068438],[-0.00195591]
[-0.01458672],[0.01207901]
[0.00037249],[0.00791499]
[0.00023524],[-0.03296561]
[0.00322081],[0.01774126]
[0.00023506],[-0.06481787]
[0.00039998],[-0.0152255]
[0.00187402],[-0.01774979]
[-0.00022116],[-0.03085157]
[-0.00241772],[-0.00937718]
[-0.00293753],[0.02128639]
[-0.00014027],[-0.00071252]
[-0.00046198],[-0.00501825]
[-0.00083994],[-0.04837715]
[-0.00013401],[0.01362373]
[0.00091342],[-0.00908399]
[0.00064821],[0.02144646]
[0.00027347],[0.00732301]
[-0.00145044],[0.01659574]
[0.00210253],[-0.03262049]
[-0.00098186],[-0.02486725]
[-0.00052679],[-0.02853331]
[-0.0015335],[0.00052397]
[0.0017321],[-0.00147695]
[0.00100912],[-0.01998859]
[-0.00637613],[-0.06576098]
[-0.00082605],[0.00658852]
[0.00139011],[-0.00772242]
[-0.0026233],[0.00422792]
[-0.00746848],[-0.01336997]
[-0.00128285],[0.02102198]
[0.00055246],[0.03513108]
[0.00142986],[-0.00962335]
[-0.00048273],[-0.00417814]
[-0.00059517],[-0.00119796]
[-0.0001928],[0.00265734]
[-0.00340756],[-0.00837771]
[9.314e-05],[-0.00612281]
[-0.00027019],[0.03263431]
[0.00031672],[-0.01620017]
[-2.1248517e-05],[-0.01029021]
[-0.00155883],[-0.01072301]
[0.00050566],[0.00994624]
[-0.00249192],[0.01439568]
[-0.00513726],[0.00514848]
[-0.000431],[0.00506158]
[0.00048097],[0.0332021]
[-0.00108097],[0.00911211]
[0.00119032],[-0.00146544]
[-0.00018775],[0.00504626]
[0.00020493],[-0.0027403]
[-4.1547873e-06],[-0.00542495]
[-0.00110225],[-0.02115892]
[-0.00140137],[0.01716234]
[-0.00204837],[0.00329251]
[-0.00154517],[0.01446169]
[-0.00050719],[-0.01198746]
[-0.00436896],[0.00766363]
[0.00029026],[0.02106229]
[0.00090935],[-0.00308411]
[0.0004868],[-0.01139769]
[-0.00068714],[0.00797863]
[-0.00171417],[-0.02289482]
[-0.00377777],[-0.01221291]
[-0.00264198],[-0.00328486]
[-0.00064276],[-0.00748272]
[0.00061812],[0.01022286]
[0.00015177],[-0.00383964]
