,Company,Model,Method,Percentage
24,500182-HERO MOTOCORP LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5233333333333333
29,500182-HERO MOTOCORP LTD,SVR,SVR_FI_Coefficients_0.1,0.52
29,500182-HERO MOTOCORP LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.01,0.4966666666666666
29,500182-HERO MOTOCORP LTD,RNN-Regression,RNN_Regression_FI_AllFeaturesConsideration,0.4955555555555556
30,500209-INFOSYS LTD,SVR,SVR_FI_FValue_1,0.5183537263626251
25,500209-INFOSYS LTD,Elastic Net Regression,ElasticFICoefficients0.1,0.5116796440489433
31,500209-INFOSYS LTD,GRNN,GRNN_FI_ForwardSelection_stds_0.01,0.5083426028921023
31,500209-INFOSYS LTD,RNN-Regression,RNN_Regression_FI_AllFeaturesConsideration,0.5072302558398221
26,500209-INFOSYS LTD,Linear Regression,LinearFICoefficients0.1,0.5061179087875417
27,500209-INFOSYS LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5050055617352615
28,500209-INFOSYS LTD,Ridge Regression,RidgeFIForwardSelection,0.4949944382647386
29,500209-INFOSYS LTD,Lasso Regression,LassoFIFValue1,0.4905450500556173
30,500325-RELIANCE INDUSTRIES LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5328142380422692
37,500325-RELIANCE INDUSTRIES LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5272525027808677
31,500325-RELIANCE INDUSTRIES LTD,Linear Regression,LinearFIPValue0.05,0.5027808676307007
32,500325-RELIANCE INDUSTRIES LTD,Ridge Regression,RidgeFIBackwardElimination,0.5005561735261401
39,500325-RELIANCE INDUSTRIES LTD,SVR,SVR_FI_BackwardElimination_,0.4972191323692992
39,500325-RELIANCE INDUSTRIES LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.999,0.4860956618464961
33,500325-RELIANCE INDUSTRIES LTD,Lasso Regression,LassoFIFValue100,0.4794215795328142
34,500325-RELIANCE INDUSTRIES LTD,Elastic Net Regression,ElasticFIFValue100,0.4794215795328142
35,500387-SHREE CEMENT LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5118577075098815
36,500387-SHREE CEMENT LTD,Linear Regression,LinearFIFValue1,0.5059288537549407
44,500387-SHREE CEMENT LTD,SVR,SVR_FI_Coefficients_0.1,0.5
44,500387-SHREE CEMENT LTD,RNN-Regression,RNN_Regression_FI_AllFeaturesConsideration,0.4960474308300395
37,500387-SHREE CEMENT LTD,Ridge Regression,RidgeFIFValue1,0.4861660079051383
38,500387-SHREE CEMENT LTD,Lasso Regression,LassoFIFValue1,0.4802371541501976
39,500387-SHREE CEMENT LTD,Elastic Net Regression,ElasticFIFValue1,0.4802371541501976
45,500387-SHREE CEMENT LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.051,0.4802371541501976
40,500680-PFIZER LTD,Linear Regression,LinearFIForwardSelection,0.5397727272727273
41,500680-PFIZER LTD,Lasso Regression,LassoFIForwardSelection,0.5397727272727273
42,500680-PFIZER LTD,Elastic Net Regression,ElasticFIForwardSelection,0.5397727272727273
51,500680-PFIZER LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.01,0.5397727272727273
43,500680-PFIZER LTD,Ridge Regression,RidgeFIForwardSelection,0.5386363636363637
52,500680-PFIZER LTD,RNN-Regression,RNN_Regression_FI_ForwardSelection,0.5147727272727273
44,500680-PFIZER LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5113636363636364
53,500680-PFIZER LTD,SVR,SVR_FI_FValue_1,0.5079545454545454
45,500770-TATA CHEMICALS LTD,Linear Regression,LinearFIPValue0.02,0.5325301204819277
46,500770-TATA CHEMICALS LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5313253012048192
56,500770-TATA CHEMICALS LTD,SVR,SVR_FI_FValue_1,0.5216867469879518
56,500770-TATA CHEMICALS LTD,RNN-Regression,RNN_Regression_FI_ForwardSelection,0.5156626506024097
47,500770-TATA CHEMICALS LTD,Ridge Regression,RidgeFIForwardSelection,0.5120481927710844
48,500770-TATA CHEMICALS LTD,Elastic Net Regression,ElasticFIFValue10,0.5072289156626506
58,500770-TATA CHEMICALS LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.877,0.5072289156626506
49,500770-TATA CHEMICALS LTD,Lasso Regression,LassoFIFValue100,0.4927710843373494
50,500790-NESTLE INDIA LTD,Linear Regression,LinearFIFValue1,0.5139043381535039
51,500790-NESTLE INDIA LTD,Ridge Regression,RidgeFIPValue0.2,0.5116796440489433
52,500790-NESTLE INDIA LTD,Lasso Regression,LassoFIBackwardElimination,0.5016685205784205
53,500790-NESTLE INDIA LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5005561735261401
54,500790-NESTLE INDIA LTD,Elastic Net Regression,ElasticFIBackwardElimination,0.4994438264738598
65,500790-NESTLE INDIA LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.026,0.4961067853170189
65,500790-NESTLE INDIA LTD,SVR,SVR_FI_BackwardElimination_,0.4961067853170189
65,500790-NESTLE INDIA LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.489432703003337
66,500825-BRITANNIA INDUSTRIES LTD,SVR,SVR_FI_FValue_1,0.5194630872483221
55,500825-BRITANNIA INDUSTRIES LTD,Elastic Net Regression,ElasticFICoefficients0.1,0.5140939597315436
56,500825-BRITANNIA INDUSTRIES LTD,Linear Regression,LinearFIPValue0.2,0.512751677852349
57,500825-BRITANNIA INDUSTRIES LTD,Lasso Regression,LassoFIFValue1000,0.512751677852349
58,500825-BRITANNIA INDUSTRIES LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.508724832214765
59,500825-BRITANNIA INDUSTRIES LTD,Ridge Regression,RidgeFIFValue1000,0.5033557046979866
71,500825-BRITANNIA INDUSTRIES LTD,RNN-Regression,RNN_Regression_FI_AllFeaturesConsideration,0.497986577181208
71,500825-BRITANNIA INDUSTRIES LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.933,0.4885906040268456
72,501425-BOMBAY BURMAH TRADING CORP.LTD,RNN-Regression,RNN_Regression_FI_ForwardSelection,0.5270618556701031
60,501425-BOMBAY BURMAH TRADING CORP.LTD,Lasso Regression,LassoFIFValue100,0.5257731958762887
61,501425-BOMBAY BURMAH TRADING CORP.LTD,Elastic Net Regression,ElasticFIFValue100,0.5257731958762887
62,501425-BOMBAY BURMAH TRADING CORP.LTD,Linear Regression,LinearFICoefficients0.1,0.5193298969072165
63,501425-BOMBAY BURMAH TRADING CORP.LTD,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.5180412371134021
76,501425-BOMBAY BURMAH TRADING CORP.LTD,SVR,SVR_FI_PValue_0.2,0.5154639175257731
64,501425-BOMBAY BURMAH TRADING CORP.LTD,Ridge Regression,RidgeFIPValue0.2,0.5025773195876289
77,501425-BOMBAY BURMAH TRADING CORP.LTD,GRNN,GRNN_FI_ForwardSelection_stds_0.191,0.4922680412371134
65,506395-COROMANDEL iNTERNATIONAL LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5345982142857143
79,506395-COROMANDEL iNTERNATIONAL LTD,SVR,SVR_FI_BackwardElimination_,0.5323660714285714
66,506395-COROMANDEL iNTERNATIONAL LTD,Linear Regression,LinearFIFValue10,0.5301339285714286
80,506395-COROMANDEL iNTERNATIONAL LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5223214285714286
67,506395-COROMANDEL iNTERNATIONAL LTD,Ridge Regression,RidgeFIFValue10,0.5145089285714286
81,506395-COROMANDEL iNTERNATIONAL LTD,GRNN,GRNN_FI_ForwardSelection_stds_0.122,0.5145089285714286
68,506395-COROMANDEL iNTERNATIONAL LTD,Lasso Regression,LassoFIFValue100,0.4866071428571428
69,506395-COROMANDEL iNTERNATIONAL LTD,Elastic Net Regression,ElasticFIFValue100,0.4866071428571428
84,507685-WIPRO LTD,SVR,SVR_FI_PValue_0.2,0.5200892857142857
70,507685-WIPRO LTD,Lasso Regression,LassoFIPValue0.2,0.5178571428571429
71,507685-WIPRO LTD,Linear Regression,LinearFICoefficients0.1,0.5167410714285714
72,507685-WIPRO LTD,Elastic Net Regression,ElasticFIFValue100,0.5133928571428571
73,507685-WIPRO LTD,Ridge Regression,RidgeFIFValue100,0.5111607142857143
88,507685-WIPRO LTD,RNN-Regression,RNN_Regression_FI_ForwardSelection,0.5066964285714286
88,507685-WIPRO LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.505,0.4910714285714285
74,507685-WIPRO LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.4899553571428571
90,524715-SUN PHARMACEUTICAL INDUSTRIES LTD,SVR,SVR_FI_PValue_0.02,0.5381062355658198
75,524715-SUN PHARMACEUTICAL INDUSTRIES LTD,Linear Regression,LinearFIFValue1,0.5311778290993071
76,524715-SUN PHARMACEUTICAL INDUSTRIES LTD,Lasso Regression,LassoFIFValue1,0.5311778290993071
77,524715-SUN PHARMACEUTICAL INDUSTRIES LTD,Ridge Regression,RidgeFIFValue1,0.5265588914549654
78,524715-SUN PHARMACEUTICAL INDUSTRIES LTD,Elastic Net Regression,ElasticFIFValue1,0.5254041570438799
94,524715-SUN PHARMACEUTICAL INDUSTRIES LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5207852193995381
79,524715-SUN PHARMACEUTICAL INDUSTRIES LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5161662817551963
95,524715-SUN PHARMACEUTICAL INDUSTRIES LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.01,0.4942263279445728
80,530965-INDIAN OIL CORPORATION LTD,Ridge Regression,RidgeFIFValue10,0.5251396648044693
81,530965-INDIAN OIL CORPORATION LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5251396648044693
98,530965-INDIAN OIL CORPORATION LTD,RNN-Regression,RNN_Regression_FI_ForwardSelection,0.5206703910614525
82,530965-INDIAN OIL CORPORATION LTD,Lasso Regression,LassoFIPValue0.2,0.5173184357541899
83,530965-INDIAN OIL CORPORATION LTD,Elastic Net Regression,ElasticFIPValue0.2,0.5173184357541899
84,530965-INDIAN OIL CORPORATION LTD,Linear Regression,LinearFIFValue100,0.5162011173184358
101,530965-INDIAN OIL CORPORATION LTD,SVR,SVR_FI_BackwardElimination_,0.5150837988826815
101,530965-INDIAN OIL CORPORATION LTD,GRNN,GRNN_FI_ForwardSelection_stds_0.229,0.5005586592178771
102,532163-SAREGAMA INDIA LTD,SVR,SVR_FI_PValue_0.1,0.5471264367816092
102,532163-SAREGAMA INDIA LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.334,0.5367816091954023
85,532163-SAREGAMA INDIA LTD,Lasso Regression,LassoFIFValue1,0.535632183908046
86,532163-SAREGAMA INDIA LTD,Elastic Net Regression,ElasticFIFValue1,0.535632183908046
87,532163-SAREGAMA INDIA LTD,Linear Regression,LinearFIBackwardElimination,0.5022988505747127
88,532163-SAREGAMA INDIA LTD,Ridge Regression,RidgeFIFValue1,0.4988505747126436
89,532163-SAREGAMA INDIA LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.4954022988505747
107,532163-SAREGAMA INDIA LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.4655172413793103
108,532174-ICICI BANK LTD,SVR,SVR_FI_FValue_1000,0.5289532293986637
90,532174-ICICI BANK LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5167037861915368
91,532174-ICICI BANK LTD,Lasso Regression,LassoFIFValue1000,0.5144766146993318
92,532174-ICICI BANK LTD,Ridge Regression,RidgeFIBackwardElimination,0.5100222717149221
93,532174-ICICI BANK LTD,Elastic Net Regression,ElasticFIFValue1000,0.5077951002227171
112,532174-ICICI BANK LTD,RNN-Regression,RNN_Regression_FI_AllFeaturesConsideration,0.5044543429844098
94,532174-ICICI BANK LTD,Linear Regression,LinearFIBackwardElimination,0.5011135857461024
113,532174-ICICI BANK LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.999,0.5011135857461024
95,532210-CITY UNION BANK LTD,Ridge Regression,RidgeFIFValue1,0.5080645161290323
96,532210-CITY UNION BANK LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5011520737327189
116,532210-CITY UNION BANK LTD,RNN-Regression,RNN_Regression_FI_AllFeaturesConsideration,0.4988479262672811
97,532210-CITY UNION BANK LTD,Linear Regression,LinearFIBackwardElimination,0.4896313364055299
116,532210-CITY UNION BANK LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.423,0.4896313364055299
98,532210-CITY UNION BANK LTD,Lasso Regression,LassoFIFValue1,0.4827188940092166
99,532210-CITY UNION BANK LTD,Elastic Net Regression,ElasticFIFValue1,0.4827188940092166
119,532210-CITY UNION BANK LTD,SVR,SVR_FI_PValue_0.2,0.4827188940092166
100,532488-DIVI'S LABORATORIES LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5317460317460317
121,532488-DIVI'S LABORATORIES LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5260770975056689
121,532488-DIVI'S LABORATORIES LTD,SVR,SVR_FI_PValue_0.2,0.518140589569161
101,532488-DIVI'S LABORATORIES LTD,Ridge Regression,RidgeFIFValue100,0.5136054421768708
122,532488-DIVI'S LABORATORIES LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.03,0.5136054421768708
102,532488-DIVI'S LABORATORIES LTD,Linear Regression,LinearFIFValue1,0.5102040816326531
103,532488-DIVI'S LABORATORIES LTD,Lasso Regression,LassoFIFValue1,0.5102040816326531
104,532488-DIVI'S LABORATORIES LTD,Elastic Net Regression,ElasticFIFValue100,0.5102040816326531
126,532538-ULTRATECH CEMENT LTD,SVR,SVR_FI_FValue_1,0.5494994438264739
105,532538-ULTRATECH CEMENT LTD,Ridge Regression,RidgeFIPValue0.1,0.5439377085650723
106,532538-ULTRATECH CEMENT LTD,Elastic Net Regression,ElasticFIPValue0.1,0.542825361512792
107,532538-ULTRATECH CEMENT LTD,Linear Regression,LinearFIBackwardElimination,0.5417130144605117
108,532538-ULTRATECH CEMENT LTD,Lasso Regression,LassoFIBackwardElimination,0.5417130144605117
130,532538-ULTRATECH CEMENT LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5350389321468298
109,532538-ULTRATECH CEMENT LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5205784204671857
131,532538-ULTRATECH CEMENT LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.019,0.4827586206896552
132,532540-TATA CONSULTANCY SERVICES LTD,SVR,SVR_FI_FValue_100,0.5444711538461539
110,532540-TATA CONSULTANCY SERVICES LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.515625
133,532540-TATA CONSULTANCY SERVICES LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5144230769230769
133,532540-TATA CONSULTANCY SERVICES LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.01,0.5072115384615384
111,532540-TATA CONSULTANCY SERVICES LTD,Linear Regression,LinearFIPValue0.2,0.4939903846153846
112,532540-TATA CONSULTANCY SERVICES LTD,Lasso Regression,LassoFIFValue100,0.4915865384615384
113,532540-TATA CONSULTANCY SERVICES LTD,Elastic Net Regression,ElasticFIFValue100,0.4891826923076923
114,532540-TATA CONSULTANCY SERVICES LTD,Ridge Regression,RidgeFIPValue0.05,0.4807692307692308
115,532689-PVR LTD,Lasso Regression,LassoFIFValue1,0.5476878612716763
116,532689-PVR LTD,Ridge Regression,RidgeFIFValue10,0.546242774566474
117,532689-PVR LTD,Linear Regression,LinearFIFValue10,0.541907514450867
118,532689-PVR LTD,Elastic Net Regression,ElasticFIFValue1,0.5404624277456648
119,532689-PVR LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5043352601156069
143,532689-PVR LTD,RNN-Regression,RNN_Regression_FI_AllFeaturesConsideration,0.5043352601156069
143,532689-PVR LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.078,0.4913294797687861
143,532689-PVR LTD,SVR,SVR_FI_FValue_1,0.4884393063583815
144,532706-INOX LEISURE LTD,SVR,SVR_FI_BackwardElimination_,0.5364077669902912
120,532706-INOX LEISURE LTD,Linear Regression,LinearFIFValue1,0.5048543689320388
121,532706-INOX LEISURE LTD,Ridge Regression,RidgeFIFValue1,0.5024271844660194
146,532706-INOX LEISURE LTD,RNN-Regression,RNN_Regression_FI_AllFeaturesConsideration,0.4951456310679611
122,532706-INOX LEISURE LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.4890776699029126
123,532706-INOX LEISURE LTD,Elastic Net Regression,ElasticFIFValue1,0.4757281553398058
148,532706-INOX LEISURE LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.999,0.4696601941747573
124,532706-INOX LEISURE LTD,Lasso Regression,LassoFIFValue1,0.4684466019417476
125,532899-KAVERI SEED COMPANY LTD,Ridge Regression,RidgeFIFValue1,0.5269922879177378
126,532899-KAVERI SEED COMPANY LTD,Linear Regression,LinearFIBackwardElimination,0.5154241645244216
152,532899-KAVERI SEED COMPANY LTD,SVR,SVR_FI_FValue_100,0.5154241645244216
127,532899-KAVERI SEED COMPANY LTD,Lasso Regression,LassoFIFValue100,0.512853470437018
128,532899-KAVERI SEED COMPANY LTD,Elastic Net Regression,ElasticFIFValue100,0.512853470437018
129,532899-KAVERI SEED COMPANY LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5077120822622108
155,532899-KAVERI SEED COMPANY LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.999,0.5012853470437018
155,532899-KAVERI SEED COMPANY LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5012853470437018
130,533155-JUBILANT FOODWORKS LTD,Linear Regression,LinearFIPValue0.2,0.5463483146067416
131,533155-JUBILANT FOODWORKS LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5365168539325843
132,533155-JUBILANT FOODWORKS LTD,Ridge Regression,RidgeFIPValue0.2,0.5308988764044944
133,533155-JUBILANT FOODWORKS LTD,Lasso Regression,LassoFIFValue10,0.5196629213483146
134,533155-JUBILANT FOODWORKS LTD,Elastic Net Regression,ElasticFIFValue10,0.5196629213483146
161,533155-JUBILANT FOODWORKS LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5182584269662921
161,533155-JUBILANT FOODWORKS LTD,SVR,SVR_FI_FValue_1,0.4901685393258427
161,533155-JUBILANT FOODWORKS LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.999,0.4803370786516854
162,533260-CAREER POINT LTD,SVR,SVR_FI_FValue_1,0.5723172628304821
135,533260-CAREER POINT LTD,Lasso Regression,LassoFIFValue1,0.5474339035769828
136,533260-CAREER POINT LTD,Elastic Net Regression,ElasticFICoefficients0.1,0.5474339035769828
164,533260-CAREER POINT LTD,GRNN,GRNN_FI_ForwardSelection_stds_0.999,0.5474339035769828
137,533260-CAREER POINT LTD,Linear Regression,LinearFIPValue0.2,0.5194401244167963
138,533260-CAREER POINT LTD,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.5132192846034215
139,533260-CAREER POINT LTD,Ridge Regression,RidgeFIForwardSelection,0.5101088646967341
167,533260-CAREER POINT LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5038880248833593
168,533287-ZEE LEARN LTD,SVR,SVR_FI_FValue_1,0.5271565495207667
140,533287-ZEE LEARN LTD,Ridge Regression,RidgeFIFValue1,0.5175718849840255
169,533287-ZEE LEARN LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.934,0.5095846645367412
169,533287-ZEE LEARN LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5079872204472844
141,533287-ZEE LEARN LTD,Linear Regression,LinearFIFValue10,0.5047923322683706
142,533287-ZEE LEARN LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5
143,533287-ZEE LEARN LTD,Lasso Regression,LassoFIFValue10,0.4920127795527156
144,533287-ZEE LEARN LTD,Elastic Net Regression,ElasticFIFValue10,0.4920127795527156
174,537291-NATH BIO-GENES (INDIA) LTD,SVR,SVR_FI_BackwardElimination_,0.5566037735849056
145,537291-NATH BIO-GENES (INDIA) LTD,Ridge Regression,RidgeFIForwardSelection,0.5518867924528302
146,537291-NATH BIO-GENES (INDIA) LTD,Elastic Net Regression,ElasticFIForwardSelection,0.5518867924528302
147,537291-NATH BIO-GENES (INDIA) LTD,Linear Regression,LinearFIForwardSelection,0.5471698113207547
148,537291-NATH BIO-GENES (INDIA) LTD,Lasso Regression,LassoFIForwardSelection,0.5471698113207547
178,537291-NATH BIO-GENES (INDIA) LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5259433962264151
149,537291-NATH BIO-GENES (INDIA) LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5094339622641509
179,537291-NATH BIO-GENES (INDIA) LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.01,0.4929245283018867
150,539921-SHANTI EDUCATIONAL INITIATIVES LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.6837606837606838
151,539921-SHANTI EDUCATIONAL INITIATIVES LTD,Linear Regression,LinearFIBackwardElimination,0.6666666666666666
152,539921-SHANTI EDUCATIONAL INITIATIVES LTD,Ridge Regression,RidgeFIBackwardElimination,0.6666666666666666
183,539921-SHANTI EDUCATIONAL INITIATIVES LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.01,0.6410256410256411
153,539921-SHANTI EDUCATIONAL INITIATIVES LTD,Elastic Net Regression,ElasticFIForwardSelection,0.5384615384615384
184,539921-SHANTI EDUCATIONAL INITIATIVES LTD,SVR,SVR_FI_BackwardElimination_,0.5384615384615384
154,539921-SHANTI EDUCATIONAL INITIATIVES LTD,Lasso Regression,LassoFIFValue10,0.4957264957264957
185,539921-SHANTI EDUCATIONAL INITIATIVES LTD,RNN-Regression,RNN_Regression_FI_ForwardSelection,0.4700854700854701
155,542602-EMBASSY OFFICE PARKS REIT,Lasso Regression,LassoFIPValue0.1,0.5692307692307692
156,542602-EMBASSY OFFICE PARKS REIT,Elastic Net Regression,ElasticFIPValue0.1,0.5692307692307692
188,542602-EMBASSY OFFICE PARKS REIT,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5692307692307692
157,542602-EMBASSY OFFICE PARKS REIT,Linear Regression,LinearFICoefficients0.1,0.5384615384615384
158,542602-EMBASSY OFFICE PARKS REIT,Ridge Regression,RidgeFICoefficients0.1,0.5384615384615384
159,542602-EMBASSY OFFICE PARKS REIT,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5307692307692308
191,542602-EMBASSY OFFICE PARKS REIT,SVR,SVR_FI_FValue_1,0.4846153846153846
191,542602-EMBASSY OFFICE PARKS REIT,GRNN,GRNN_FI_BackwardElimination_stds_0.041,0.4461538461538462
