Company,Model,Method,Percentage
500089-DIC INDIA LTD.,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5225806451612903
500103-BHARAT HEAVY ELECTRICALS LTD.,Linear Regression,LinearFIFValue1000,0.5223713646532439
500125-E.I.D.-PARRY (INDIA) LTD.,Lasso Regression,LassoFIFValue100,0.5223214285714286
500039-BANCO PRODUCTS (INDIA) LTD.-$,Ridge Regression,RidgeFIPValue0.1,0.5209080047789725
500173-GFL Ltd,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5205128205128206
500249-KSB Ltd,Ridge Regression,RidgeFIFValue1,0.5200892857142857
500049-BHARAT ELECTRONICS LTD.,Ridge Regression,RidgeFIFValue10,0.5200445434298441
500144-FINOLEX CABLES LTD.,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5198598130841121
500109-MANGALORE REFINERY & PETROCHEMICALS LTD.,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5195852534562212
500084-CESC LTD.,Linear Regression,LinearFIPValue0.02,0.5190972222222222
500171-GHCL LTD.,Ridge Regression,RidgeFIFValue10,0.5188141391106044
500135-EPL Ltd,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.5183908045977011
507685-WIPRO LTD.,Lasso Regression,LassoFIPValue0.2,0.5178571428571429
533287-ZEE LEARN LTD.,Ridge Regression,RidgeFIFValue1,0.5175718849840255
500189-Nxtdigital Ltd,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5170142700329309
500136-ESTER INDUSTRIES LTD.,Lasso Regression,LassoFIFValue1,0.5169811320754717
500199-I G PETROCHEMICALS LTD.,Linear Regression,LinearFIBackwardElimination,0.5167630057803468
532174-ICICI BANK LTD.,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5167037861915368
500260-The Ramco Cements Limited,Ridge Regression,RidgeFIPValue0.1,0.5163240628778718
500069-BNK CAPITAL MARKETS LTD.,Linear Regression,LinearFIPValue0.2,0.5158620689655172
532540-TATA CONSULTANCY SERVICES LTD.,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.515625
500214-ION EXCHANGE (INDIA) LTD.-$,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5149863760217984
500250-L.G.BALAKRISHNAN & BROS.LTD.,Linear Regression,LinearFICoefficients0.1,0.5148842337375965
500113-STEEL AUTHORITY OF INDIA LTD.,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.5147058823529411
500825-BRITANNIA INDUSTRIES LTD.,Elastic Net Regression,ElasticFICoefficients0.1,0.5140939597315436
500790-NESTLE INDIA LTD.,Linear Regression,LinearFIFValue1,0.5139043381535039
500123-ELANTAS BECK INDIA LTD.-$,Linear Regression,LinearFIBackwardElimination,0.5135440180586908
500185-HINDUSTAN CONSTRUCTION CO.LTD.,Ridge Regression,RidgeFIBackwardElimination,0.5133565621370499
500038-BALRAMPUR CHINI MILLS LTD.,Linear Regression,LinearFIPValue0.2,0.5126146788990825
500387-SHREE CEMENT LTD.,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5118577075098815
500168-GOODYEAR INDIA LTD.,Elastic Net Regression,ElasticFIPValue0.1,0.5114401076716016
500097-Dalmia Bharat Sugar and Industries Ltd,Ridge Regression,RidgeFIFValue10,0.5112994350282486
500164-GODREJ INDUSTRIES LTD.,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5112692763938316
500114-Titan Company Limited,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5108433734939759
500209-INFOSYS LTD.,Elastic Net Regression,ElasticFICoefficients0.1,0.5105672969966629
500042-BASF INDIA LTD.,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.5105263157894737
500228-JSW STEEL LTD.,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5100222717149221
532210-CITY UNION BANK LTD.,Ridge Regression,RidgeFIFValue1,0.5080645161290323
500238-WHIRLPOOL OF INDIA LTD.,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.5079726651480638
500106-IFCI LTD.,Ridge Regression,RidgeFIPValue0.02,0.5078740157480315
500092-CRISIL LTD.,Ridge Regression,RidgeFIBackwardElimination,0.5077120822622108
500241-KIRLOSKAR BROTHERS LTD.-$,Linear Regression,LinearFIBackwardElimination,0.5076142131979695
500101-ARVIND LTD.,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5076023391812865
532706-INOX LEISURE LTD.,Linear Regression,LinearFIFValue1,0.5048543689320388
500033-FORCE MOTORS LTD.-$,Elastic Net Regression,ElasticFIFValue1,0.50472334682861
500120-DIAMINES & CHEMICALS LTD.-$,Linear Regression,LinearFICoefficients0.1,0.5042839657282742
500093-CG Power and Industrial Solutions Ltd,Linear Regression,LinearFIFValue100,0.4936854190585534
500153-GANESH BENZOPLAST LTD.,Ridge Regression,RidgeFIFValue1,0.4923076923076923
