,Company,Model,Method,Percentage
178,532899-KAVERI SEED COMPANY LTD,Lasso Regression,LassoFIFValue100,0.512853470437018
179,532899-KAVERI SEED COMPANY LTD,Elastic Net Regression,ElasticFIFValue100,0.512853470437018
180,532899-KAVERI SEED COMPANY LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5089974293059126
181,532899-KAVERI SEED COMPANY LTD,RNN-Regression,RNN_Regression_FI_ForwardSelection,0.5012853470437018
130,533155-JUBILANT FOODWORKS LTD,GRNN,GRNN_FI_AllFeaturesConsideration_stds_0.01,0.9831460674157304
182,533155-JUBILANT FOODWORKS LTD,Linear Regression,LinearFIPValue0.2,0.5463483146067416
183,533155-JUBILANT FOODWORKS LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5365168539325843
184,533155-JUBILANT FOODWORKS LTD,Ridge Regression,RidgeFIPValue0.2,0.5308988764044944
185,533155-JUBILANT FOODWORKS LTD,Lasso Regression,LassoFIFValue10,0.5196629213483146
186,533155-JUBILANT FOODWORKS LTD,Elastic Net Regression,ElasticFIFValue10,0.5196629213483146
187,533155-JUBILANT FOODWORKS LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5196629213483146
188,533155-JUBILANT FOODWORKS LTD,SVR,SVR_FI_FValue_1,0.4901685393258427
135,533260-CAREER POINT LTD,GRNN,GRNN_FI_AllFeaturesConsideration_stds_0.01,0.9844479004665628
189,533260-CAREER POINT LTD,SVR,SVR_FI_FValue_1,0.5723172628304821
190,533260-CAREER POINT LTD,Lasso Regression,LassoFIFValue1,0.5474339035769828
191,533260-CAREER POINT LTD,Elastic Net Regression,ElasticFICoefficients0.1,0.5474339035769828
192,533260-CAREER POINT LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5427682737169518
193,533260-CAREER POINT LTD,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.5287713841368584
194,533260-CAREER POINT LTD,Linear Regression,LinearFIPValue0.2,0.5194401244167963
195,533260-CAREER POINT LTD,Ridge Regression,RidgeFIForwardSelection,0.5101088646967341
140,533287-ZEE LEARN LTD,GRNN,GRNN_FI_AllFeaturesConsideration_stds_0.01,0.9968051118210862
