SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
506109,GENESYS INT.,T ,Q,69.15,69.15,64.20,69.15,69.15,65.90,31,3823,259432.00,
506122,PANKAJPIYUS ,XT,Q,46.85,46.85,44.20,45.50,45.50,44.65,8,114,5074.00,
506128,PARNAXLAB   ,X ,Q,32.60,32.60,32.60,32.60,32.60,34.30,2,330,10758.00,
506146,VISAGAR POL ,T ,Q,1.10,1.13,1.03,1.03,1.03,1.08,135,463742,485132.00,
506180,EMERGENT    ,XT,Q,139.65,139.65,139.65,139.65,139.65,139.65,1,1,139.00,
506184,KANANI IND  ,B ,Q,4.84,4.84,4.78,4.78,4.78,5.03,23,3186,15229.00,
506186,GCKL        ,X ,Q,13.00,13.00,12.27,12.90,12.90,12.82,10,3502,44430.00,
506194,ARIH SUPER  ,B ,Q,41.15,41.15,38.25,39.30,39.40,41.15,28,7214,287166.00,
506197,BLISSGVS PH ,A ,Q,183.80,183.80,176.00,177.25,177.25,181.10,1628,349234,62706988.00,
506222,INEOSSTYRO  ,B ,Q,1015.00,1036.00,965.00,970.20,965.00,1018.85,790,5225,5169278.00,
506235,ALEMBIC LTD.,A ,Q,102.45,102.45,100.50,100.80,101.00,101.15,258,22210,2249089.00,
506248,AMINES&PLAST,X ,Q,69.70,70.50,66.25,67.80,67.50,68.70,223,20413,1382110.00,
506260,ANUH PHARMA ,X ,Q,120.00,123.25,118.00,118.20,118.20,118.85,658,54828,6587582.00,
506261,MODISON MET.,X ,Q,46.40,47.60,46.00,46.50,46.50,46.90,101,11597,542519.00,
506285,BAYER CROP  ,A ,Q,5191.00,5200.00,5125.00,5131.85,5132.95,5186.40,778,2157,11137723.00,
506365,CHEMO PHARMA,XT,Q,25.15,25.15,25.15,25.15,25.15,25.65,4,40,1006.00,
506390,CLARI CHEM  ,A ,Q,467.00,467.00,443.50,451.65,451.65,391.55,5735,97494,43939460.00,
506395,COROM INTER ,A ,Q,757.20,776.25,757.20,773.80,774.60,756.05,534,10488,8077482.00,
506401,DEEPAK NITR.,A ,Q,1138.00,1240.00,1134.15,1178.55,1178.55,1110.10,19359,300761,361150434.00,
506405,DHARAMSI CHM,X ,Q,223.00,255.00,223.00,254.95,255.00,212.50,2910,272435,67320354.00,
506414,FERMENTA    ,X ,Q,283.90,283.90,274.00,275.45,275.45,275.60,441,21663,5975935.00,
506480,GOCLCORP    ,B ,Q,246.20,254.75,244.00,245.85,245.00,242.65,294,5651,1414525.00,
506520,JAYSHRI CHEM,X ,Q,4.12,4.52,4.12,4.25,4.25,4.32,41,17786,75103.00,
506522,JL MORISON  ,X ,Q,1851.00,1920.00,1851.00,1901.00,1901.00,1920.00,3,6,11344.00,
506525,KANORIA CHEM,T ,Q,66.20,66.20,66.20,66.20,66.20,63.05,100,20892,1383050.00,
506528,KELTECH EN. ,X ,Q,540.00,540.00,521.00,530.40,525.00,517.00,19,212,112412.00,
506532,NITTA GELA  ,X ,Q,171.75,175.90,170.10,174.35,174.35,171.35,211,11183,1938038.00,
506579,ORIENT.CARB.,A ,Q,949.20,971.70,935.00,937.10,940.30,949.90,269,2523,2397306.00,
506590,PHIL.CARBON ,A ,Q,195.00,197.80,192.80,193.20,193.35,194.10,1649,125865,24496869.00,
506597,AMAL PRODUCT,X ,Q,258.00,265.00,230.05,248.00,250.80,254.60,383,18171,4615241.00,
506605,POLYCHEM    ,X ,Q,470.00,470.00,470.00,470.00,470.00,444.85,1,1,470.00,
506618,PUN.CHEM    ,B ,Q,879.00,879.00,848.30,855.00,855.00,860.00,78,492,421582.00,
506640,GUJCHEM DIST,XT,Q,130.00,130.00,128.40,128.40,128.40,131.00,2,20,2584.00,
506642,SADHANA NITR,X ,Q,21.30,22.60,19.90,20.25,20.25,21.00,542,140371,2914613.00,
506655,SUDARSH.CHEM,A ,Q,512.80,518.00,506.75,509.15,507.00,509.75,445,8230,4223443.00,
506685,ULTRAMARINE ,X ,Q,355.15,362.00,336.65,346.75,346.75,352.05,887,34605,12080319.00,
506687,TRANSPEK    ,X ,Q,1482.00,1491.00,1387.00,1394.35,1396.00,1467.05,1728,33735,47845116.00,
506690,UNICHEM LAB ,A ,Q,303.35,310.55,296.30,306.75,300.00,309.45,326,6557,1989211.00,
506734,MYS PETRO   ,X ,Q,63.20,70.00,61.35,63.25,64.60,60.10,71,3822,244798.00,
506767,ALKYL AMINES,A ,Q,5349.00,5365.00,5200.00,5223.80,5234.20,5349.15,2220,6737,35504843.00,
506808,TUTICORIN.  ,X ,Q,7.95,7.97,7.26,7.97,7.97,7.26,43,14771,114450.00,
506820,ASTRAZEN.PH.,A ,Q,3672.00,3701.40,3614.75,3631.60,3631.60,3671.35,988,3640,13236684.00,
506852,PUN.ALKALI  ,X ,Q,60.00,61.00,56.50,56.80,56.90,57.95,211,33648,1939074.00,
506854,TANFAC IND. ,X ,Q,264.00,281.05,245.05,263.70,263.70,260.65,1470,89207,23761443.00,
506858,GUJ.PETRO   ,XT,Q,13.65,13.65,13.65,13.65,13.65,13.00,2,128,1747.00,
506863,SWADESHI IND,XT,Q,0.98,0.99,0.98,0.99,0.99,0.98,5,175,172.00,
