SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500123,ELANTAS     ,A ,Q,2921.00,2934.00,2853.00,2870.90,2890.00,2956.60,139,1246,3598119.00,
500124,DR.REDDY'S  ,A ,Q,4610.00,4725.00,4530.05,4685.15,4685.15,4617.85,6618,79429,366762173.00,
500125,E.I.D.PAR   ,A ,Q,321.45,327.00,317.25,318.50,317.90,320.40,529,15387,4969537.00,
500126,PGHL        ,A ,Q,7075.00,7168.15,7000.05,7142.65,7106.00,7064.75,322,890,6323352.00,
500128,ELEC.CASTING,B ,Q,22.10,22.40,21.60,21.85,21.95,22.20,260,90129,1975431.00,
500133,ESAB INDIA  ,A ,Q,1834.95,2050.45,1816.60,1956.05,1962.00,1825.35,696,2918,5744231.00,
500135,EPL         ,A ,Q,220.00,222.95,217.10,221.20,222.50,220.50,1515,43413,9546119.00,
500136,ESTER INDUS.,B ,Q,102.60,103.35,99.00,100.20,100.20,102.65,1158,54300,5456387.00,
500143,P.H.CAPITAL ,X ,Q,24.15,24.15,24.00,24.00,24.00,23.00,2,350,8415.00,
500144,FINOL. CABLE,A ,Q,395.20,397.00,373.30,375.75,378.75,394.30,752,24634,9415957.00,
500147,COCKERILL   ,X ,Q,820.60,847.50,820.60,820.80,820.75,825.55,51,1045,867711.00,
500148,UFLEX LTD   ,A ,Q,373.00,373.75,363.55,369.00,370.10,372.50,249,5386,1986415.00,
500150,FOSECO INDIA,B ,Q,1246.15,1250.00,1239.50,1241.25,1241.25,1245.20,29,270,335347.00,
500151,GOLDEN TOB  ,B ,Q,46.60,48.15,46.00,46.65,46.60,47.40,48,645,30557.00,
500153,GANESH BENZO,X ,Q,63.45,67.00,62.55,64.50,64.30,64.00,795,184183,12020993.00,
500159,METROGLOBL  ,X ,Q,50.30,54.60,50.30,52.65,52.65,52.90,39,2610,137222.00,
500160,GTL LTD.    ,B ,Q,6.80,7.05,6.80,6.95,6.95,6.83,78,22338,155302.00,
500163,GODFREY PH  ,A ,Q,924.30,926.80,910.40,914.55,919.00,923.15,624,11177,10292843.00,
500164,GODREJ IND  ,A ,Q,439.60,453.00,438.75,448.25,448.80,439.15,1154,35318,15818235.00,
500165,KANSAI NERO ,A ,Q,582.45,585.05,552.65,562.00,562.00,585.50,986,20053,11406435.00,
500166,GOODRICKE   ,X ,Q,226.90,228.00,221.05,224.00,224.00,226.75,129,6729,1520835.00,
500168,GOODYEAR (I),A ,Q,955.10,964.00,944.50,951.10,956.80,961.55,503,4153,3966609.00,
500170,GTN INDUS   ,B ,Q,10.75,11.66,10.70,10.90,10.90,11.24,31,12800,141587.00,
500171,GHCL LTD    ,A ,Q,216.35,220.50,215.60,219.30,218.75,216.50,346,12763,2782255.00,
500173,GFLLIMITED  ,A ,Q,93.00,94.90,92.05,93.00,93.20,91.05,140,6567,611759.00,
500174,GUJ.LEASE   ,B ,Q,2.59,2.73,2.59,2.66,2.66,2.54,7,591,1542.00,
500179,HCL INFOSYS ,B ,Q,9.75,9.90,9.26,9.67,9.67,9.53,999,332866,3233873.00,
500180,HDFC BANK   ,A ,Q,1545.00,1563.75,1533.00,1538.80,1544.50,1554.30,7000,205584,318221192.00,
500182,HEROMOTOCO  ,A ,Q,3524.95,3524.95,3371.00,3388.40,3388.40,3521.55,3228,31898,109348660.00,
500183,HFCL        ,A ,Q,29.95,30.55,29.00,29.30,29.30,30.30,2718,1517751,45169447.00,
500184,HSCL        ,A ,Q,45.60,46.90,45.20,45.45,45.60,46.00,1170,265492,12237188.00,
500185,HIND.CONSTN.,A ,Q,8.25,8.60,8.22,8.26,8.26,8.32,673,277001,2330706.00,
500186,HIND.OIL EXP,A ,Q,89.90,92.70,87.50,89.50,89.50,88.45,770,84817,7647557.00,
500187,HSIL        ,B ,Q,186.55,193.30,181.40,183.35,185.90,188.65,989,46308,8698595.00,
500188,HINDUS.ZI   ,A ,Q,305.40,307.50,298.25,300.70,300.70,300.45,826,32856,9948461.00,
500189,NXTDIGITAL  ,B ,Q,497.75,502.10,495.50,495.50,495.50,500.00,68,446,222332.00,
500191,HMT LTD.    ,Z ,Q,24.00,24.00,23.10,23.50,23.50,23.45,40,4465,105305.00,
500192,PRAG BOSIMI ,XT,Q,1.90,2.05,1.89,2.00,2.00,1.98,11,9801,19358.00,
500193,HLVLTD      ,B ,Q,5.66,5.86,5.49,5.59,5.61,5.71,211,77281,438016.00,
500199,I.G.PETRO   ,B ,Q,443.50,447.00,427.05,430.80,434.40,438.85,231,2920,1283038.00,
500201,IND.GLYCOLS ,A ,Q,469.10,484.50,461.00,464.60,464.60,473.15,1935,54504,25808516.00,
500202,IND.LEAS.DEV,X ,Q,11.55,11.55,11.20,11.20,11.20,11.00,3,51,571.00,
500206,MARGO FIN   ,X ,Q,8.50,8.50,7.75,8.50,8.50,8.10,5,3200,27125.00,
500207,INDO RAMA   ,B ,Q,36.30,36.45,33.75,33.90,33.75,36.40,206,29460,1030584.00,
500209,INFOSYS LTD ,A ,Q,1298.00,1299.15,1277.15,1291.35,1291.35,1292.35,4802,118996,153258259.00,
500210,INGERSOLL   ,A ,Q,761.10,785.00,731.50,743.30,743.30,768.80,458,5710,4295524.00,
500211,INSILCO LTD.,X ,Q,8.40,8.42,8.15,8.17,8.17,8.43,25,17584,144790.00,
500212,INTEG.FIN.SE,XT,Q,28.25,28.25,28.00,28.00,28.00,26.95,13,790,22132.00,
500213,INTER.TRAVEL,X ,Q,58.00,58.00,54.50,56.00,56.00,56.90,29,1571,87933.00,
500214,ION EXCHANGE,A ,Q,1187.00,1215.00,1160.00,1196.20,1196.20,1187.00,1006,33068,39432874.00,
500215,AGRO TECH FO,A ,Q,876.80,883.10,844.60,849.25,845.20,865.50,166,1004,863216.00,
500219,JAIN IRRIG  ,A ,Q,19.90,20.10,19.10,19.40,19.80,19.80,365,154413,3050435.00,
500220,JASCH INDUST,X ,Q,57.00,58.90,55.60,56.90,56.90,57.00,51,12447,716506.00,
500223,JCT LTD     ,X ,Q,0.94,0.94,0.90,0.91,0.91,0.93,352,1608897,1486304.00,
500227,JINDAL POLYF,A ,Q,486.10,493.95,475.25,478.15,481.20,488.10,4103,45300,22054656.00,
500228,JSWSL       ,A ,Q,407.30,408.00,391.15,395.05,395.05,407.85,3084,203745,81389309.00,
500231,UMANG DAIR  ,B ,Q,58.80,59.20,58.40,58.95,58.80,59.85,121,5581,327848.00,
500233,KAJARIA CER.,A ,Q,968.50,994.70,959.90,968.85,960.00,964.90,446,9470,9292670.00,
500234,KAKATIYA CEM,B ,Q,177.85,177.85,168.00,169.20,169.15,169.05,130,1984,339502.00,
500235,KALYANI STEL,A ,Q,304.50,321.85,296.20,309.90,309.90,306.90,1669,45313,14213471.00,
500236,KANELIND    ,XT,Q,1.19,1.19,1.19,1.19,1.19,1.17,1,200,238.00,
500238,WHIRLPOOL   ,A ,Q,2412.00,2431.55,2395.70,2425.65,2414.75,2411.10,401,2533,6106561.00,
500239,KG DENIM    ,X ,Q,28.25,28.50,27.45,27.55,27.45,27.25,64,7641,214798.00,
500240,KINETIC ENG.,XT,Q,44.65,44.75,41.50,44.05,44.05,42.65,109,15788,698246.00,
500241,KIRL.BROS.  ,B ,Q,164.50,164.50,154.20,155.95,156.15,158.25,141,6860,1078642.00,
500243,KIRL INDUS  ,B ,Q,1523.00,1536.00,1453.35,1466.05,1453.35,1526.45,175,858,1274622.00,
500245,KIRL.FERROUS,B ,Q,154.00,158.50,149.65,150.95,150.70,155.25,424,19125,2934441.00,
500246,ENVAIN ELECT,XT,Q,33.50,34.50,33.50,34.50,34.50,32.90,4,482,16322.00,
500247,KOTAK MAH.BK,A ,Q,1945.00,1969.60,1925.05,1937.30,1942.20,1945.30,2573,49189,95726625.00,
500248,KRIFILIND   ,XT,Q,3.61,3.61,3.61,3.61,3.61,3.61,1,50,180.00,
500249,KSB         ,A ,Q,687.25,687.25,668.25,677.90,674.10,680.50,215,1772,1203520.00,
500250,L.G.BALKRISH,A ,Q,318.75,319.50,303.60,305.90,308.80,315.65,271,4441,1384386.00,
500251,TRENT LTD.  ,A ,Q,773.75,805.00,765.00,793.15,793.15,779.20,2710,50196,39253509.00,
500252,LAXMIMACH   ,A ,Q,6070.00,6120.00,5900.00,5943.20,5943.20,6098.90,476,1128,6760381.00,
500253,LIC HOUS.FIN,A ,Q,476.00,478.70,443.60,449.30,449.30,479.20,7820,386922,177977341.00,
500257,LUPIN LTD.  ,A ,Q,1040.05,1055.45,1016.95,1021.45,1021.45,1048.95,4038,130906,135791352.00,
500259,LYKA LABS   ,T ,Q,30.60,32.70,30.15,30.15,30.15,31.70,26,5646,173935.00,
500260,RAMCOCEM    ,A ,Q,969.20,971.40,943.10,960.35,961.60,968.60,1103,27891,26790033.00,
500264,MAFATLAL IND,X ,Q,93.00,100.00,91.55,96.60,96.80,93.85,65,3153,300138.00,
500265,MAH.SEAMLESS,A ,Q,299.00,299.00,279.95,282.30,282.85,286.70,370,5545,1582846.00,
500266,MAH.SCOOTER ,A ,Q,3820.00,3836.70,3775.00,3793.20,3775.00,3836.90,94,308,1171830.00,
500267,MAJESTIC AUT,X ,Q,113.50,113.50,109.00,110.50,111.00,110.50,46,2149,237210.00,
500268,MANALI PETRO,B ,Q,49.00,49.40,47.50,48.00,48.00,49.20,525,114954,5584291.00,
500271,MFSL        ,A ,Q,874.00,874.00,829.80,838.40,840.00,869.50,1331,34633,29223803.00,
500277,MID INDIA IN,XT,Q,1.68,1.72,1.68,1.72,1.72,1.64,9,3100,5216.00,
500279,MIRC ELECT  ,B ,Q,14.78,14.85,14.40,14.61,14.75,14.15,750,316260,4672173.00,
500280,CENTURY ENKA,B ,Q,257.00,272.40,256.25,262.20,266.00,258.50,1003,25642,6823232.00,
500284,LORDS CHLORO,XT,Q,29.50,30.65,29.50,30.65,30.65,31.00,10,581,17240.00,
500285,SPICEJET LTD,A ,Q,88.25,88.50,85.30,86.30,86.30,88.20,2502,338614,29437209.00,
500288,MOREPEN LAB.,A ,Q,29.30,30.35,29.00,29.45,29.60,29.00,750,298866,8881035.00,
500290,MRF LTD.    ,A ,Q,88499.95,89346.20,86985.90,88100.45,88100.45,88908.35,1652,2243,198421951.00,
500292,HEIDEL CEM  ,A ,Q,231.00,234.75,228.00,228.70,228.60,230.65,158,4202,970579.00,
500294,NCC         ,A ,Q,89.50,92.70,86.70,88.90,88.90,88.75,3808,569794,51527715.00,
500295,VEDL        ,A ,Q,196.50,196.50,185.90,191.00,191.00,195.45,6191,967564,184959883.00,
500296,NAHAR SPG.  ,B ,Q,84.95,84.95,79.70,80.70,80.70,83.20,116,7846,648003.00,
500298,NAT.PEROXIDE,A ,Q,1886.95,1899.80,1855.00,1864.60,1864.60,1887.75,547,7054,13218156.00,
500300,GRASIM IND. ,A ,Q,1232.50,1239.00,1209.65,1218.20,1220.20,1228.25,1461,47558,58315026.00,
500302,PEL         ,A ,Q,1894.70,1894.70,1803.85,1842.45,1848.75,1896.90,5157,68096,126304805.00,
500304,NIIT LTD.   ,A ,Q,199.90,204.70,197.45,201.10,201.10,199.50,1089,58747,11826350.00,
500306,JAYKAY      ,XT,Q,23.10,23.10,23.10,23.10,23.10,22.65,61,75041,1733447.00,
500307,NIRLON      ,A ,Q,280.00,293.55,280.00,289.10,289.00,289.55,42,1775,509892.00,
500312,ONGC CORPN  ,A ,Q,110.70,112.15,103.85,105.10,105.10,110.70,11421,2409787,261314163.00,
500314,ORIENT HOTEL,B ,Q,23.35,23.90,23.20,23.60,23.60,23.60,51,1861,43628.00,
500317,OSWAL AGRO. ,B ,Q,10.48,10.95,10.39,10.47,10.48,10.76,78,13485,143381.00,
500319,INDIAN SUCRO,X ,Q,24.95,24.95,23.35,23.50,23.35,23.50,22,3085,73366.00,
500325,RELIANCE    ,A ,Q,2065.00,2104.95,2058.00,2080.55,2080.55,2065.50,17549,398673,832684406.00,
500327,PILITA      ,B ,Q,16.05,16.70,15.10,15.22,15.13,15.87,383,146647,2333212.00,
500330,RAYMOND     ,A ,Q,342.00,381.95,339.00,363.00,363.00,340.95,10725,529278,194216292.00,
500331,PIDILITE    ,A ,Q,1790.00,1804.60,1773.65,1781.55,1781.55,1792.30,2744,28888,51687584.00,
500333,PIX TRANS   ,X ,Q,355.00,356.70,332.10,346.30,346.30,352.75,507,24541,8503784.00,
500335,BIRLA CORPN.,A ,Q,889.90,901.35,858.65,868.80,883.50,888.45,502,9424,8253352.00,
500336,SURYA ROSHNI,A ,Q,352.80,359.55,337.95,340.50,339.70,354.55,1811,32881,11607981.00,
500337,PRIME SECUR.,B ,Q,41.50,41.50,40.50,40.50,40.50,41.50,101,6392,261789.00,
500338,PRSMJOHNSN  ,A ,Q,114.00,114.70,107.10,108.55,108.90,113.85,528,47908,5349035.00,
500339,RAIN        ,A ,Q,141.90,148.45,139.10,142.20,142.20,140.55,1900,213212,30655928.00,
500343,AMJLAND     ,B ,Q,25.15,26.95,25.15,26.10,26.65,24.95,13,1965,51103.00,
500346,PUN.COMMUNI.,B ,Q,24.95,24.95,21.15,22.20,22.00,22.95,35,1809,42128.00,
500350,RSWM  LTD   ,B ,Q,163.00,163.00,156.20,159.95,158.50,163.45,167,4355,700240.00,
500354,RAJSH.SUGAR ,B ,Q,16.05,16.85,15.50,15.85,15.85,16.15,62,4625,74708.00,
500355,RALLIS INDIA,A ,Q,260.25,263.80,257.05,258.80,259.00,260.75,2022,48859,12709274.00,
500356,RAMANEWS    ,B ,Q,14.51,14.65,14.15,14.15,14.15,14.19,54,13663,196717.00,
500357,RAMA PAPER  ,XT,Q,13.79,13.80,13.33,13.80,13.80,13.53,9,3158,43575.00,
500358,RAMA PETRO  ,X ,Q,2.98,2.98,2.98,2.98,2.98,2.84,3,541,1612.00,
500360,RAPICUT CARB,X ,Q,25.95,26.40,24.80,25.70,25.85,26.30,43,1758,44934.00,
500365,WELSPLSOL   ,X ,Q,9.35,9.45,8.86,8.97,9.10,9.24,124,43970,398388.00,
500366,ROLTA (I)   ,B ,Q,4.10,4.30,4.06,4.30,4.30,4.10,3917,120575,507350.00,
500367,RUBFILA INT.,X ,Q,58.00,59.75,56.30,59.00,59.00,57.35,228,35190,2066087.00,
500368,RUCHI SOYA  ,B ,Q,657.10,692.85,654.00,692.85,692.85,659.90,692,8831,6054601.00,
500370,SALORA INT. ,XT,Q,30.20,30.20,29.50,29.50,29.50,30.70,4,124,3665.00,
500378,JINDAL SAW  ,A ,Q,73.10,76.60,73.10,74.50,74.50,72.90,782,119046,8928259.00,
500380,JK LAKSHMI  ,A ,Q,383.95,390.00,362.50,376.20,376.15,381.05,771,37601,14383696.00,
500387,SHREE CEMENT,A ,Q,27741.20,27839.90,26795.00,27540.30,27499.75,27599.60,487,943,25936530.00,
500388,SHREE KRISHN,XT,Q,15.65,15.65,15.65,15.65,15.65,16.45,6,595,9311.00,
500390,REL INFRA   ,A ,Q,30.70,31.15,29.80,30.70,30.70,30.70,1519,373653,11350540.00,
500400,TATA POWER  ,A ,Q,93.15,94.85,89.40,91.15,91.15,93.10,13407,10151087,930495975.00,
500402,SPMLINFRA   ,B ,Q,13.10,13.35,13.10,13.20,13.10,13.33,46,7557,99354.00,
500403,SUNDARAM FAS,A ,Q,699.80,755.00,676.30,711.25,714.70,692.60,1163,17614,12360143.00,
500404,SUNFLAG IRON,A ,Q,63.80,65.55,63.50,64.25,64.10,64.25,1706,197068,12665176.00,
500405,SUPREME PET ,A ,Q,385.25,390.20,382.00,383.70,382.30,386.70,321,6929,2683342.00,
500407,SWARAJ ENGIN,A ,Q,1327.95,1348.55,1311.70,1320.20,1320.85,1322.85,185,625,830336.00,
500408,TATA ELXSI  ,A ,Q,2777.00,2806.00,2675.40,2739.75,2739.75,2747.50,2078,23386,64390352.00,
500410,ACC LTD     ,A ,Q,1799.90,1799.90,1736.30,1747.60,1747.60,1788.60,2060,27826,49121800.00,
500411,THERMAX     ,A ,Q,1180.00,1187.05,1156.00,1162.65,1164.50,1169.70,452,2926,3423948.00,
500412,THIRUMALAI  ,A ,Q,96.60,97.80,92.90,94.15,94.15,96.95,770,57544,5475983.00,
500413,THOMAS COOK ,A ,Q,47.45,48.65,47.00,47.45,47.60,47.25,409,38444,1836412.00,
500414,TIMEX GROUP ,X ,Q,30.20,30.75,28.60,29.15,29.45,30.20,80,27728,832663.00,
500418,TOKYO PLAST ,B ,Q,71.10,71.85,70.80,70.80,70.80,71.25,29,191,13615.00,
500420,TORRENT PHAR,A ,Q,2528.00,2530.90,2460.45,2497.25,2496.40,2519.50,1219,11075,27669101.00,
500422,TRANSCHEM   ,X ,Q,18.95,19.10,17.65,18.90,18.90,17.55,21,3328,60283.00,
500425,AMBUJA CEME ,A ,Q,288.40,288.40,273.20,275.25,275.25,282.85,10314,703108,196351086.00,
500426,UTLINDS     ,XT,Q,15.70,15.70,15.67,15.70,15.70,16.00,23,7694,120736.00,
500429,UNIPHOS ENT.,B ,Q,83.00,86.10,81.25,81.25,81.25,83.05,240,15014,1258969.00,
500439,VARD HOLDNG ,B ,Q,1394.45,1410.75,1330.00,1383.65,1377.00,1413.90,47,194,266139.00,
500440,HINDALCO    ,A ,Q,309.70,313.30,302.20,308.25,308.25,309.95,5343,514602,158184383.00,
500444,WEST COAS PA,A ,Q,217.00,224.50,212.25,213.30,213.30,219.80,1133,43469,9484952.00,
500449,HIND.ORG.CHM,T ,Q,24.90,25.70,24.10,25.70,25.70,24.50,426,252351,6469215.00,
500456,PAS.ACRYLON ,X ,Q,14.10,14.60,13.77,13.98,14.05,14.32,155,60748,857086.00,
500458,KORE        ,XT,Q,2.03,2.23,2.03,2.03,2.03,2.13,23,5873,12551.00,
500459,PROCTER &GAM,A ,Q,13263.05,13280.00,12890.05,12912.60,12994.75,13211.55,274,372,4846839.00,
500460,MUKAND LTD. ,B ,Q,64.50,64.50,62.70,62.95,62.95,64.70,206,7676,487256.00,
500463,AGCNET      ,B ,Q,948.00,976.00,946.05,974.90,975.00,960.80,35,1257,1199584.00,
500464,UCAL FUEL   ,B ,Q,147.00,163.80,146.05,157.65,157.65,149.05,1469,49098,7744741.00,
500467,HARR.MALAYAL,B ,Q,121.85,132.00,121.80,123.50,123.50,121.75,598,29040,3693965.00,
500469,FEDERAL BANK,A ,Q,86.55,87.40,82.70,83.40,83.40,86.75,2070,874189,74270842.00,
500470,TATA STEEL  ,A ,Q,695.55,695.60,656.00,670.65,670.65,697.85,19232,990072,667965360.00,
500472,SKF INDIA   ,A ,Q,2356.00,2372.45,2327.45,2355.05,2350.20,2361.55,682,1805,4242731.00,
500477,ASHOK LEYL. ,A ,Q,129.40,129.40,121.50,123.40,123.40,129.45,9987,1747937,218340873.00,
500480,CUMMINS (I) ,A ,Q,773.85,784.50,753.40,768.85,770.85,773.85,1360,53001,40864269.00,
500483,TATA COMM   ,A ,Q,1047.05,1048.20,1000.00,1003.45,1002.00,1055.80,2319,26807,27166042.00,
500488,ABBOTT (I)  ,A ,Q,14918.00,14963.90,14673.00,14738.25,14859.00,14910.55,229,576,8526786.00,
500490,BAJ HOLD INV,A ,Q,3506.00,3640.00,3505.65,3615.55,3610.00,3584.30,673,2941,10513180.00,
500493,BHARAT FORGE,A ,Q,633.25,633.25,595.50,602.60,602.00,633.25,4164,128070,78142245.00,
500495,ESCORTS LTD.,A ,Q,1378.60,1378.60,1327.05,1336.50,1336.50,1378.60,2393,42561,57474746.00,
500500,HIND.MOTORS ,B ,Q,8.23,8.23,7.70,7.83,7.83,7.86,2639,223077,1796938.00,
500510,LARSEN & TOU,A ,Q,1520.50,1547.30,1499.00,1507.80,1507.80,1525.45,9198,148810,226810499.00,
500520,MAH & MAH   ,A ,Q,892.00,905.50,863.05,876.45,876.45,894.55,6863,221973,196710193.00,
500530,BOSCH LTD   ,A ,Q,15651.10,16000.00,15516.10,15575.50,15600.00,15823.95,974,2287,36098418.00,
500540,PREMIER LTD ,T ,Q,3.85,3.99,3.62,3.83,3.95,3.80,19,5762,22031.00,
500547,BHARAT PET. ,A ,Q,435.50,444.70,423.40,430.00,430.00,432.05,13556,901876,391764722.00,
500550,SIEMENS LTD.,A ,Q,1855.00,1881.00,1831.15,1839.65,1839.65,1860.15,1224,15210,28272218.00,
500570,TATA MOTORS ,A ,Q,322.50,322.50,301.50,312.00,312.00,323.30,34819,4202696,1316450342.00,
500575,VOLTAS LTD  ,A ,Q,1012.45,1032.75,992.80,1001.25,1001.25,1017.30,2625,66917,67694501.00,
500620,GREAT EASTE ,A ,Q,280.00,280.00,264.50,267.05,266.00,273.90,352,8979,2430263.00,
500645,DEEPAK FERT.,A ,Q,160.00,160.90,155.00,156.50,156.50,160.65,462,22095,3483986.00,
500650,EXCEL INDUST,A ,Q,876.20,881.55,850.00,856.95,859.55,870.35,459,2667,2307245.00,
