% Deli. Qty to Traded Qty,Close Price,Code,Date,Deliverable Quantity,High Price,Low Price,No. of Trades,No.of Shares,Open Price,Spread Close-Open,Spread High-Low,Total Turnover (Rs.),Unix Date,WAP,Company
31.84,312.8,500097.0,2021-05-12,15579.0,334.4,307.0,1588.0,48934.0,321.0,-8.199999999999989,27.399999999999977,15635947.0,1620757800.0,319.5313483467528,DALMIA BHARAT SUGAR AND INDUSTRIES LTD
56.18,73.3,500101.0,2021-05-12,70017.0,76.3,73.0,1802.0,124624.0,74.85,-1.5499999999999972,3.299999999999997,9280179.0,1620757800.0,74.4654239953781,ARVIND LTD
100.0,1.26,500102.0,2021-05-12,499071.0,1.26,1.26,118.0,499071.0,1.26,0.0,0.0,628829.0,1620757800.0,1.2599990782874582,BALLARPUR INDUSTRIES LTD
16.8,71.35,500103.0,2021-05-12,3097177.0,76.6,68.4,46470.0,18438702.0,74.65,-3.3000000000000114,8.199999999999989,1351818102.0,1620757800.0,73.3141683183556,BHARAT HEAVY ELECTRICALS LTD
36.67,262.35,500104.0,2021-05-12,102278.0,269.4,258.8,3627.0,278881.0,265.85,-3.5,10.599999999999966,73722114.0,1620757800.0,264.349719055798,HINDUSTAN PETROLEUM CORPORATION LTD
53.54,11.55,500106.0,2021-05-12,738275.0,11.6,11.2,2594.0,1378869.0,11.5,0.05000000000000071,0.40000000000000036,15934617.0,1620757800.0,11.556295050508787,IFCI LTD
41.2,18.55,500108.0,2021-05-12,436431.0,19.95,18.05,3302.0,1059288.0,18.95,-0.3999999999999986,1.8999999999999986,19935085.0,1620757800.0,18.819324867269337,MAHANAGAR TELEPHONE NIGAM LTD
29.94,47.9,500109.0,2021-05-12,645846.0,53.4,46.6,8439.0,2157423.0,46.6,1.2999999999999972,6.799999999999997,108067973.0,1620757800.0,50.09123060243633,MANGALORE REFINERY  PETROCHEMICALS LTD
38.49,117.2,500110.0,2021-05-12,80158.0,122.0,115.5,2602.0,208247.0,119.0,-1.7999999999999972,6.5,24751855.0,1620757800.0,118.85815882101542,CHENNAI PETROLEUM CORPORATION LTD
45.23,11.79,500111.0,2021-05-12,811650.0,12.95,11.79,3331.0,1794350.0,12.95,-1.1600000000000001,1.1600000000000001,21762658.0,1620757800.0,12.128435366567281,RELIANCE CAPITAL LTD
27.33,367.85,500112.0,2021-05-12,958033.0,373.4,362.0,23518.0,3505968.0,363.7,4.150000000000034,11.399999999999977,1290081324.0,1620757800.0,367.96722731068854,STATE BANK OF INDIA
26.59,132.2,500113.0,2021-05-12,2049886.0,143.2,129.05,42855.0,7707947.0,140.5,-8.300000000000011,14.149999999999977,1052751612.0,1620757800.0,136.58002734061353,STEEL AUTHORITY OF INDIA LTD
39.37,1454.8,500114.0,2021-05-12,24009.0,1459.8,1426.0,3945.0,60983.0,1435.05,19.75,33.799999999999955,88010689.0,1620757800.0,1443.200383713494,TITAN COMPANY LIMITED
41.91,38.85,500116.0,2021-05-12,1184307.0,39.8,38.5,6417.0,2825531.0,39.0,-0.14999999999999858,1.2999999999999972,110621164.0,1620757800.0,39.150575237008546,IDBI BANK LTD
50.85,34.2,500117.0,2021-05-12,149503.0,35.1,34.0,1416.0,293998.0,34.4,-0.19999999999999574,1.1000000000000014,10142523.0,1620757800.0,34.49861223545739,DCW LTD
39.43,325.5,500119.0,2021-05-12,50558.0,347.0,318.9,3591.0,128236.0,336.0,-10.5,28.100000000000023,42996936.0,1620757800.0,335.2953616769082,DHAMPUR SUGAR MILLS LTD
72.04,334.05,500120.0,2021-05-12,12034.0,349.0,330.0,411.0,16704.0,340.95,-6.899999999999977,19.0,5615658.0,1620757800.0,336.1864224137931,DIAMINES  CHEMICALS LTD
62.25,3486.5,500123.0,2021-05-12,399.0,3579.0,3480.0,107.0,641.0,3534.7,-48.19999999999982,99.0,2249632.0,1620757800.0,3509.566302652106,ELANTAS BECK INDIA LTD
16.75,5302.0,500124.0,2021-05-12,6413.0,5339.75,5274.05,4024.0,38288.0,5325.0,-23.0,65.69999999999982,203047658.0,1620757800.0,5303.166997492687,DRREDDYS LABORATORIES LTD
45.13,419.15,500125.0,2021-05-12,8891.0,444.55,414.0,1319.0,19701.0,435.15,-16.0,30.55000000000001,8456111.0,1620757800.0,429.2224252576011,EIDPARRY INDIA LTD
64.61,5782.5,500126.0,2021-05-12,1026.0,5849.9,5761.85,589.0,1588.0,5825.0,-42.5,88.04999999999927,9198351.0,1620757800.0,5792.412468513854,PROCTER  GAMBLE HEALTH LTD
44.25,31.65,500128.0,2021-05-12,59146.0,32.6,31.15,882.0,133678.0,32.5,-0.8500000000000014,1.4500000000000028,4243161.0,1620757800.0,31.74165532099523,ELECTROSTEEL CASTINGS LTD
86.41,1778.75,500133.0,2021-05-12,566.0,1805.05,1775.0,205.0,655.0,1798.4,-19.65000000000009,30.049999999999955,1172720.0,1620757800.0,1790.4122137404581,ESAB INDIA LTD
29.42,239.1,500135.0,2021-05-12,15290.0,244.4,236.65,1558.0,51980.0,239.0,0.09999999999999432,7.75,12508200.0,1620757800.0,240.63485956136975,EPL LTD
