SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,DATE
500212,INTEG.FIN.SE,XT,Q,30.35,30.35,30.35,30.35,30.35,28.95,3,347,10531.0,,2021-05-12
500213,INTER.TRAVEL,X ,Q,59.95,62.0,58.0,58.7,58.7,59.9,113,19948,1198158.0,,2021-05-12
500214,ION EXCHANGE,A ,Q,1440.05,1453.95,1405.0,1418.6,1418.6,1442.75,643,11932,17066218.0,,2021-05-12
500215,AGRO TECH FO,A ,Q,995.0,997.5,968.5,972.3,973.5,987.7,485,4714,4630058.0,,2021-05-12
500219,JAIN IRRIG  ,A ,Q,19.6,20.3,19.2,20.15,20.3,19.35,1258,1321766,26768301.0,,2021-05-12
500220,JASCH INDUST,X ,Q,67.0,69.8,66.05,68.8,68.9,65.05,254,38249,2582198.0,,2021-05-12
500223,JCT LTD     ,X ,Q,1.39,1.39,1.27,1.28,1.28,1.33,2616,9942836,13213165.0,,2021-05-12
500227,JINDAL POLYF,A ,Q,827.3,827.3,795.0,800.6,800.6,814.7,1863,26936,21819560.0,,2021-05-12
500228,JSWSL       ,A ,Q,739.95,742.65,699.25,707.75,707.75,734.2,13204,770752,555678442.0,,2021-05-12
500231,UMANG DAIR  ,B ,Q,61.5,62.8,60.3,62.0,61.95,59.4,246,3978,244886.0,,2021-05-12
500233,KAJARIA CER.,A ,Q,890.0,895.0,860.0,879.85,881.55,880.6,941,9675,8530109.0,,2021-05-12
500234,KAKATIYA CEM,B ,Q,267.2,274.0,251.0,255.1,252.55,264.65,777,8291,2171513.0,,2021-05-12
500235,KALYANI STEL,A ,Q,382.75,382.75,360.25,362.85,362.85,375.5,559,11845,4369504.0,,2021-05-12
500236,KANELIND    ,XT,Q,2.21,2.21,2.2,2.21,2.21,2.21,18,15280,33758.0,,2021-05-12
500238,WHIRLPOOL   ,A ,Q,2165.0,2165.0,2089.0,2095.9,2095.0,2145.7,2133,13128,27704371.0,,2021-05-12
500239,KG DENIM    ,X ,Q,44.0,44.75,40.6,44.55,44.55,37.3,1161,250792,10972693.0,,2021-05-12
500240,KINETIC ENG.,XT,Q,38.85,40.35,36.65,40.0,40.0,38.45,56,9305,367090.0,,2021-05-12
500241,KIRL.BROS.  ,B ,Q,260.65,263.0,254.8,258.15,256.0,258.5,544,9532,2466846.0,,2021-05-12
500243,KIRL INDUS  ,B ,Q,1451.0,1473.9,1443.0,1458.85,1460.0,1474.6,68,712,1032004.0,,2021-05-12
500245,KIRL.FERROUS,B ,Q,255.7,264.75,252.8,257.65,257.65,252.15,1937,60814,15800411.0,,2021-05-12
500246,ENVAIN ELECT,X ,Q,29.0,29.5,29.0,29.5,29.5,29.5,2,251,7404.0,,2021-05-12
500247,KOTAK MAH.BK,A ,Q,1759.0,1759.0,1714.9,1718.55,1718.55,1755.85,13765,192353,331657416.0,,2021-05-12
500249,KSB         ,A ,Q,947.65,949.8,921.1,930.95,930.95,926.6,212,1980,1847602.0,,2021-05-12
500250,L.G.BALKRISH,A ,Q,290.65,294.2,288.55,292.0,294.0,289.9,393,6450,1883161.0,,2021-05-12
500251,TRENT LTD.  ,A ,Q,753.55,775.95,753.55,769.25,769.25,763.9,1014,19410,14934156.0,,2021-05-12
500252,LAXMIMACH   ,A ,Q,6106.85,6197.0,6055.0,6084.9,6095.95,6074.9,140,309,1886870.0,,2021-05-12
500253,LIC HOUS.FIN,A ,Q,429.0,439.8,427.05,429.0,427.05,429.15,4088,215660,93391783.0,,2021-05-12
500257,LUPIN LTD.  ,A ,Q,1211.0,1226.2,1193.0,1210.75,1210.75,1197.6,7736,263516,319173255.0,,2021-05-12
500259,LYKA LABS   ,B ,Q,45.05,45.05,45.05,45.05,45.05,42.95,34,8922,401936.0,,2021-05-12
500260,RAMCOCEM    ,A ,Q,936.15,955.75,928.0,937.55,931.0,938.0,1567,41719,39095670.0,,2021-05-12
500264,MAFATLAL IND,X ,Q,102.0,104.0,101.05,102.3,101.5,104.55,48,2045,209733.0,,2021-05-12
500265,MAH.SEAMLESS,A ,Q,311.5,311.5,292.7,298.05,299.25,304.9,444,13919,4195270.0,,2021-05-12
500266,MAH.SCOOTER ,A ,Q,3493.7,3494.45,3452.6,3460.3,3460.0,3489.45,95,234,812058.0,,2021-05-12
500267,MAJESTIC AUT,X ,Q,105.95,105.95,102.5,103.8,105.0,101.3,46,3051,318336.0,,2021-05-12
500268,MANALI PETRO,B ,Q,82.6,85.65,82.6,83.3,83.3,84.65,1656,181004,15234807.0,,2021-05-12
500271,MFSL        ,A ,Q,914.6,914.6,886.5,891.05,892.0,918.35,866,16933,15149270.0,,2021-05-12
500274,MESCO PHARMA,P ,Q,5.0,5.51,5.0,5.1,5.1,5.25,5,2500,13534.0,,2021-05-12
500277,MID INDIA IN,XT,Q,3.71,3.71,3.71,3.71,3.71,3.78,4,300,1113.0,,2021-05-12
500279,MIRC ELECT  ,B ,Q,19.45,19.45,17.61,17.73,17.7,18.53,1630,1527587,27991757.0,,2021-05-12
500280,CENTURY ENKA,B ,Q,278.7,281.0,275.0,276.3,276.3,274.6,349,6276,1747406.0,,2021-05-12
500284,LORDS CHLORO,X ,Q,33.4,37.3,33.4,36.55,34.1,35.9,14,466,17048.0,,2021-05-12
500285,SPICEJET LTD,A ,Q,70.85,73.35,70.3,71.85,71.85,69.65,6007,818110,58766245.0,,2021-05-12
500288,MOREPEN LAB.,A ,Q,59.45,60.35,56.8,57.65,57.65,59.3,7601,1187404,69005833.0,,2021-05-12
500290,MRF LTD.    ,A ,Q,78105.0,79159.0,77022.05,77333.8,77333.8,78629.4,1244,1505,116877276.0,,2021-05-12
500292,HEIDEL CEM  ,A ,Q,249.5,249.5,238.35,244.7,249.4,247.0,642,18702,4561379.0,,2021-05-12
500294,NCC         ,A ,Q,80.2,82.4,78.45,79.1,79.1,81.1,4481,527992,42335913.0,,2021-05-12
500295,VEDL        ,A ,Q,290.25,292.15,275.5,282.2,282.2,288.55,6611,865936,247866345.0,,2021-05-12
500296,NAHAR SPG.  ,B ,Q,123.0,128.55,120.05,123.45,123.45,123.5,211,8280,1030372.0,,2021-05-12
500298,NAT.PEROXIDE,A ,Q,2501.0,2519.85,2431.0,2445.05,2445.05,2489.05,705,5296,13028086.0,,2021-05-12
500300,GRASIM IND. ,A ,Q,1449.0,1455.05,1407.0,1412.0,1413.65,1450.35,2032,39962,56921545.0,,2021-05-12
500302,PEL         ,A ,Q,1690.0,1715.65,1672.85,1694.6,1697.85,1691.7,1258,21694,36758480.0,,2021-05-12
500304,NIIT LTD.   ,A ,Q,173.45,173.45,167.7,168.8,169.2,169.65,686,23729,4013887.0,,2021-05-12
500306,JAYKAY      ,X ,Q,34.75,35.0,34.1,34.25,34.9,34.75,213,118112,4071457.0,,2021-05-12
500307,NIRLON      ,A ,Q,280.9,280.9,271.55,275.0,275.0,277.2,33,4871,1338230.0,,2021-05-12
500312,ONGC CORPN  ,A ,Q,118.9,121.15,113.7,115.05,115.05,118.05,13948,2562796,301899602.0,,2021-05-12
500314,ORIENT HOTEL,B ,Q,25.5,25.6,25.0,25.15,25.3,25.65,181,7472,189624.0,,2021-05-12
500317,OSWAL AGRO. ,B ,Q,9.12,9.97,9.12,9.59,9.59,9.46,310,49505,482476.0,,2021-05-12
500319,INDIAN SUCRO,X ,Q,42.4,42.4,37.8,39.8,39.8,41.3,527,86563,3404102.0,,2021-05-12
500325,RELIANCE    ,A ,Q,1934.0,1934.0,1907.75,1913.55,1913.55,1933.7,28928,373114,714763785.0,,2021-05-12
500327,PILITA      ,B ,Q,14.9,16.4,13.3,13.46,13.3,13.98,495,118614,1721482.0,,2021-05-12
500330,RAYMOND     ,A ,Q,351.5,355.65,343.45,346.3,346.3,350.7,990,39330,13750060.0,,2021-05-12
500331,PIDILITE    ,A ,Q,1900.0,1900.0,1861.3,1878.9,1872.0,1875.55,1294,17432,32747229.0,,2021-05-12
500333,PIX TRANS   ,X ,Q,486.8,486.8,460.45,469.0,470.0,472.15,232,9025,4255623.0,,2021-05-12
500335,BIRLA CORPN.,A ,Q,999.0,1049.4,999.0,1043.5,1044.05,995.05,1567,24880,25532170.0,,2021-05-12
500336,SURYA ROSHNI,A ,Q,435.2,465.5,425.0,448.7,451.95,432.55,1107,23729,10623330.0,,2021-05-12
500337,PRIME SECUR.,B ,Q,41.25,41.95,40.8,40.8,40.8,41.15,39,605,24959.0,,2021-05-12
500338,PRSMJOHNSN  ,A ,Q,131.4,143.6,131.4,138.1,138.1,129.9,3372,121202,16800255.0,,2021-05-12
500339,RAIN        ,A ,Q,179.5,181.6,174.65,175.7,175.7,179.0,5687,497778,88537668.0,,2021-05-12
500343,AMJLAND     ,B ,Q,25.2,25.9,24.1,24.3,24.3,25.7,78,12821,326212.0,,2021-05-12
500346,PUN.COMMUNI.,B ,Q,22.85,23.7,22.3,23.05,23.4,21.55,29,2881,66117.0,,2021-05-12
500350,RSWM  LTD   ,B ,Q,230.1,237.35,221.55,226.9,226.9,231.3,157,3857,896720.0,,2021-05-12
500354,RAJSH.SUGAR ,B ,Q,23.5,24.6,23.1,24.55,24.2,23.45,264,21928,532173.0,,2021-05-12
500355,RALLIS INDIA,A ,Q,320.0,333.7,306.05,317.4,317.4,313.45,6852,412449,133840722.0,,2021-05-12
500356,RAMANEWS    ,B ,Q,16.8,16.82,16.0,16.22,16.0,16.62,143,4792,78044.0,,2021-05-12
500357,RAMA PAPER  ,XT,Q,11.23,11.23,10.76,11.19,11.19,10.75,7,305,3349.0,,2021-05-12
500358,RAMA PETRO  ,X ,Q,2.57,2.57,2.57,2.57,2.57,2.46,1,100,257.0,,2021-05-12
500360,RAPICUT CARB,X ,Q,27.25,28.2,25.4,27.6,27.6,27.25,56,7512,205177.0,,2021-05-12
500365,WELSPLSOL   ,X ,Q,16.2,16.2,15.0,15.15,15.15,15.5,226,182189,2822520.0,,2021-05-12
500366,ROLTA (I)   ,B ,Q,5.25,5.36,4.89,4.95,4.95,5.16,1630,509868,2593087.0,,2021-05-12
500367,RUBFILA INT.,X ,Q,74.25,78.6,72.25,76.55,77.25,75.1,732,140394,10581333.0,,2021-05-12
500368,RUCHI SOYA  ,B ,Q,795.0,795.0,719.0,738.75,745.95,759.7,1574,16482,12510323.0,,2021-05-12
500370,SALORA INT. ,XT,Q,37.35,39.2,37.35,37.35,37.35,39.3,9,762,28531.0,,2021-05-12
500378,JINDAL SAW  ,A ,Q,92.15,94.7,88.0,88.95,88.95,92.6,2166,292250,26654624.0,,2021-05-12
500380,JK LAKSHMI  ,A ,Q,420.0,421.95,413.95,414.8,416.0,412.25,787,16214,6782936.0,,2021-05-12
500387,SHREE CEMENT,A ,Q,27500.0,27500.0,26769.45,26842.8,26949.95,27491.9,524,1153,31091354.0,,2021-05-12
500388,SHREE KRISHN,XT,Q,15.0,15.0,15.0,15.0,15.0,14.94,1,1,15.0,,2021-05-12
500390,REL INFRA   ,A ,Q,53.15,58.2,49.85,54.15,54.15,53.1,12267,3479778,188717630.0,,2021-05-12
500400,TATA POWER  ,A ,Q,110.75,110.75,105.15,106.55,106.55,109.25,12598,4129934,443197958.0,,2021-05-12
500402,SPMLINFRA   ,B ,Q,12.95,13.04,12.46,12.96,12.95,13.37,52,34216,442501.0,,2021-05-12
500403,SUNDARAM FAS,A ,Q,715.5,715.5,695.1,698.65,698.65,704.45,335,2890,2039684.0,,2021-05-12
500404,SUNFLAG IRON,A ,Q,86.8,87.6,80.3,82.45,82.45,86.45,2285,208018,17564715.0,,2021-05-12
500405,SUPREME PET ,A ,Q,706.0,720.0,690.1,708.65,711.0,706.4,1532,22345,15889506.0,,2021-05-12
500407,SWARAJ ENGIN,A ,Q,1542.8,1546.55,1525.2,1531.9,1536.0,1546.65,418,1628,2502381.0,,2021-05-12
500408,TATA ELXSI  ,A ,Q,3530.0,3585.6,3510.0,3521.55,3522.0,3517.85,2639,18856,66718099.0,,2021-05-12
500410,ACC LTD     ,A ,Q,1914.5,1914.5,1878.0,1883.3,1883.3,1909.8,774,11624,22019833.0,,2021-05-12
500411,THERMAX     ,A ,Q,1489.45,1489.45,1381.1,1408.9,1408.9,1492.5,778,5536,7964338.0,,2021-05-12
500412,THIRUMALAI  ,A ,Q,102.0,106.0,101.75,102.05,102.9,101.25,1941,173384,17962932.0,,2021-05-12
500413,THOMAS COOK ,A ,Q,49.2,49.3,46.7,47.0,47.0,48.35,1201,94916,4563931.0,,2021-05-12
500414,TIMEX GROUP ,X ,Q,33.1,33.4,31.7,32.8,32.6,33.3,117,27638,897033.0,,2021-05-12
500418,TOKYO PLAST ,B ,Q,75.05,75.05,72.65,72.8,72.8,73.45,99,2791,206508.0,,2021-05-12
500420,TORRENT PHAR,A ,Q,2730.0,2754.0,2695.9,2725.65,2724.0,2714.9,1995,16001,43674526.0,,2021-05-12
500422,TRANSCHEM   ,X ,Q,24.05,24.7,23.8,24.5,24.5,23.55,35,3165,76617.0,,2021-05-12
500425,AMBUJA CEME ,A ,Q,311.5,314.85,308.0,309.0,309.0,314.9,2406,131029,40761583.0,,2021-05-12
500426,UTLINDS     ,X ,Q,11.0,11.34,10.65,11.32,11.34,11.21,53,11273,120731.0,,2021-05-12
500429,UNIPHOS ENT.,B ,Q,99.0,101.95,92.65,97.85,99.0,100.45,1040,55931,5471274.0,,2021-05-12
500439,VARD HOLDNG ,B ,Q,1983.85,2034.0,1978.5,2017.1,2013.0,1905.0,91,401,799770.0,,2021-05-12
500440,HINDALCO    ,A ,Q,416.8,417.7,393.85,398.7,398.7,412.85,11886,978251,398106506.0,,2021-05-12
