DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
2021-05-12,500460,26718,3062223,26718,3062223,100.0
2021-05-12,500463,211,299167,320,450095,65.94
2021-05-12,500464,9384,1456397,10752,1682737,87.28
2021-05-12,500467,3517,611255,13282,2355621,26.48
2021-05-12,500469,276218,22553200,1660421,137355874,16.64
2021-05-12,500470,480680,566553482,1923553,2327683553,24.99
2021-05-12,500472,1899,4382133,3786,8756244,50.16
2021-05-12,500477,212818,24144203,777679,88971786,27.37
2021-05-12,500480,11405,9508919,65243,55253852,17.48
2021-05-12,500483,13845,15019749,23171,25276391,59.75
2021-05-12,500488,481,7751219,868,14009580,55.41
2021-05-12,500490,448,1576714,704,2470120,63.64
2021-05-12,500493,11718,7781338,64749,42675097,18.1
2021-05-12,500495,35136,41082768,98579,115956472,35.64
2021-05-12,500500,15334,106112,21321,148226,71.92
2021-05-12,500510,116283,161046141,452335,636729289,25.71
2021-05-12,500520,37395,28431419,98192,74691607,38.08
2021-05-12,500530,465,6650151,1298,18449386,35.82
2021-05-12,500540,5374,15048,5374,15047,100.0
2021-05-12,500547,120110,53953412,357637,163228803,33.58
2021-05-12,500550,22486,45056323,238577,492885231,9.42
2021-05-12,500570,2977440,970198824,8847706,2888424447,33.65
2021-05-12,500575,74800,72597140,287208,283542082,26.04
2021-05-12,500620,16820,6359642,23974,9151239,70.16
2021-05-12,500645,70026,20090460,174595,50473674,40.11
2021-05-12,500650,1471,1570367,4250,4602581,34.61
2021-05-12,500655,12341,9173066,14447,10821836,85.42
2021-05-12,500660,1346,1991340,2453,3621348,54.87
2021-05-12,500670,99747,39893813,319896,131578743,31.18
2021-05-12,500672,3351,2134085,5352,3435349,62.61
2021-05-12,500674,262,2030789,590,4596031,44.41
2021-05-12,500680,1463,7823832,3483,18725002,42.0
2021-05-12,500690,139081,15876097,348640,40674394,39.89
2021-05-12,500696,48235,112341727,86291,202191016,55.9
2021-05-12,500710,683,1489145,922,2012962,74.08
2021-05-12,500730,28487,5711644,62676,12629229,45.45
2021-05-12,500770,259947,187772716,1001766,718848539,25.95
2021-05-12,500777,131312,11417579,348421,30827788,37.69
2021-05-12,500780,48098,4328820,60941,5502783,78.93
2021-05-12,500790,1022,17081453,2318,38675145,44.09
2021-05-12,500800,196107,125449648,336998,215215226,58.19
2021-05-12,500820,69950,178799195,145066,372375089,48.22
2021-05-12,500825,13572,46673430,23541,80694805,57.65
2021-05-12,500830,8819,13480283,24133,37072328,36.54
2021-05-12,500840,29073,2696521,60774,5632515,47.84
2021-05-12,500850,36503,4237999,148934,17487093,24.51
2021-05-12,500870,238200,31085100,458768,59770415,51.92
2021-05-12,500875,512656,104222965,1190634,242579666,43.06
2021-05-12,500877,116750,25854288,611304,136302494,19.1
2021-05-12,500878,2983,3847176,12701,16387234,23.49
2021-05-12,500890,745,55872,745,55872,100.0
2021-05-12,500940,53457,8304545,109633,17144591,48.76
2021-05-12,501148,53,13502,53,13502,100.0
2021-05-12,501150,336778,10574830,571738,17932266,58.9
2021-05-12,501242,1652,8624,1652,8336,100.0
2021-05-12,501295,135,7824,145,8146,93.1
2021-05-12,501298,102,117504,103,120977,99.03
2021-05-12,501301,2969,3217209,10000,10913550,29.69
2021-05-12,501314,38,2641,38,2641,100.0
2021-05-12,501343,183,3825,183,3754,100.0
2021-05-12,501370,452,27188,570,33928,79.3
2021-05-12,501391,37,4514,37,4504,100.0
2021-05-12,501423,1975,2352522,2247,2711116,87.89
2021-05-12,501425,5459,6530329,18583,22521354,29.38
2021-05-12,501430,1195,717359,1420,849518,84.15
2021-05-12,501455,52874,7042817,129205,17281993,40.92
2021-05-12,501477,159,14945,159,14945,100.0
2021-05-12,501622,1,16,1,16,100.0
2021-05-12,501700,150,1772,221,2560,67.87
2021-05-12,501831,26497,4780059,33520,6172386,79.05
2021-05-12,501833,2724,15002,2724,15002,100.0
2021-05-12,501848,18431,127359,19881,135467,92.71
2021-05-12,501945,76,178,76,177,100.0
2021-05-12,502015,133748,4576216,133748,4576216,100.0
2021-05-12,502090,5908,4752396,10308,8516866,57.31
2021-05-12,502137,3887,1743320,6913,3117863,56.23
2021-05-12,502157,11772,3443310,13903,4121337,84.67
2021-05-12,502168,29468,5559139,48937,9428000,60.22
2021-05-12,502175,35154,2392230,50282,3450540,69.91
2021-05-12,502180,36824,2594251,59093,4217074,62.32
2021-05-12,502219,51318,13314456,111088,29141080,46.2
2021-05-12,502271,1,8,1,7,100.0
2021-05-12,502281,4645,27870,4645,27981,100.0
2021-05-12,502330,7017,1615314,12655,2934909,55.45
2021-05-12,502355,8516,16348166,39610,76730393,21.5
2021-05-12,502420,86294,2308365,161006,4397757,53.6
2021-05-12,502445,864,7163,965,7889,89.53
2021-05-12,502448,28467,91949,36552,117863,77.88
2021-05-12,502450,2406,369201,3928,607230,61.25
2021-05-12,502587,5752,487195,6660,566388,86.37
2021-05-12,502742,1989996,7522185,3446242,12883086,57.74
2021-05-12,502820,12829,347666,16709,453944,76.78
2021-05-12,502865,376,619423,592,978954,63.51
2021-05-12,502873,14128,683089,23610,1138639,59.84
2021-05-12,502893,5,109,5,109,100.0
2021-05-12,502901,19,41397,19,41384,100.0
2021-05-12,502933,50,711,50,711,100.0
2021-05-12,502937,42082,3339207,111488,9116717,37.75
2021-05-12,502958,79,189573,125,305431,63.2
2021-05-12,502986,1780,2409319,5602,7563289,31.77
2021-05-12,503015,1567,71299,1571,70847,99.75
2021-05-12,503031,33660,241903,33660,241903,100.0
2021-05-12,503100,3389,2537684,7258,5566655,46.69
2021-05-12,503101,3813,196751,10726,554986,35.55
2021-05-12,503162,1788,158507,2534,225384,70.56
2021-05-12,503169,6170,1250968,12464,2481065,49.5
2021-05-12,503229,187,9098,187,9097,100.0
2021-05-12,503310,4131,543847,68812,9084470,6.0
2021-05-12,503349,53,96447,83,150848,63.86
2021-05-12,503624,52317,215952,52317,215952,100.0
2021-05-12,503641,3104,27133,3104,27133,100.0
2021-05-12,503657,13584,116687,17621,149681,77.09
2021-05-12,503663,22475,47647,22729,48218,98.88
2021-05-12,503675,550,1441,550,1441,100.0
2021-05-12,503691,359,12960,720,25831,49.86
2021-05-12,503722,1989,243951,4701,590153,42.31
2021-05-12,503772,505,6192,505,6292,100.0
2021-05-12,503776,60,1263,60,1273,100.0
2021-05-12,503804,2114,974977,2411,1093104,87.68
2021-05-12,503806,2023,12706463,12412,78432638,16.3
2021-05-12,503811,6699,1378655,11280,2365022,59.39
2021-05-12,503816,1131,5768,1131,5768,100.0
